N	3gram	Tiupa_Lite	Dialekti
1	с точки зрения	4	46
2	по крайней мере	2	26
3	в том что	15	25
4	не может быть	5	18
5	тем не менее	4	16
6	то же время	12	15
7	в то же	12	14
8	о том что	3	12
9	с другой стороны	5	12
10	подобно тому как	4	9
11	только то что	2	8
12	говоря уже о	2	7
13	не говоря уже	3	7
14	в связи с	4	7
15	так или иначе	8	7
16	и прежде всего	4	6
17	во всяком случае	2	6
18	с одной стороны	8	6
19	в сравнении с	2	6
20	ничего общего с	2	5
21	из того что	2	4
22	в данном случае	6	4
23	и т п	2	4
24	этой точки зрения	3	4
25	с этой точки	3	4
26	в этом отношении	5	4
27	можно было бы	2	4
28	речь идет о	3	3
29	не только в	4	3
30	ту или иную	2	3
31	тех или иных	2	3
32	жизни и в	2	2
33	поскольку речь идет	2	2
34	в силу своей	3	2
35	дело в том	2	2
36	в свою очередь	2	2
37	мы имеем дело	2	2
38	и то что	2	2
