N	2gram	Tiupa_Anal	UchenyiS
1	и в	36	14
2	не только	40	10
3	а не	16	10
4	и не	14	8
5	прежде всего	7	8
6	то что	5	7
7	не может	3	7
8	в этом	19	7
9	эстетического объекта	6	6
10	в искусстве	3	6
11	может быть	19	6
12	то же	7	5
13	все это	5	5
14	в конечном	5	4
15	но и	26	4
16	в этой	10	4
17	конечном счете	5	4
18	с другой	10	4
19	в их	7	4
20	не о	2	3
21	в частности	19	3
22	и т.д	3	3
23	не следует	5	3
24	это не	4	3
25	только к	2	3
26	очевидно что	2	3
27	и то	2	3
28	в своей	12	3
29	все же	6	3
30	не как	3	3
31	как и	27	3
32	в то	8	3
33	но в	8	3
34	же время	7	3
35	по нашему	3	3
36	или точнее	2	3
37	было бы	6	3
38	другой стороны	7	3
39	для него	8	3
40	в самом	7	2
41	в себе	7	2
42	что мы	2	2
43	о чем	5	2
44	на эту	2	2
45	что он	5	2
46	крайней мере	5	2
47	таким образом	4	2
48	т.е в	2	2
49	но не	13	2
50	и для	4	2
51	если бы	2	2
52	противном случае	2	2
53	более чем	2	2
54	между тем	8	2
55	самом деле	2	2
56	только в	9	2
57	в противовес	2	2
58	и является	3	2
59	не есть	6	2
60	что она	3	2
61	ничего не	3	2
62	не случайно	13	2
63	что и	10	2
64	по крайней	5	2
65	вопроса о	2	2
66	могут быть	4	2
67	не могут	2	2
68	это было	2	2
69	превращается в	3	2
70	по себе	6	2
71	тем что	3	2
72	том что	19	2
73	в сторону	2	2
74	в его	12	2
75	сводится к	5	2
76	все они	2	2
77	в том	16	2
78	этом отношении	3	2
79	с его	15	2
80	как раз	8	2
81	представляется нам	2	2
82	а о	2	2
83	но это	3	2
84	для всех	5	2
85	в противном	2	2
86	не в	9	2
87	бы и	2	2
88	нам представляется	2	2
89	в конце	6	2
90	мы не	4	2
91	могли бы	2	2
92	в итоге	4	2
93	не столько	4	2
