N	2gram	Tiupa_Hudo	Istorich
1	и в	23	181
2	может быть	19	115
3	не только	20	114
4	что он	5	111
5	мы имеем	6	102
6	что в	7	90
7	но и	14	85
8	в этом	12	81
9	то что	5	73
10	таким образом	3	72
11	и не	16	67
12	в этих	4	64
13	еще не	4	63
14	не может	9	61
15	так же	2	57
16	то же	12	56
17	никогда не	2	56
18	в том	20	53
19	том что	9	53
20	с другой	9	52
21	а в	13	52
22	потому что	3	52
23	что и	2	51
24	и что	4	51
25	о том	2	48
26	а не	13	48
27	его в	4	47
28	не в	9	47
29	другой стороны	6	46
30	превращается в	2	45
31	но в	10	44
32	это не	4	43
33	и его	12	43
34	в нем	6	42
35	только в	7	42
36	как в	2	42
37	или в	2	39
38	в его	11	38
39	и на	3	38
40	так и	12	37
41	он не	4	37
42	уже не	6	37
43	как и	3	37
44	все эти	2	35
45	не всегда	2	34
46	но не	13	34
47	а именно	3	34
48	связи с	3	34
49	у него	2	34
50	об этом	2	33
51	в качестве	31	32
52	так в	4	31
53	представляет собой	11	31
54	прежде всего	5	31
55	один из	2	31
56	в русской	3	30
57	с одной	3	30
58	к нему	3	30
59	одной стороны	3	29
60	например в	4	28
61	что она	2	28
62	и другие	2	28
63	в иной	3	28
64	того что	5	27
65	могут быть	5	27
66	как это	7	26
67	и др	2	26
68	если бы	3	24
69	не менее	5	24
70	все это	2	23
71	тем не	3	23
72	в частности	18	23
73	в этой	2	23
74	их в	3	23
75	имеем в	3	23
76	и это	2	23
77	как бы	11	23
78	при этом	19	22
79	и по	2	22
80	с ним	2	22
81	в одном	3	21
82	сказать что	4	21
83	ее в	2	21
84	в другом	4	21
85	к тому	4	21
86	здесь не	2	21
87	в связи	3	21
88	одна из	2	20
89	в силу	4	20
90	из этих	3	20
91	а затем	2	19
92	и как	4	19
93	но он	3	19
94	не все	2	18
95	в данном	4	18
96	вовсе не	2	18
97	в то	8	18
98	в них	2	17
99	дело не	2	17
100	не вполне	2	16
101	со стороны	5	16
102	между двумя	2	16
103	во всех	3	16
104	в целом	3	15
105	в своей	7	15
106	даже в	3	15
107	и то	4	15
108	в пределах	3	15
109	тот кто	2	15
110	и тем	4	15
111	отношение к	7	14
112	а также	6	14
113	с этой	3	14
114	на смену	4	14
115	право на	2	14
116	отношению к	10	14
117	из которых	2	14
118	и ее	3	14
119	одной из	2	14
120	по отношению	10	14
121	к своему	2	13
122	своего рода	9	13
123	и для	3	13
124	на котором	2	13
125	тогда как	15	13
126	на этом	2	13
127	в своем	4	13
128	в себе	13	13
129	с ними	2	13
130	не просто	2	13
131	в форме	4	13
132	по себе	2	13
133	в их	5	12
134	одним из	2	12
135	не знает	4	12
136	никто не	3	11
137	и более	2	11
138	точки зрения	11	11
139	хотя и	4	11
140	далеко не	4	11
141	к которому	4	11
142	я не	2	11
143	в ее	6	10
144	вступает в	2	10
145	но как	2	10
146	вслед за	2	10
147	как правило	3	10
148	он и	2	10
149	на основе	2	10
150	не как	2	10
151	а с	2	10
152	в которой	3	10
153	ни в	5	10
154	о чем	3	10
155	а на	5	10
156	еще один	2	10
157	себя в	8	10
158	и к	3	10
159	он должен	3	9
160	в основе	7	9
161	в свою	3	9
162	из этого	2	9
