N	3gram	Propp_Isto	Psycholo
1	в том что	6	78
2	на то что	5	55
3	о том что	5	34
4	то же самое	3	31
5	с одной стороны	7	28
6	до сих пор	11	23
7	не может быть	8	23
8	и т д	35	22
9	с другой стороны	7	20
10	мы увидим что	8	19
11	на самом деле	2	17
12	с самого начала	4	16
13	мы видим что	12	16
14	в зависимости от	3	15
15	так же как	6	14
16	в то время	3	14
17	само по себе	2	14
18	можно было бы	5	13
19	то время как	3	13
20	то что в	2	11
21	подобно тому как	3	11
22	вместе с тем	7	10
23	что он не	4	9
24	потому что он	2	9
25	надо сказать что	4	9
26	в отличие от	3	9
27	точно так же	8	9
28	то что она	2	8
29	мы знаем что	7	8
30	друг с другом	3	8
31	по этому поводу	2	8
32	с тем что	3	8
33	на этот вопрос	2	7
34	если бы мы	2	7
35	более или менее	5	6
36	тем не менее	7	6
37	не что иное	3	6
38	что иное как	3	6
39	по его мнению	2	6
40	мы не можем	3	6
41	и тот же	2	6
42	и только после	2	6
43	не только в	5	6
44	и вместе с	2	5
45	образом мы видим	2	5
46	мы видели что	3	5
47	о том как	2	5
48	один и тот	2	5
49	вместо того чтобы	2	5
50	таким образом мы	3	4
51	вопрос о том	2	4
52	но так как	2	4
53	мы должны будем	4	4
54	и для нас	2	4
55	здесь мы видим	2	4
56	как будто бы	2	4
57	за то что	2	4
58	и когда он	3	4
59	же самое что	2	4
60	бы то ни	2	3
61	мы обратимся к	2	3
62	после того как	2	3
63	в это время	2	3
64	так как в	2	3
65	и что они	3	3
66	в этом случае	3	3
67	по себе а	2	3
68	иметь в виду	2	3
69	по отношению к	6	3
70	оно может быть	2	3
71	дело в том	3	3
72	мы имеем в	4	2
73	же обстоит дело	2	2
74	дело не в	2	2
75	все же не	2	2
76	то ни было	2	2
77	том что они	3	2
78	мы увидим ниже	5	2
79	есть не что	2	2
80	но и в	4	2
81	здесь мы имеем	2	2
82	в связи с	5	2
83	т д все	3	2
84	мы уже знаем	3	2
85	и в русской	2	2
86	как мы увидим	2	2
87	если это так	2	2
88	так же обстоит	2	2
89	и тем не	2	2
90	не означает что	2	2
91	т д и	2	2
92	так же и	2	2
93	как один из	2	2
94	но они не	3	2
95	должны были бы	2	2
96	уже знаем что	2	2
97	а может быть	2	2
98	так например в	5	2
