N	3gram	Vygotskiy_	VLabPisa
1	в этом отношении	7	14
2	с другой стороны	3	8
3	не может быть	6	8
4	по отношению к	9	7
5	по этому поводу	3	7
6	в конечном счете	2	5
7	в то же	2	5
8	в том что	24	5
9	в зависимости от	6	5
10	вместе с тем	6	4
11	в силу этого	2	4
12	к тому что	10	4
13	можно сказать что	7	4
14	не могут быть	3	4
15	мы видели что	3	3
16	подобно тому как	2	3
17	для того чтобы	24	3
18	в этой области	2	3
19	о том что	4	3
20	в значительной мере	2	3
21	всего сказанного выше	2	2
22	с одной стороны	7	2
23	не только не	11	2
24	в этом и	2	2
25	от того что	2	2
26	в том числе	2	2
27	одной стороны и	4	2
28	в силу чего	4	2
29	этой точки зрения	4	2
30	и не может	2	2
31	не только в	2	2
32	мы знаем что	2	2
33	том числе и	2	2
34	до сих пор	6	2
35	и том же	3	2
36	не могут не	4	2
37	только в том	2	2
38	таким образом в	2	2
39	каждой из этих	2	2
40	приводит к тому	3	2
41	можно было бы	5	2
42	одном и том	3	2
