N	3gram	Bakhtin_fo	Marksizm
1	с точки зрения	9	46
2	не может быть	4	25
3	в то же	10	15
4	по отношению к	3	15
5	то же время	13	15
6	в связи с	12	14
7	в том что	4	14
8	для того чтобы	11	11
9	до сих пор	4	11
10	с самого начала	3	10
11	в отличие от	3	10
12	одного и того	6	9
13	но в то	2	9
14	как если бы	2	9
15	в большинстве случаев	2	9
16	и того же	6	9
17	может быть и	4	8
18	в точном смысле	3	6
19	с одной стороны	3	6
20	как мы уже	11	6
21	той или иной	3	5
22	и как бы	2	5
23	в этом отношении	5	5
24	и прежде всего	4	4
25	о том что	2	4
26	нашей точки зрения	3	4
27	в нем нет	2	4
28	вполне понятно что	4	4
29	быть и речи	2	4
30	но все же	3	4
31	и то же	4	3
32	на первый план	2	3
33	все более и	2	3
34	лежит в основе	2	3
35	друг с другом	5	3
36	между этими двумя	3	3
37	в том числе	7	3
38	более и более	2	3
39	одно и то	4	3
40	одной стороны и	2	3
41	вовсе не является	2	3
42	не только в	6	3
43	но и в	5	3
44	том числе и	4	3
45	и в этом	2	3
46	в ее целом	2	3
47	связи с этим	4	3
48	в той или	2	3
49	и та же	2	2
50	прежде всего в	3	2
51	же как и	2	2
52	в широком смысле	3	2
53	одна и та	2	2
54	так же как	2	2
55	и в других	4	2
56	в эпоху возрождения	3	2
57	в данном случае	2	2
58	как и в	3	2
59	и в особенности	5	2
60	сами по себе	2	2
61	как мы увидим	2	2
62	к тому же	2	2
63	с нашей точки	3	2
64	в его целом	2	2
65	к себе самому	7	2
66	друг от друга	2	2
67	а следовательно и	3	2
68	с тем что	2	2
69	со всех сторон	2	2
70	точки зрения не	3	2
71	лишь в пределах	2	2
