N	2gram	Tiupa_Anal	Otkroven
1	у него	2	22
2	и в	36	19
3	но и	26	13
4	и не	14	13
5	в этом	19	12
6	не только	40	11
7	человека в	3	11
8	не в	9	11
9	а не	16	11
10	может быть	19	11
11	и все	3	10
12	человека и	2	10
13	в нем	3	10
14	никогда не	7	9
15	не было	3	9
16	прежде всего	7	9
17	и он	4	8
18	он был	3	8
19	лишь в	9	7
20	в его	12	7
21	он не	9	7
22	в глубине	3	7
23	как и	27	6
24	все это	5	6
25	для него	8	5
26	а в	17	5
27	в том	16	5
28	о его	3	5
29	в самом	7	5
30	то что	5	5
31	в этой	10	5
32	отношение к	2	5
33	и его	18	4
34	что в	15	4
35	он сам	2	4
36	все эти	2	4
37	т е	2	4
38	не может	3	4
39	что не	3	4
40	с его	15	4
41	в себе	7	3
42	и от	3	3
43	о том	9	3
44	это не	4	3
45	не могут	2	3
46	что он	5	3
47	и вот	2	3
48	было бы	6	3
49	еще не	7	3
50	все что	2	3
51	в этих	2	3
52	в своих	3	3
53	в русской	9	3
54	когда он	2	3
55	и ее	3	3
56	как бы	14	3
57	могут быть	4	3
58	это было	2	3
59	с ним	2	3
60	того что	4	3
61	как к	2	2
62	одно из	3	2
63	и то	2	2
64	сказать что	2	2
65	и на	5	2
66	этом он	2	2
67	с тем	2	2
68	уже в	5	2
69	мысль о	3	2
70	и для	4	2
71	ничего не	3	2
72	что и	10	2
73	ее в	2	2
74	и потому	3	2
75	в ее	5	2
76	в своем	7	2
77	тем что	3	2
78	но в	8	2
79	том что	19	2
80	к этой	2	2
81	все же	6	2
82	о которой	2	2
83	жизни в	4	2
84	в своей	12	2
85	по себе	6	2
86	что у	3	2
87	должен был	2	2
88	что они	3	2
89	так что	2	2
90	своей жизни	2	2
91	не есть	6	2
92	к этому	3	2
93	все еще	2	2
94	и к	7	2
95	так и	19	2
96	личности и	4	2
97	хотя и	4	2
98	его не	3	2
99	в другом	3	2
100	его в	4	2
