N	2gram	Voloshinov	DiskursI
1	в качестве	4	72
2	а не	7	60
3	может быть	13	56
4	не только	28	49
5	и в	42	49
6	как и	12	47
7	при этом	9	46
8	в том	3	44
9	и не	14	44
10	то есть	5	41
11	представляет собой	2	41
12	том что	3	40
13	в этом	10	38
14	в себе	10	37
15	в частности	3	36
16	но и	16	35
17	и т.п	25	32
18	но не	2	31
19	так и	7	28
20	но в	5	28
21	не может	13	27
22	по своей	2	26
23	как в	3	25
24	еще не	3	23
25	отнюдь не	10	23
26	все же	9	19
27	прежде всего	22	19
28	в нем	6	19
29	в своей	2	19
30	в основе	3	18
31	по отношению	2	17
32	то же	16	17
33	отношению к	2	17
34	в мире	2	17
35	точки зрения	11	16
36	только в	7	16
37	роль в	3	15
38	в его	6	15
39	то что	9	15
40	о том	4	15
41	это не	3	14
42	или иной	6	14
43	не в	6	14
44	можно сказать	4	14
45	не является	5	14
46	ни к	2	14
47	в целом	4	13
48	речевого общения	8	13
49	для него	3	13
50	как бы	30	13
51	и все	4	12
52	в своих	2	12
53	и на	7	12
54	с его	8	11
55	и как	10	11
56	не было	2	11
57	а в	5	10
58	а с	5	10
59	высказывания в	3	10
60	той или	4	10
61	вследствие этого	3	10
62	также и	2	10
63	и т.д	21	10
64	же время	7	10
65	тем самым	8	9
66	в то	9	9
67	между тем	3	9
68	уже не	4	9
69	себя в	4	9
70	человека в	2	8
71	этом отношении	2	8
72	как уже	2	8
73	к тому	4	8
74	потому что	7	8
75	хотя и	3	8
76	и даже	3	8
77	в этих	2	8
78	не с	3	8
79	в котором	3	8
80	в одном	4	8
81	из них	3	8
82	он не	2	8
83	перед нами	3	7
84	его в	4	7
85	о чем	2	7
86	одной из	2	7
87	и для	3	7
88	но это	2	7
89	в процессе	6	7
90	что и	3	7
91	в этой	6	7
92	к этому	2	7
93	лишь в	4	7
94	в пределах	2	7
95	той же	7	7
96	и его	7	7
97	таким образом	8	7
98	тому же	2	7
99	никогда не	7	6
100	отношение к	2	6
101	что он	2	6
102	не знает	3	6
103	однако в	2	6
104	что же	8	6
105	здесь не	2	6
106	в ее	3	6
107	и то	5	6
108	во всех	6	6
109	времени и	2	6
110	в которых	2	6
111	с точки	5	6
112	ничего не	8	5
113	общения в	4	5
114	в виду	3	5
115	в их	2	5
116	не всегда	2	5
117	свою очередь	4	5
118	и потому	2	5
119	того что	4	5
120	несмотря на	3	5
121	один из	4	5
122	было в	4	5
123	сказать что	3	5
124	значительной степени	2	5
125	но при	3	5
126	из этих	2	5
127	так сказать	4	5
128	во второй	3	5
129	я и	2	5
130	из двух	2	5
131	в значительной	2	5
132	к той	3	5
133	в свою	6	5
134	внутренней речи	18	5
135	высказывания не	2	5
136	зрения на	3	5
137	обращения к	2	5
138	в той	5	5
139	перед ним	3	5
