N	3gram	Vinokur_Ku	Vladivir
1	в том что	23	29
2	о том что	6	22
3	тем не менее	9	18
4	что же касается	4	14
5	во всяком случае	8	12
6	в связи с	4	12
7	более или менее	3	11
8	в конце концов	3	11
9	в то же	4	10
10	с точки зрения	16	10
11	не может быть	5	10
12	вместе с тем	3	10
13	то же время	4	9
14	в этом смысле	8	9
15	на то что	3	8
16	в свое время	4	7
17	точно так же	4	7
18	том что он	4	6
19	в отличие от	3	6
20	в настоящее время	2	6
21	с другой стороны	12	6
22	так или иначе	3	6
23	само по себе	6	6
24	но даже и	2	5
25	не говоря уже	2	5
26	и потому что	4	5
27	не только в	4	5
28	и в том	2	5
29	по крайней мере	11	4
30	можно сказать что	2	4
31	не что иное	2	4
32	в этом отношении	8	4
33	можно было бы	11	4
34	заключается в том	2	4
35	с одной стороны	2	4
36	для того чтобы	21	4
37	что иное как	2	4
38	и т д	21	4
39	в том чтобы	9	4
40	в том случае	3	3
41	ни в каком	2	3
42	в первую очередь	3	3
43	ничего общего с	2	3
44	в самом деле	14	3
45	только в том	5	3
46	а с другой	3	3
47	к тому что	2	3
48	не в том	5	3
49	мы знаем что	2	3
50	хотя бы и	4	3
51	в свою очередь	4	3
52	хотя бы на	2	3
53	а в том	2	3
54	и не в	2	2
55	с первого же	2	2
56	то обстоятельство что	15	2
57	после того как	2	2
58	так и в	2	2
59	том случае если	3	2
60	так же как	3	2
61	в том и	3	2
62	но в том	2	2
63	сводится к тому	2	2
64	до сих пор	5	2
65	те или иные	2	2
66	а следовательно и	2	2
67	и тем не	4	2
68	что можно сказать	2	2
69	в этой области	3	2
70	в этом случае	4	2
71	и то обстоятельство	2	2
