N	3gram	Medvedev_V	Freidism
1	не может быть	8	14
2	по отношению к	7	11
3	в том что	5	9
4	во всяком случае	2	8
5	в то же	5	6
6	мы знаем что	2	6
7	то же время	5	6
8	можно сказать что	4	5
9	в этом отношении	14	4
10	не могут быть	4	4
11	в зависимости от	5	4
12	о том что	3	3
13	для того чтобы	3	3
14	только то что	2	3
15	в конечном счете	5	3
16	и не может	2	3
17	до сих пор	2	3
18	что все эти	2	3
19	мы видели что	3	3
20	к тому что	4	2
21	таким образом в	2	2
22	в другом месте	2	2
23	хотя бы и	5	2
24	в конце концов	2	2
25	с одной стороны	2	2
26	в чем же	2	2
27	равно как и	4	2
28	это и есть	3	2
