N	2gram	Ircho_Kome	RusskieA
1	и в	40	79
2	в том	19	64
3	том что	19	59
4	что в	12	57
5	т е	14	54
6	не только	12	41
7	во время	11	38
8	так как	6	34
9	в этом	9	33
10	и другие	3	33
11	как бы	3	31
12	но и	14	31
13	в и	3	30
14	в других	3	30
15	как и	12	28
16	может быть	16	28
17	и на	9	28
18	одна из	4	24
19	и т	11	23
20	о том	12	23
21	при этом	5	22
22	в поле	4	22
23	т д	4	21
24	это не	2	20
25	е в	2	20
26	как мы	5	20
27	а в	9	20
28	там же	4	20
29	из них	16	19
30	все это	7	18
31	с тем	5	17
32	потому что	8	17
33	то что	8	17
34	об этом	2	17
35	таким образом	13	17
36	вместе с	8	17
37	мы не	4	16
38	один из	9	15
39	или на	2	15
40	будто бы	2	15
41	у нас	3	14
42	мы видели	2	14
43	не менее	6	14
44	в них	7	14
45	как это	7	14
46	тем не	3	14
47	и не	19	14
48	и с	8	14
49	и что	2	14
50	так что	6	13
51	и по	6	13
52	к этому	8	13
53	не может	3	13
54	еще не	7	13
55	как в	8	13
56	в виде	3	12
57	тем что	5	12
58	что на	4	11
59	а на	2	11
60	а затем	4	11
61	но это	2	11
62	его в	6	10
63	и других	7	10
64	так и	17	10
65	между тем	9	10
66	все же	7	10
67	что и	10	10
68	а также	5	10
69	в течение	5	10
70	или в	5	10
71	о чем	2	9
72	но в	6	9
73	и все	4	9
74	что они	4	9
75	того как	3	9
76	в честь	3	9
77	то же	7	9
78	в г	28	9
79	но не	3	9
80	земли и	2	9
81	так же	4	8
82	после этого	3	8
83	на себя	5	8
84	того чтобы	4	8
85	же в	7	8
86	связи с	3	8
87	представление о	3	8
88	что это	5	8
89	не все	2	8
90	во всех	4	8
91	ее в	2	8
92	для того	3	8
93	в этих	5	8
94	что по	3	8
95	в своем	6	7
96	ничего не	4	7
97	не в	8	7
98	главным образом	4	7
99	должна была	3	7
100	в руках	4	7
101	к нему	5	7
102	было бы	8	7
103	до конца	3	7
104	для этого	2	7
105	из этих	5	7
106	в это	3	7
107	и как	3	7
108	это время	5	7
109	еще в	9	7
110	в эти	2	7
111	только в	6	7
112	связанные с	2	7
113	как будто	3	7
114	с собой	2	6
115	в этой	9	6
116	должны были	9	6
117	и их	3	6
118	и у	3	6
119	друг друга	2	6
120	на этом	3	6
121	в их	6	6
122	не всегда	2	6
123	только на	2	6
124	в в	8	6
125	тому что	4	6
126	к тому	15	6
127	в нем	8	6
128	так в	6	6
129	в году	3	6
130	же как	3	6
131	с ними	2	6
132	в качестве	8	6
133	в одном	10	6
134	что она	3	6
135	и о	3	6
136	также в	3	6
137	но они	2	6
138	после того	3	6
139	и более	2	6
140	вопрос о	5	5
141	в тех	5	5
142	но если	4	5
143	что он	11	5
144	вывод что	3	5
145	прежде всего	8	5
146	в свою	2	5
147	с этим	5	5
148	vii в	2	5
149	в то	14	5
150	в целом	6	5
151	для них	2	5
152	в связи	3	5
153	тот же	5	5
154	в его	8	5
155	по поводу	7	5
156	то и	3	5
157	его с	2	5
158	можно было	5	5
159	как правило	5	5
160	чаще всего	3	5
161	и для	4	5
162	с целью	2	5
163	с другой	7	5
164	г в	5	5
165	и к	2	5
166	отнюдь не	2	5
167	в доме	6	4
168	которые в	3	4
169	означает что	2	4
170	если в	3	4
171	и ее	5	4
172	под названием	2	4
173	нас не	2	4
174	на две	3	4
175	здесь мы	3	4
176	от них	3	4
177	или по	3	4
178	под именем	3	4
179	отличие от	4	4
180	в образе	4	4
181	могут быть	3	4
182	на землю	3	4
183	во всяком	4	4
184	и от	2	4
185	по своему	5	4
186	в древней	5	4
187	связанных с	2	4
188	а к	2	4
189	к ней	2	4
190	несмотря на	5	4
191	за ним	2	4
192	и здесь	6	4
193	в уже	4	4
194	такой же	2	4
195	в отличие	3	4
196	и из	2	4
197	в народном	7	4
198	ко времени	3	4
199	но все	4	4
200	что у	6	4
201	именно в	5	4
202	в котором	6	4
203	в своих	2	4
204	себя внимание	4	4
205	уже в	9	4
206	в ней	2	4
207	всяком случае	4	4
208	то время	8	4
209	в середине	5	4
210	по всем	2	4
211	и после	3	4
212	песни в	3	4
213	но он	2	4
214	своему происхождению	2	3
215	и поэтому	2	3
216	каждый из	3	3
217	в форме	2	3
218	с той	2	3
219	сразу же	5	3
220	обращает на	4	3
221	в виду	2	3
222	на все	3	3
223	к выводу	2	3
224	тут же	2	3
225	как он	2	3
226	возможно что	4	3
227	или менее	2	3
228	представления о	2	3
229	мы знаем	5	3
230	видно из	4	3
231	и это	3	3
232	тех пор	2	3
233	точки зрения	7	3
234	связь с	2	3
235	большинстве случаев	2	3
236	же не	2	3
237	в области	3	3
238	совсем не	2	3
239	в какой	2	3
240	в ее	2	3
241	и во	4	3
242	iii в	7	3
243	в своей	3	3
244	он был	4	3
245	нет и	2	3
246	из самых	2	3
247	место в	7	3
248	хотя и	6	3
249	также что	2	3
250	судить по	3	3
251	независимо от	5	3
252	по отношению	5	3
253	и еще	5	3
254	в которой	9	3
255	от этого	2	3
256	из наиболее	2	3
257	на него	4	3
258	в эту	2	3
259	если бы	4	3
260	известно что	4	3
261	для этой	3	3
262	так называемой	3	3
263	можно сделать	3	3
264	отношению к	5	3
265	сих пор	3	3
266	что касается	5	3
267	жизнь и	2	3
268	с одной	5	3
269	на этот	5	3
270	восходит к	4	3
271	не к	2	3
272	на то	3	3
273	все что	3	3
274	имело место	2	3
275	ii в	4	3
276	из которых	5	3
277	находится в	2	3
278	к числу	2	3
279	и его	17	3
280	по его	2	3
281	как на	2	3
282	в период	5	3
283	что именно	3	3
284	тому же	14	3
285	в большинстве	2	3
286	комический эффект	3	3
287	по содержанию	5	3
288	из других	3	3
289	до сих	3	3
290	время и	3	2
291	и притом	2	2
292	к этим	3	2
293	дома в	2	2
294	и следовательно	2	2
295	в себе	3	2
296	собой и	2	2
297	само собой	2	2
298	в духе	3	2
299	в развитии	2	2
300	сцены из	2	2
301	их к	3	2
302	в силу	4	2
303	iv в	36	2
304	вероятно что	3	2
305	в конце	7	2
306	остановиться на	2	2
307	отношение к	3	2
308	судя по	6	2
309	можно судить	4	2
310	за счет	3	2
311	одним из	3	2
312	и тем	2	2
313	в частности	7	2
314	е а	2	2
315	и за	3	2
316	на основании	7	2
317	т п	7	2
318	тем как	2	2
319	в один	2	2
320	образом в	2	2
321	на сцену	3	2
322	участие в	4	2
323	этим объясняется	3	2
324	ко всему	2	2
325	в более	4	2
326	а мы	2	2
327	ни одна	2	2
328	ту же	2	2
329	и без	3	2
330	одной стороны	5	2
331	ответ на	2	2
332	между прочим	2	2
333	полагают что	2	2
334	в состав	2	2
335	здесь в	4	2
336	когда в	3	2
337	в двух	6	2
338	по свидетельству	3	2
339	интерес к	2	2
340	который в	2	2
341	из своей	2	2
342	этому времени	3	2
343	относится к	2	2
344	так называемых	3	2
345	с его	4	2
346	и и	3	2
347	на всю	3	2
348	это еще	2	2
349	на которые	3	2
350	он не	5	2
351	право на	2	2
352	с г	2	2
353	другой стороны	6	2
354	в начале	7	2
355	время от	4	2
356	в каждом	2	2
357	собой в	2	2
358	в новое	2	2
359	и даже	5	2
360	мы можем	6	2
361	целый ряд	2	2
362	женщин и	2	2
363	этом отношении	3	2
364	не является	2	2
365	как по	2	2
366	с этой	3	2
367	с и	5	2
368	не означает	2	2
369	по всему	3	2
370	нас в	3	2
371	как известно	4	2
372	к людям	2	2
373	этой цели	3	2
374	были известны	2	2
375	в чем	3	2
376	если это	2	2
377	и если	2	2
378	следует признать	2	2
379	из всего	2	2
380	по себе	2	2
381	примерно в	5	2
382	к их	2	2
383	и теперь	3	2
384	из этого	2	2
385	этой же	3	2
386	говорить о	3	2
387	не более	2	2
388	и особенно	7	2
389	у него	6	2
390	друг другу	2	2
391	в первые	2	2
392	в нашем	2	2
393	однако не	2	2
394	они с	2	2
