N	4gram	Bakhtin_fo	FransuaR
1	в то же время	10	55
2	но в то же	2	20
3	в том числе и	4	17
4	как мы уже говорили	4	15
5	дело в том что	2	13
6	и в то же	6	12
7	как мы уже сказали	4	11
8	в той или иной	2	10
9	в средние века и	3	5
10	с одной стороны и	2	5
11	мы имеем в виду	2	5
12	в связи с этим	4	4
13	мы еще вернемся в	3	4
14	можно прямо сказать что	2	3
15	одного и того же	6	3
16	а также и в	2	2
17	может быть и речи	2	2
18	не может быть и	2	2
19	одна и та же	2	2
20	так же как и	2	2
21	все более и более	2	2
