N	3gram	Tiupa_Teor	KulturaY
1	для того чтобы	5	38
2	с точки зрения	3	36
3	в том что	10	33
4	в самом деле	2	29
5	тем не менее	3	19
6	с другой стороны	6	17
7	по отношению к	10	13
8	в связи с	3	12
9	и в самом	2	11
10	не может быть	5	11
11	в этом смысле	3	10
12	того или иного	6	9
13	а с другой	2	7
14	с одной стороны	3	7
15	в свою очередь	3	7
16	в то же	8	6
17	той или иной	3	6
18	этой точки зрения	2	6
19	то же время	8	6
20	в отличие от	7	6
21	более или менее	6	5
22	в соответствии с	2	5
23	в данном случае	5	5
24	с этой точки	2	5
25	тот или иной	3	4
26	в конечном счете	6	4
27	одного и того	4	4
28	том что он	2	4
29	к тому что	2	4
30	состоит в том	6	4
31	так или иначе	5	4
32	и того же	4	4
33	в противном случае	2	3
34	в таком случае	2	3
35	не могут быть	2	3
36	при этом что	2	3
37	в известном смысле	2	3
38	в виду не	3	3
39	тех или иных	3	3
40	сама по себе	2	3
41	бы то ни	2	2
42	мы имеем в	3	2
43	и то же	2	2
44	тем или иным	2	2
45	так и не	5	2
46	но он не	2	2
47	может быть и	2	2
48	в том числе	3	2
49	в стилистическом отношении	2	2
50	можно сказать что	3	2
51	и в то	2	2
52	в данный момент	2	2
53	по большей части	2	2
