N	2gram	Medvedev_F	VelikijI
1	и не	34	20
2	и в	54	16
3	так как	4	9
4	то что	14	9
5	еще не	6	8
6	в истории	10	8
7	и потому	9	7
8	что они	4	7
9	а не	11	7
10	не есть	4	6
11	в мире	4	5
12	как бы	10	5
13	но и	18	5
14	все это	11	5
15	хотя и	3	5
16	того что	7	5
17	и все	9	4
18	как и	18	4
19	в котором	2	4
20	потому что	2	4
21	в нем	25	4
22	в ней	15	4
23	что не	4	4
24	в его	30	4
25	говорить о	4	4
26	в этом	39	4
27	что он	8	4
28	так и	24	4
29	никогда не	6	3
30	превращается в	2	3
31	в жизни	3	3
32	что в	10	3
33	в том	17	3
34	и для	5	3
35	от этого	3	3
36	не имеет	2	3
37	тому что	3	3
38	но в	9	3
39	к тому	6	3
40	ни в	3	3
41	их в	2	3
42	они в	2	3
43	но это	4	3
44	должно быть	13	3
45	оно не	6	3
46	хотя бы	10	3
47	в своей	16	3
48	во всех	9	3
49	в конце	2	3
50	по этому	2	3
51	в них	4	3
52	жизни и	10	3
53	в первый	5	3
54	что и	10	3
55	не было	7	3
56	лишь в	15	3
57	и что	2	3
58	не в	16	3
59	все эти	12	3
60	в этих	3	3
61	должна быть	11	3
62	в чем	2	3
63	с его	12	3
64	с тем	11	2
65	они и	2	2
66	одна из	2	2
67	не так	4	2
68	но не	5	2
69	нет и	2	2
70	не могли	2	2
71	от этих	2	2
72	ее и	3	2
73	и это	4	2
74	это не	4	2
75	ее в	3	2
76	не только	14	2
77	не могут	8	2
78	является в	2	2
79	а в	11	2
80	том что	3	2
81	и во	2	2
82	от него	2	2
83	а к	2	2
84	во всяком	6	2
85	уже не	9	2
86	материалом для	2	2
87	могут быть	7	2
88	не к	2	2
89	значения и	4	2
90	в последнем	2	2
91	один из	4	2
92	т д	11	2
93	не будет	2	2
94	для них	4	2
95	того чтобы	4	2
96	мира в	2	2
97	тем что	6	2
98	мы не	6	2
99	конечно не	5	2
100	что было	2	2
101	только в	6	2
102	в форме	2	2
103	его и	2	2
104	прежде всего	34	2
105	и т	22	2
106	с ним	3	2
107	его не	2	2
108	всего в	5	2
109	между тем	4	2
110	для него	9	2
111	не с	2	2
