N	2gram	Berdyaev_M	Psycholo
1	то что	10	193
2	и в	61	190
3	в том	9	163
4	что в	12	123
5	потому что	25	114
6	том что	7	113
7	и что	4	108
8	может быть	42	107
9	в этом	34	100
10	то есть	3	97
11	все время	3	86
12	в самом	15	82
13	как бы	10	80
14	для того	4	78
15	того чтобы	4	78
16	что он	16	76
17	не только	42	75
18	и не	26	73
19	что она	5	71
20	самом деле	2	70
21	точки зрения	6	69
22	не может	39	68
23	так как	10	63
24	так же	5	63
25	было бы	11	56
26	если бы	5	55
27	и мы	2	54
28	то же	4	54
29	о том	5	54
30	как и	14	51
31	что и	6	50
32	а не	36	50
33	что это	5	49
34	только в	7	46
35	в сущности	2	46
36	сказать что	5	46
37	по себе	2	46
38	к тому	6	45
39	говорит что	3	45
40	не в	16	45
41	в этой	12	43
42	никогда не	30	42
43	и все	13	42
44	вместе с	7	41
45	но и	34	40
46	того что	13	39
47	и это	16	37
48	мы видим	4	37
49	и как	3	36
50	с тем	10	35
51	и его	13	34
52	что все	5	33
53	когда он	3	33
54	все же	2	33
55	тому что	2	33
56	все это	6	32
57	в себе	12	32
58	в ней	23	31
59	мы не	2	31
60	в его	10	31
61	он не	34	31
62	для нас	3	31
63	как будто	4	30
64	мы увидим	4	30
65	как в	9	30
66	и для	7	29
67	в нем	26	29
68	и когда	2	28
69	что они	4	28
70	увидим что	5	28
71	и то	2	28
72	в основе	4	27
73	в своих	4	27
74	а в	4	27
75	на деле	4	27
76	и на	9	27
77	в трагедии	3	26
78	так что	3	26
79	и здесь	6	25
80	жизни и	6	25
81	до конца	16	24
82	с таким	2	24
83	до сих	5	24
84	тем что	7	24
85	в своем	17	23
86	сих пор	5	23
87	для этого	3	23
88	целый ряд	2	23
89	могут быть	2	23
90	один из	9	23
91	что у	3	22
92	когда мы	2	22
93	с этим	4	22
94	между тем	2	22
95	всякий раз	2	22
96	в своей	18	21
97	и вот	7	21
98	в конце	11	21
99	ни в	3	21
100	в котором	9	21
101	в которых	5	21
102	той же	3	21
103	она не	9	20
104	все эти	3	20
105	в то	2	20
106	это не	10	20
107	на этом	5	20
108	в ее	3	19
109	у него	38	19
110	в каком	2	18
111	на самом	2	18
112	но в	12	18
113	был бы	11	18
114	но не	8	18
115	в которой	8	18
116	с этой	4	18
117	есть не	9	18
118	и есть	21	18
119	в виду	2	17
120	у нас	13	17
121	но это	8	17
122	время как	2	17
123	так и	5	16
124	та же	4	16
125	не имеет	7	16
126	тому как	2	16
127	и к	9	16
128	от того	4	16
129	к этому	3	16
130	и потому	17	15
131	не могут	6	15
132	в них	5	15
133	во всех	3	15
134	для него	28	15
135	заключает в	3	14
136	должна быть	7	14
137	хотя бы	8	14
138	с ним	5	14
139	есть только	2	14
140	это и	7	14
141	прежде всего	18	14
142	одной и	2	14
143	это есть	4	14
144	того как	3	14
145	и той	2	14
146	бы в	3	14
147	в жизни	7	14
148	те же	5	14
149	то время	2	14
150	но он	17	14
151	должен был	4	13
152	как он	4	13
153	с такой	2	13
154	и он	21	13
155	в той	3	13
156	но если	4	12
157	и этот	4	12
158	в этих	6	12
159	в самой	8	12
160	конце концов	3	12
161	сам по	2	12
162	в свою	5	12
163	ничего не	4	12
164	тогда когда	2	12
165	что не	3	12
166	я не	4	12
167	об этом	2	12
168	и с	6	12
169	и поэтому	3	11
170	как к	2	11
171	он должен	4	11
172	подобно тому	2	11
173	не будет	3	11
174	по сравнению	3	11
175	думать что	4	11
176	сравнению с	2	11
177	и других	2	11
178	его в	6	11
179	на все	3	11
180	с его	6	11
181	есть в	3	11
182	на этот	2	11
183	уже в	6	11
184	не было	25	11
185	конечно не	3	11
186	от него	4	10
187	не так	6	10
188	тому чтобы	2	10
189	отличается от	2	10
190	и их	3	10
191	во всем	5	10
192	и у	3	10
193	в их	4	10
194	совсем не	3	10
195	должно быть	5	10
196	и от	3	10
197	бы не	4	9
198	вопрос о	7	9
199	и ее	2	9
200	оказывается что	2	9
201	и та	2	9
202	и по	4	9
203	мысль о	2	9
204	мысль что	4	9
205	не есть	21	9
206	должен быть	4	9
207	роль в	2	9
208	и именно	2	9
209	о чем	3	9
210	к чему	5	9
211	в чем	3	9
212	по своему	3	9
213	в него	3	9
214	которые не	2	9
215	его и	2	9
216	в самых	2	9
217	не к	6	9
218	что же	2	8
219	и во	5	8
220	в такой	4	8
221	и эта	3	8
222	и тот	2	8
223	себе и	4	8
224	и более	2	8
225	бы и	8	8
226	о нем	2	8
227	он в	4	8
228	место в	4	8
229	это значит	3	8
230	относится к	2	8
231	по преимуществу	4	8
232	к нему	8	8
233	жизнь и	5	8
234	будто бы	3	8
235	этой трагедии	2	7
236	она есть	3	7
237	различие между	2	7
238	приходит к	2	7
239	не как	4	7
240	бы его	2	7
241	одно из	3	7
242	от этого	4	7
243	они не	4	7
244	к самому	2	7
245	ни одного	2	7
246	должны быть	3	7
247	только один	3	7
248	к которой	4	7
249	лежит в	2	7
250	себя и	6	7
251	принадлежат к	3	7
252	нас в	3	7
253	что такое	2	7
254	все что	5	7
255	если он	7	7
256	в нашем	2	7
257	а как	2	7
258	от этой	2	7
259	и те	4	7
260	и там	10	7
261	мысли и	2	7
262	к этой	3	7
263	на том	3	7
264	не существует	5	7
265	с которым	2	7
266	в каждом	4	7
267	в отношении	6	6
268	к этим	3	6
269	отношение к	9	6
270	он же	3	6
271	еще более	3	6
272	людей и	5	6
273	тот кто	5	6
274	и без	2	6
275	за пределы	5	6
276	с необычайной	2	6
277	из самых	9	6
278	его с	4	6
279	не все	3	6
280	иное как	4	6
281	что иное	4	6
282	от всех	2	6
283	оно не	3	6
284	что за	2	6
285	начинает с	2	6
286	друг к	6	6
287	у всех	4	6
288	те которые	12	6
289	которые в	2	6
290	не потому	2	6
291	не что	4	6
292	только с	3	6
293	она была	2	6
294	в русской	4	6
295	и вместе	4	6
296	смысле слова	7	6
297	он был	18	6
298	значит что	4	6
299	к ней	6	6
300	к другу	6	6
301	никто не	3	6
302	что есть	7	6
303	уже не	8	6
304	приводит к	2	6
305	только одно	3	6
306	к одному	2	5
307	не имеют	2	5
308	человека и	19	5
309	и всегда	3	5
310	все равно	3	5
311	у них	4	5
312	и она	5	5
313	принадлежит к	3	5
314	если в	2	5
315	то в	2	5
316	и самый	2	5
317	бы это	2	5
318	и часто	2	5
319	это очень	3	5
320	не мог	6	5
321	том смысле	2	5
322	не знает	12	5
323	такой степени	2	5
324	чем в	3	5
325	его к	2	5
326	это все	2	5
327	нас не	2	5
328	тем как	2	5
329	он хочет	4	5
330	его не	5	5
331	одна и	3	5
332	что всякий	3	5
333	можно ли	2	5
334	эти слова	2	5
335	и еще	3	5
336	хотя и	2	5
337	но она	3	5
338	себя в	6	5
339	из этой	2	5
340	не значит	2	5
341	человека в	26	5
342	нет ни	3	5
343	она может	2	5
344	нет и	6	5
345	в творчестве	13	5
346	которых он	5	5
347	и тогда	2	5
348	отношения к	6	5
349	быть не	2	5
350	и за	2	5
351	своих героев	2	5
352	высшей степени	4	4
353	ее и	2	4
354	или от	2	4
355	этого вопроса	3	4
356	также и	6	4
357	от своего	2	4
358	потому не	3	4
359	к своему	2	4
360	к другому	4	4
361	любви и	3	4
362	означает что	3	4
363	ли он	2	4
364	в истории	2	4
365	всю жизнь	7	4
366	которую он	2	4
367	не до	2	4
368	он хотел	3	4
369	как у	2	4
370	после того	2	4
371	что без	2	4
372	все еще	2	4
373	с собой	5	4
374	из себя	2	4
375	но к	2	4
376	и никогда	4	4
377	и всякий	2	4
378	это верно	2	4
379	но для	2	4
380	по отношению	4	4
381	он мог	2	4
382	то все	2	4
383	и каждый	2	4
384	но эта	2	4
385	не остается	2	4
386	в свете	3	4
387	на два	2	4
388	с которой	2	4
389	может не	3	4
390	не для	2	4
391	литературы и	2	4
392	т е	5	4
393	человека не	6	4
394	с ней	3	4
395	к концу	5	4
396	показывает как	3	4
397	кто не	2	4
398	человек и	7	4
399	отношении к	4	4
400	человек который	5	4
401	хотел бы	5	4
402	в мире	12	4
403	не могу	4	4
404	мог бы	5	4
405	перед ним	3	4
406	пути и	2	4
407	к тем	2	4
408	душевной жизни	2	3
409	не о	2	3
410	ничего подобного	3	3
411	его на	4	3
412	одним из	2	3
413	сам не	4	3
414	он знает	2	3
415	учению о	2	3
416	они были	2	3
417	в более	4	3
418	этот случай	2	3
419	человеке и	8	3
420	же не	2	3
421	не бывает	3	3
422	не была	4	3
423	в центре	4	3
424	жизни а	3	3
425	средством для	2	3
426	и должно	3	3
427	была в	2	3
428	в последней	2	3
429	его как	2	3
430	и нет	3	3
431	не хотел	5	3
432	которая не	2	3
433	к себе	3	3
434	обнаруживается в	2	3
435	стоит в	3	3
436	в дневнике	4	3
437	ни к	2	3
438	то он	3	3
439	мы еще	4	3
440	с гениальной	2	3
441	на почве	3	3
442	весь в	5	3
443	одни и	2	3
444	личности и	3	3
445	еще в	4	3
446	со своей	2	3
447	которой он	2	3
448	и жизнь	3	3
449	не быть	2	3
450	но с	2	3
451	все в	7	3
452	и всю	2	3
453	он никогда	3	3
454	и характер	2	3
455	в наше	2	3
456	связано с	5	3
457	в разных	3	3
458	что нет	2	3
459	чем у	8	3
460	ко всем	3	3
461	жизнь в	4	3
462	человека то	2	3
463	нет ничего	9	3
464	быть может	9	3
465	на гибель	3	3
466	который должен	2	3
467	было в	3	3
468	и я	5	3
469	привести к	9	3
470	и можно	3	3
471	он сам	11	3
472	не принадлежит	3	3
473	а к	2	3
474	бы ни	2	3
475	что человек	5	3
476	в этот	2	3
477	перед собой	2	3
478	и самое	3	3
479	связана с	9	3
480	на земле	7	3
481	отношению к	4	3
482	он считает	2	3
483	я хотел	2	3
484	быть и	2	3
485	он и	2	3
486	в каком-то	2	3
487	но когда	3	3
488	много раз	2	3
489	же и	2	3
490	в высшей	4	3
491	от его	3	2
492	решить вопрос	2	2
493	с другим	3	2
494	о человеке	24	2
495	для человека	5	2
496	чем его	5	2
497	или к	4	2
498	жизни в	3	2
499	как ее	2	2
500	любовь в	2	2
501	до самой	5	2
502	и кто	2	2
503	не хочет	3	2
504	пребывает в	4	2
505	он весь	8	2
506	на пути	4	2
507	любит не	2	2
508	в любви	12	2
509	не надо	2	2
510	всего в	2	2
511	от всякого	2	2
512	этом он	4	2
513	мысли о	3	2
514	с того	2	2
515	для них	3	2
516	переходит в	23	2
517	говорят о	2	2
518	как для	2	2
519	много в	2	2
520	интерес к	5	2
521	теряет свою	4	2
522	во многих	2	2
523	бы он	2	2
524	в значительной	2	2
525	другим и	2	2
526	чем не	3	2
527	на поверхности	9	2
528	есть лишь	23	2
529	человеческой природы	27	2
530	вообще не	2	2
531	своему значению	3	2
532	на одной	2	2
533	когда человек	5	2
534	за собой	2	2
535	к самым	2	2
536	ко второй	2	2
537	есть уже	8	2
538	заложено в	3	2
539	но у	2	2
540	в обычном	2	2
541	выйти из	2	2
542	же что	2	2
543	толстого который	2	2
544	нового человека	2	2
545	это был	2	2
546	человека от	4	2
547	он до	4	2
548	его собственной	2	2
549	у самого	2	2
550	самому себе	2	2
551	чтобы не	4	2
552	этого необходимо	2	2
553	идет к	2	2
554	поэтому он	2	2
555	основании что	2	2
556	есть ли	2	2
557	ни у	2	2
558	ему удалось	2	2
559	по своей	4	2
560	не был	8	2
561	есть то	2	2
562	его творчество	2	2
563	нет в	5	2
564	ведь это	2	2
565	со своим	2	2
566	не от	3	2
567	и ложное	2	2
568	под ним	2	2
569	примириться с	2	2
