N	3gram	Bakhtin_Fr	Literetu
1	в то же	13	21
2	то же время	13	21
3	в том что	2	21
4	по отношению к	2	12
5	с одной стороны	4	12
6	в данном случае	3	11
7	в отличие от	3	11
8	не может быть	2	11
9	о том что	3	10
10	в этом отношении	4	10
11	с точки зрения	4	8
12	с другой стороны	5	7
13	в том числе	4	6
14	подобно тому как	2	6
15	не только в	3	6
16	в связи с	5	5
17	и прежде всего	3	4
18	во всяком случае	2	3
19	той или иной	2	3
20	на самом деле	5	3
21	одной стороны и	2	3
22	том числе и	3	3
23	он и сам	2	3
24	в том же	3	3
25	в свою очередь	2	3
26	в этой системе	2	2
27	для того чтобы	5	2
28	за то что	2	2
29	только то что	2	2
30	все же в	2	2
31	в xix веке	3	2
32	в первый раз	2	2
33	но и в	4	2
34	можно было бы	2	2
35	дело в том	2	2
36	в значительной степени	2	2
37	тех или иных	2	2
