N	2gram	Vinokur_Ku	EvropaiC
1	таким образом	17	34
2	в том	47	31
3	и в	44	24
4	том что	30	20
5	все эти	17	19
6	не может	13	18
7	то что	14	18
8	может быть	25	17
9	до сих	5	15
10	все же	17	15
11	сих пор	5	15
12	точки зрения	25	14
13	в этом	31	13
14	все это	10	13
15	в своем	4	12
16	с этим	6	12
17	самом деле	17	12
18	между тем	11	12
19	по отношению	9	11
20	но и	13	11
21	отношению к	9	11
22	не только	29	10
23	так и	10	10
24	мы знаем	3	10
25	как и	3	10
26	как бы	11	10
27	в результате	8	9
28	и не	23	9
29	не в	18	9
30	что в	25	9
31	и все	4	9
32	на то	6	9
33	того же	6	9
34	потому что	40	9
35	при этом	6	9
36	и что	11	9
37	так же	8	8
38	из этих	5	8
39	или менее	3	8
40	если бы	21	8
41	для того	23	8
42	идет речь	3	8
43	к тому	8	8
44	более или	3	8
45	в самом	20	8
46	знаем что	3	8
47	того чтобы	25	8
48	с точки	16	8
49	ясно что	7	8
50	на самом	3	7
51	для этого	6	7
52	о которых	2	7
53	так как	16	7
54	в силу	16	7
55	что он	7	7
56	того что	11	7
57	о котором	4	7
58	не менее	12	7
59	о том	10	7
60	что и	5	7
61	в этой	8	7
62	по существу	9	7
63	вместе с	8	7
64	в европе	2	6
65	отличается от	2	6
66	только в	15	6
67	еще не	10	6
68	и при	3	6
69	так что	5	6
70	что касается	4	6
71	в то	4	6
72	должна быть	6	6
73	и для	3	6
74	с другой	14	6
75	в общем	4	6
76	и если	4	6
77	и на	8	6
78	мы можем	2	6
79	несмотря на	6	6
80	тогда как	2	6
81	что с	2	6
82	как на	4	6
83	тому же	2	6
84	с ним	5	6
85	и от	2	5
86	но все	5	5
87	по сравнению	3	5
88	в себе	4	5
89	котором идет	3	5
90	в состоянии	2	5
91	должно быть	6	5
92	к этому	4	5
93	в которой	7	5
94	случае если	3	5
95	как к	2	5
96	тех кто	2	5
97	лишь в	6	5
98	на все	3	5
99	и их	2	5
100	между собою	3	5
101	из них	4	5
102	что это	11	5
103	так или	3	5
104	у него	3	5
105	что все	6	5
106	далеко не	2	5
107	но в	11	5
108	столь же	2	5
109	именно в	7	5
110	или иначе	4	5
111	и без	2	5
112	а потому	6	5
113	и с	11	5
114	другой стороны	12	5
115	в целом	5	5
116	в его	16	5
117	как будто	2	5
118	никогда не	2	4
119	и то	7	4
120	в такой	2	4
121	не могут	5	4
122	мы должны	2	4
123	поэтому что	2	4
124	всех этих	4	4
125	хотя бы	19	4
126	то ни	2	4
127	тем не	10	4
128	в конце	5	4
129	мало того	2	4
130	которых мы	2	4
131	отношение к	2	4
132	и у	3	4
133	целый ряд	8	4
134	социальной жизни	3	4
135	иначе говоря	2	4
136	конце концов	3	4
137	то же	12	4
138	с течением	2	4
139	в их	3	4
140	том же	3	4
141	в области	15	4
142	а с	3	4
143	одним из	2	4
144	совершенно не	4	4
145	что его	2	4
146	что для	3	4
147	с тем	5	4
148	не так	2	4
149	этом случае	4	4
150	и сейчас	3	4
151	течением времени	2	4
152	не есть	4	4
153	из которых	3	4
154	что мы	6	4
155	том случае	3	4
156	данный момент	3	4
157	связи с	8	4
158	этой области	3	4
159	в таком	3	4
160	он не	4	4
161	это есть	2	4
162	если мы	5	4
163	хотя и	7	4
164	даже в	4	3
165	данном случае	2	3
166	представление о	3	3
167	вопрос о	11	3
168	что их	2	3
169	тем самым	5	3
170	это не	13	3
171	что если	4	3
172	и потому	6	3
173	тем более	2	3
174	с современными	2	3
175	в настоящее	2	3
176	в тех	4	3
177	бы в	8	3
178	но даже	3	3
179	от того	5	3
180	настоящее время	2	3
181	только что	2	3
182	очевидно что	4	3
183	с этой	4	3
184	в этих	5	3
185	является ли	2	3
186	конечно не	3	3
187	в связи	4	3
188	одного и	2	3
189	как у	2	3
190	не надо	4	3
191	у нас	19	3
192	прежде всего	14	3
193	отличие от	3	3
194	с одной	3	3
195	в разных	2	3
196	образом в	3	3
197	что только	2	3
198	одно из	3	3
199	но не	11	3
200	очень много	3	3
201	и это	3	3
202	в данном	8	3
203	на этой	4	3
204	а в	7	3
205	может служить	4	3
206	на почве	2	3
207	естественно поэтому	2	3
208	в нем	7	3
209	в ней	6	3
210	что оно	6	3
211	тогда когда	7	3
212	для нас	6	3
213	в сторону	2	3
214	должны быть	4	3
215	было бы	28	3
216	и по	4	3
217	ему приходится	2	3
218	и может	3	3
219	ничего общего	2	3
220	в истории	3	3
221	случаях когда	2	3
222	в нашем	8	3
223	в совершенно	2	3
224	же как	3	3
225	и того	2	3
226	заключается в	3	3
227	уже и	3	3
228	тот же	7	3
229	как мы	2	3
230	чем в	3	3
231	для самого	3	2
232	все дело	3	2
233	нет в	2	2
234	меньше чем	2	2
235	тех же	2	2
236	то и	4	2
237	только то	2	2
238	но как	2	2
239	к ним	2	2
240	чтобы быть	2	2
241	или поздно	2	2
242	не потому	6	2
243	что она	5	2
244	в другом	2	2
245	а это	5	2
246	свою очередь	4	2
247	но если	2	2
248	борьбы с	2	2
249	должен быть	8	2
250	доказать что	3	2
251	зависимости от	9	2
252	как не	4	2
253	в виду	7	2
254	не было	6	2
255	следовательно и	2	2
256	он должен	2	2
257	в частности	6	2
258	что стоит	2	2
259	что они	5	2
260	на долю	3	2
261	от себя	3	2
262	точку зрения	2	2
263	и где	2	2
264	же касается	4	2
265	не знает	4	2
266	в одно	2	2
267	при отсутствии	2	2
268	том и	3	2
269	это конечно	2	2
270	для него	2	2
271	только тогда	4	2
272	мы видели	3	2
273	есть в	6	2
274	том чтобы	9	2
275	на месте	2	2
276	рано или	2	2
277	не имеет	6	2
278	же образом	2	2
279	общего с	2	2
280	можно встретить	2	2
281	для этой	2	2
282	но так	2	2
283	также и	7	2
284	что у	3	2
285	тому что	3	2
286	следует что	6	2
287	на том	4	2
288	они не	4	2
289	в самой	6	2
290	гораздо более	6	2
291	в котором	4	2
292	тех пор	2	2
293	на себе	10	2
294	я в	2	2
295	и там	2	2
296	давно уже	2	2
297	ту же	6	2
298	во втором	2	2
299	в своих	2	2
300	в свою	4	2
301	этот вопрос	7	2
302	и социальной	2	2
303	что на	2	2
304	в которых	8	2
305	при том	2	2
306	одной стороны	2	2
307	но для	4	2
308	между прочим	4	2
309	к такому	2	2
310	на этом	4	2
311	между ними	2	2
312	отнюдь не	5	2
313	борьба за	3	2
314	что за	3	2
315	в них	10	2
316	можно ли	6	2
317	что же	11	2
318	совершенно ясно	2	2
319	всяком случае	8	2
320	он тоже	2	2
321	сводится к	3	2
322	с ними	6	2
323	во всяком	8	2
324	и уже	2	2
325	на более	3	2
326	говорить о	5	2
327	и его	8	2
328	в сущности	11	2
329	же время	4	2
330	из предыдущего	2	2
331	и только	2	2
332	а следовательно	2	2
333	из одного	3	2
334	не следует	6	2
335	и более	3	2
336	что эти	4	2
337	этого слова	8	2
338	пришлось бы	2	2
339	в себя	2	2
340	но с	2	2
341	широком смысле	5	2
342	той же	5	2
343	я не	5	2
344	тем меньше	2	2
345	вовсе не	18	2
346	тем же	2	2
