N	2gram	Medvedev_S	Marksizm
1	может быть	2	64
2	и в	3	63
3	как бы	2	53
4	в этом	5	39
5	таким образом	2	38
6	не только	3	29
7	то же	2	28
8	но и	2	27
9	только в	2	23
10	в том	5	22
11	то что	2	22
12	том что	2	19
13	не в	3	19
14	в его	3	19
15	по отношению	2	16
16	отношению к	2	15
17	в смысле	2	14
18	было бы	2	13
19	что в	2	13
20	в результате	2	12
21	еще не	2	11
22	и что	2	11
23	за пределы	2	8
24	далеко не	2	7
25	она может	2	6
26	все это	7	6
27	должна быть	2	6
28	как же	3	5
29	в конце	2	5
30	тем более	2	5
31	или даже	2	4
32	но ведь	3	4
33	это и	2	4
34	социологического метода	3	4
35	конце концов	2	3
36	ведь это	2	3
37	главным образом	2	3
38	и только	3	3
39	в частности	2	2
