N	2gram	Tiupa_Lite	Morfolog
1	и т	2	62
2	может быть	24	61
3	таким образом	4	26
4	могут быть	4	21
5	так как	2	20
6	мы имеем	2	19
7	не может	10	19
8	в этом	19	18
9	в этих	2	17
10	представляет собой	5	17
11	и в	26	17
12	и не	19	16
13	прежде всего	14	14
14	по существу	4	13
15	и др	4	12
16	связи с	7	12
17	а не	28	11
18	то же	13	10
19	в том	22	10
20	то что	14	10
21	так и	7	10
22	что в	7	10
23	что и	3	10
24	а затем	3	10
25	в связи	4	10
26	этом случае	2	10
27	все же	6	9
28	но и	25	9
29	с другой	11	9
30	не только	29	8
31	в результате	2	8
32	но не	8	8
33	а в	5	8
34	мы не	5	8
35	в качестве	21	8
36	как мы	2	8
37	том что	19	7
38	если в	2	7
39	по отношению	6	7
40	тем не	4	7
41	не менее	11	7
42	отношению к	4	7
43	как это	9	7
44	а также	5	7
45	точки зрения	8	7
46	во втором	3	7
47	один из	7	7
48	потому что	5	7
49	это не	4	6
50	но это	2	6
51	во всех	4	6
52	и как	2	6
53	также и	3	6
54	подобно тому	4	6
55	в нашем	2	6
56	о том	3	6
57	с точки	4	6
58	как бы	8	6
59	вовсе не	3	6
60	одна из	8	5
61	ничего не	3	5
62	в поле	2	5
63	хотя бы	3	5
64	было бы	4	5
65	в ходе	2	5
66	со стороны	6	5
67	героя в	2	5
68	что он	8	5
69	как в	5	5
70	то это	2	5
71	далеко не	4	5
72	к тому	3	5
73	из которых	3	5
74	между тем	2	5
75	в целом	10	5
76	другой стороны	5	5
77	тому как	4	5
78	все эти	2	5
79	он не	4	5
80	его в	4	4
81	тех же	3	4
82	в то	12	4
83	можно было	3	4
84	к этому	2	4
85	тем что	6	4
86	не является	3	4
87	еще не	4	4
88	самом деле	2	4
89	из них	5	4
90	но в	5	4
91	что его	3	4
92	следующим образом	2	4
93	как и	13	4
94	а если	2	4
95	уже не	9	4
96	на этом	3	4
97	несмотря на	3	4
98	то в	3	3
99	но как	3	3
100	друг друга	5	3
101	и тем	4	3
102	та же	2	3
103	имеется в	2	3
104	не в	11	3
105	для того	2	3
106	героя и	2	3
107	с этой	6	3
108	у нас	5	3
109	а во	2	3
110	в пределах	4	3
111	в какой	2	3
112	того что	7	3
113	приводит к	4	3
114	как уже	3	3
115	для этой	2	3
116	это уже	2	3
117	на то	2	3
118	а то	2	3
119	что такое	2	3
120	состоит в	18	3
121	с собой	4	3
122	а по	2	3
123	в начале	4	3
124	и что	2	3
125	то с	2	3
126	же в	6	3
127	и его	7	3
128	только в	8	3
129	в сущности	5	3
130	и есть	3	3
131	и только	4	3
132	все еще	2	3
133	в этой	7	3
134	в бою	2	3
135	с его	5	3
136	данном случае	6	2
137	самого себя	3	2
138	себя в	7	2
139	и иных	2	2
140	в россии	2	2
141	путь к	2	2
142	в данном	7	2
143	из этих	2	2
144	от него	2	2
145	одной стороны	8	2
146	дело не	2	2
147	во второй	2	2
148	и подобные	2	2
149	к себе	3	2
150	в другом	3	2
151	и даже	9	2
152	роль в	2	2
153	после чего	2	2
154	превращается в	2	2
155	этом отношении	5	2
156	не на	2	2
157	в частности	18	2
158	ни было	2	2
159	одним из	8	2
160	этого не	2	2
161	и за	2	2
162	право на	4	2
163	в чем	2	2
164	не знает	3	2
165	с одной	9	2
166	а потому	4	2
167	должна быть	3	2
168	в итоге	2	2
169	а с	2	2
170	не с	2	2
171	одной из	2	2
172	не по	2	2
173	с тем	2	2
174	не имеет	2	2
175	но с	3	2
176	в своих	5	2
177	ту же	4	2
178	однако в	7	2
179	от других	2	2
180	для нас	3	2
181	всяком случае	2	2
182	то как	2	2
183	тогда как	20	2
184	себя и	3	2
185	в основе	5	2
186	у него	5	2
187	как будто	2	2
188	так называемых	2	2
189	из таких	2	2
190	например в	3	2
191	из его	2	2
192	который в	2	2
193	для него	6	2
194	в одном	2	2
195	во всяком	3	2
196	тем же	5	2
