N	2gram	Medvedev_F	EvropaiC
1	таким образом	28	34
2	в том	17	31
3	и в	54	24
4	том что	3	20
5	все эти	12	19
6	не может	26	18
7	то что	14	18
8	может быть	30	17
9	до сих	7	15
10	все же	8	15
11	сих пор	7	15
12	точки зрения	21	14
13	в этом	39	13
14	все это	11	13
15	в своем	12	12
16	с этим	6	12
17	самом деле	12	12
18	между тем	4	12
19	по отношению	4	11
20	но и	18	11
21	отношению к	4	11
22	культуры и	3	11
23	не только	14	10
24	так и	24	10
25	во всех	9	10
26	мы знаем	3	10
27	как и	18	10
28	как бы	10	10
29	в результате	8	9
30	и не	34	9
31	не в	16	9
32	что в	10	9
33	и все	9	9
34	на то	2	9
35	потому что	2	9
36	при этом	14	9
37	и что	2	9
38	так же	5	8
39	из этих	4	8
40	или менее	7	8
41	если бы	8	8
42	для того	3	8
43	к тому	6	8
44	более или	7	8
45	в самом	17	8
46	знаем что	2	8
47	того чтобы	4	8
48	с точки	17	8
49	ясно что	3	8
50	на самом	8	7
51	для этого	6	7
52	так как	4	7
53	что он	8	7
54	того что	7	7
55	не менее	12	7
56	из этого	2	7
57	что и	10	7
58	в этой	10	7
59	по существу	8	7
60	вместе с	8	7
61	в мире	4	6
62	отличается от	4	6
63	только в	6	6
64	у них	3	6
65	еще не	6	6
66	друг от	2	6
67	так что	2	6
68	в то	14	6
69	должна быть	11	6
70	и для	5	6
71	с другой	8	6
72	в общем	8	6
73	от друга	2	6
74	и если	2	6
75	и на	10	6
76	несмотря на	2	6
77	как на	5	6
78	с ним	3	6
79	и от	9	5
80	его в	5	5
81	но все	4	5
82	в себе	4	5
83	должно быть	13	5
84	к этому	3	5
85	в которой	5	5
86	как к	5	5
87	лишь в	15	5
88	на все	3	5
89	и их	13	5
90	ничем не	4	5
91	из них	5	5
92	далеко не	2	5
93	но в	9	5
94	столь же	2	5
95	именно в	12	5
96	или иначе	2	5
97	и истории	5	5
98	и с	17	5
99	и к	7	5
100	другой стороны	5	5
101	в целом	7	5
102	не будет	2	5
103	между двумя	3	5
104	в его	30	5
105	быть и	5	5
106	никогда не	6	4
107	в такой	3	4
108	не могут	8	4
109	что эта	2	4
110	всех этих	6	4
111	хотя бы	10	4
112	то ни	5	4
113	тем не	2	4
114	в конце	2	4
115	отношение к	4	4
116	целый ряд	4	4
117	социальной жизни	12	4
118	конце концов	2	4
119	ее и	3	4
120	своем развитии	2	4
121	та же	3	4
122	то же	16	4
123	в их	16	4
124	в области	6	4
125	в виде	2	4
126	совершенно не	5	4
127	что для	3	4
128	с тем	11	4
129	не так	4	4
130	в в	2	4
131	не есть	4	4
132	том случае	2	4
133	связи с	12	4
134	в таком	2	4
135	он не	8	4
136	если мы	5	4
137	в дальнейшем	3	4
138	хотя и	3	4
139	даже в	2	3
140	данном случае	2	3
141	представление о	2	3
142	вопрос о	3	3
143	тем самым	5	3
144	при помощи	2	3
145	возможно лишь	2	3
146	это не	4	3
147	что если	2	3
148	и потому	9	3
149	и до	8	3
150	от него	2	3
151	в настоящее	11	3
152	каждый из	3	3
153	бы в	6	3
154	но даже	2	3
155	ни было	2	3
156	от того	2	3
157	настоящее время	11	3
