N	2gram	Bakhtin_fo	Freidism
1	и не	19	34
2	таким образом	14	34
3	точки зрения	14	31
4	не может	8	30
5	и пр	2	29
6	может быть	18	28
7	и в	84	28
8	в этом	41	28
9	прежде всего	28	26
10	в его	19	25
11	и его	26	22
12	мы можем	2	20
13	с помощью	5	20
14	как бы	11	19
15	как мы	19	18
16	то что	13	17
17	вовсе не	20	16
18	так как	12	15
19	точка зрения	4	15
20	с точки	9	15
21	все эти	12	15
22	самом деле	2	14
23	так и	17	14
24	в своей	2	14
25	с ним	5	14
26	во всех	13	13
27	и все	10	13
28	но в	16	13
29	как и	15	13
30	по отношению	3	13
31	точку зрения	3	12
32	и потому	4	12
33	том что	7	12
34	то же	18	12
35	что он	2	12
36	мы видели	2	12
37	ни в	9	12
38	в самом	9	12
39	и наконец	6	12
40	для него	5	12
41	все это	10	12
42	сказать что	4	11
43	его в	8	11
44	отношению к	5	11
45	только в	12	11
46	никогда не	8	10
47	и с	10	10
48	не только	16	10
49	но и	14	10
50	не в	10	10
51	он не	6	10
52	в том	16	10
53	мы уже	17	10
54	все что	2	10
55	один из	5	10
56	тот же	4	10
57	конечно не	7	10
58	мы должны	2	9
59	могут быть	7	9
60	к этому	5	9
61	те же	5	9
62	совершенно не	3	9
63	и др	13	9
64	в чем	3	9
65	уже не	5	9
66	и на	13	9
67	мы не	4	9
68	а не	7	9
69	во всяком	5	9
70	с его	10	9
71	все же	12	8
72	с этим	11	8
73	было бы	2	8
74	и вот	2	8
75	еще не	8	8
76	с другими	3	8
77	а в	6	8
78	в ней	4	8
79	на этом	2	8
80	при этом	8	8
81	в каком	2	7
82	так сказать	14	7
83	не могут	4	7
84	до конца	5	7
85	в жизни	6	7
86	в то	13	7
87	в себе	7	7
88	что в	9	7
89	и ее	4	7
90	хотя бы	2	7
91	и для	12	7
92	отношение к	5	7
93	быть и	4	7
94	роль в	12	7
95	не является	4	7
96	того что	5	7
97	на протяжении	3	7
98	и у	8	7
99	его жизни	11	7
100	но не	9	7
101	что все	4	7
102	более того	4	7
103	с самого	3	7
104	об этом	3	7
105	в нем	28	7
106	если мы	2	7
107	и к	4	7
108	из них	8	7
109	и прежде	4	7
110	жизни и	12	7
111	в этой	3	7
112	одно из	3	6
113	мы имеем	2	6
114	из этих	5	6
115	человека и	15	6
116	всех этих	9	6
117	для того	12	6
118	в таком	4	6
119	и только	3	6
120	в пределах	8	6
121	в корне	2	6
122	она не	2	6
123	к тому	6	6
124	можно сказать	2	6
125	в свою	2	6
126	большинстве случаев	2	6
127	совсем не	4	6
128	здесь в	6	6
129	как раз	13	6
130	же время	13	6
131	во время	7	6
132	в основе	9	6
133	ничего не	9	5
134	тех же	2	5
135	с их	2	5
136	в которой	3	5
137	и по	5	5
138	со всеми	4	5
139	на первый	2	5
140	и те	4	5
141	между ними	5	5
142	в этих	6	5
143	чем не	5	5
144	как это	2	5
