N	2gram	Bakhtin_sl	Mirosoze
1	и в	69	97
2	может быть	40	64
3	не только	37	63
4	в этом	21	55
5	но и	37	54
6	он не	5	53
7	а не	29	53
8	в нем	44	49
9	не может	27	49
10	у него	5	47
11	и не	32	39
12	никогда не	9	38
13	потому что	2	37
14	в ней	7	37
15	не было	4	36
16	не в	14	34
17	и есть	2	33
18	для него	8	31
19	человека в	5	30
20	не есть	2	30
21	но он	4	30
22	прежде всего	14	29
23	как и	8	29
24	но в	13	27
25	человека и	3	26
26	в своей	8	25
27	и все	9	24
28	переходит в	3	24
29	у нас	2	24
30	в своем	9	23
31	что в	3	23
32	что он	2	22
33	в самом	6	21
34	в себе	3	20
35	отношение к	8	20
36	до конца	25	19
37	как бы	16	19
38	в его	19	18
39	и потому	9	17
40	того что	4	17
41	в том	7	16
42	том что	6	16
43	то что	2	16
44	было бы	3	16
45	и его	45	16
46	не был	2	15
47	не знает	3	15
48	в котором	2	15
49	она не	8	14
50	так как	7	14
51	человек в	6	14
52	друг друга	3	13
53	и на	17	13
54	это не	8	12
55	и у	2	12
56	к нему	7	12
57	смысле слова	2	12
58	в них	11	12
59	все это	14	12
60	но не	7	12
61	и там	6	11
62	но это	3	11
63	менее всего	3	11
64	хотя бы	6	11
65	в которой	4	11
66	только в	9	11
67	был бы	2	11
68	как в	18	11
69	и для	7	11
70	уже не	5	11
71	и к	9	11
72	жизни и	5	11
73	не могут	7	10
74	так же	2	10
75	есть не	2	10
76	один из	9	10
77	должна быть	3	10
78	то же	17	10
79	связана с	2	10
80	он весь	2	9
81	бы и	6	9
82	xix века	2	9
83	а в	10	9
84	к тому	3	9
85	что и	2	9
86	и во	3	9
87	из самых	2	9
88	х годов	2	9
89	должно быть	3	9
90	то есть	46	9
91	в свою	4	9
92	человек и	13	9
93	с ним	12	9
94	лишь в	6	9
95	вместе с	3	9
96	ничего не	5	8
97	от него	5	8
98	в этих	8	8
99	человеке и	3	8
100	они не	3	8
101	жизнь в	2	8
102	мира и	4	8
103	в отношении	9	8
104	тема о	2	8
105	только и	3	8
106	с его	8	8
107	себя в	14	8
108	за пределы	6	8
109	для того	2	8
110	отношении к	9	8
111	о том	5	8
112	и с	10	8
113	уже в	2	8
114	во власти	2	8
115	те же	3	7
116	как он	2	7
117	в духе	3	7
118	должен быть	3	7
119	что все	2	7
120	он в	6	7
121	точки зрения	24	7
122	себя и	2	7
123	на этом	4	7
124	жизни в	2	7
125	также и	5	7
126	отношения к	3	7
127	во всем	3	7
128	чем в	3	7
129	его в	7	6
130	или к	3	6
131	не как	4	6
132	на все	3	6
133	у них	2	6
134	людей и	2	6
135	и она	2	6
136	в ее	2	6
137	его на	2	6
138	его не	4	6
139	и те	3	6
140	быть и	6	6
141	того как	2	6
142	и от	5	6
143	и нет	3	6
144	можно было	2	6
145	к ней	2	6
146	с этой	3	6
147	же и	4	6
148	по своей	2	6
149	и более	3	6
150	на то	2	6
151	и здесь	5	6
152	него нет	3	6
153	оно не	12	5
154	в то	17	5
155	в их	6	5
156	так и	22	5
157	все время	4	5
158	от этого	2	5
159	связано с	3	5
160	в атмосфере	2	5
161	в более	2	5
162	как у	2	5
163	сказать что	4	5
164	интерес к	3	5
165	во всяком	9	5
166	в основе	8	5
167	да и	2	5
168	и мир	9	5
169	с этим	5	5
170	к новому	3	5
171	по преимуществу	5	5
172	момент в	2	5
173	отличается от	3	5
174	xx века	2	5
175	и как	3	5
176	мы увидим	2	5
177	для этого	4	5
178	еще не	9	5
179	его и	5	5
180	сих пор	4	5
181	на протяжении	3	5
182	культуры и	2	5
183	до сих	4	5
184	той же	3	5
185	по отношению	2	4
186	как о	2	4
187	в каждом	5	4
188	как к	5	4
189	так что	2	4
190	в разных	3	4
191	а с	2	4
192	по своему	2	4
193	они были	3	4
194	в чем	2	4
195	в него	9	4
196	только с	3	4
197	тому что	2	4
198	и этим	3	4
199	место в	2	4
200	могут быть	25	4
201	тогда когда	2	4
202	для них	2	4
203	не была	3	4
204	мы видим	2	4
205	и до	2	4
206	все эти	15	4
207	что они	2	4
208	в истории	6	4
209	не все	2	4
210	лежит в	5	4
211	с ней	2	4
212	и даже	11	4
213	и по	3	4
214	в свете	3	4
215	ни в	4	4
216	века в	2	4
217	и их	6	4
218	и только	2	4
219	особенно в	3	4
220	от всякого	2	4
221	мы не	4	4
222	отношению к	2	4
223	нас в	3	4
224	от его	4	4
225	время как	2	4
226	еще более	7	4
227	в той	13	4
228	может не	9	4
229	на своем	5	4
230	и что	2	4
231	то время	2	4
232	в свой	3	3
233	в иных	2	3
234	знает только	2	3
235	остается в	5	3
236	он никогда	2	3
237	не остается	2	3
238	сознание и	4	3
239	одним из	5	3
240	а лишь	2	3
241	с которым	4	3
242	и тем	3	3
243	но она	2	3
244	все же	10	3
245	на том	2	3
246	все его	4	3
247	даже и	4	3
248	между тем	5	3
249	в виду	2	3
250	он принимает	2	3
251	ту же	5	3
252	что оно	4	3
253	на его	9	3
254	же как	2	3
255	ли он	4	3
256	и самый	2	3
257	от всякой	3	3
258	эти слова	4	3
259	с таким	3	3
260	хотя и	4	3
261	и то	2	3
262	значительной степени	6	3
263	и эта	2	3
264	к этому	3	3
265	конечно не	7	3
266	в значительной	6	3
267	не значит	2	3
268	и той	2	3
269	и самое	3	3
270	к системе	3	3
271	для нас	7	3
272	со всеми	3	3
273	из него	4	3
274	в пределах	27	3
275	лишь как	3	3
276	во всех	25	3
277	не с	5	3
278	в самых	2	3
279	выходит за	3	3
280	он может	3	3
281	на почве	6	3
282	о себе	2	3
283	входит в	8	3
284	приводит к	2	3
285	в одном	4	3
286	всяком случае	7	3
287	роль в	4	3
288	очень трудно	2	2
289	на самом	2	2
290	в понимании	3	2
291	в плане	11	2
292	или иной	13	2
293	нисколько не	3	2
294	для сознания	2	2
295	со своим	13	2
296	бы его	2	2
297	а как	3	2
298	и других	5	2
299	жизни поэтому	3	2
300	такого рода	2	2
301	к своему	11	2
302	связанная с	2	2
303	его от	2	2
304	о нем	6	2
305	которые в	4	2
306	не менее	4	2
307	от этой	3	2
308	того же	7	2
309	могли бы	2	2
310	и сам	4	2
311	между ними	2	2
312	не столько	4	2
313	дано в	2	2
314	не были	3	2
315	когда она	2	2
316	связи с	4	2
317	в сущности	18	2
318	и ее	3	2
319	в социальном	2	2
320	столь же	2	2
321	этого слова	2	2
322	лишь при	2	2
323	до последнего	2	2
324	на всю	3	2
325	в романах	3	2
326	с которыми	2	2
327	в прошлом	2	2
328	то в	2	2
329	бы быть	2	2
330	его как	3	2
331	это было	2	2
332	этом отношении	2	2
333	и часто	7	2
334	которая не	3	2
335	целый ряд	2	2
336	мира в	2	2
337	в новых	2	2
338	сознания в	2	2
339	за его	2	2
340	смысле в	4	2
341	смысл и	3	2
342	и о	3	2
343	в какой	2	2
344	это отношение	2	2
345	новое слово	2	2
346	вообще не	4	2
347	с другой	8	2
348	в сфере	2	2
349	это сознание	2	2
350	в смысле	7	2
351	из себя	3	2
352	его романах	2	2
353	по себе	4	2
354	все формы	3	2
355	момент его	4	2
356	темы о	6	2
357	бы ни	3	2
358	но эта	2	2
359	все свои	2	2
