N	2gram	Vinokur_St	KulturaY
1	и т	36	143
2	т е	21	102
3	т п	11	93
4	и в	61	84
5	в том	56	74
6	потому что	13	68
7	не только	36	60
8	точки зрения	16	59
9	в этом	37	57
10	было бы	21	53
11	и не	23	52
12	может быть	16	47
13	том что	49	44
14	того чтобы	15	44
15	что в	41	44
16	т д	25	42
17	для того	15	41
18	в самом	14	41
19	у нас	12	38
20	самом деле	14	37
21	хотя бы	8	37
22	так как	7	36
23	с точки	10	36
24	в области	16	34
25	таким образом	16	33
26	а не	19	33
27	можно было	14	32
28	если бы	11	32
29	не в	15	30
30	прежде всего	11	30
31	в его	19	30
32	и пр	4	30
33	все же	12	29
34	того что	14	28
35	не менее	8	28
36	все эти	7	28
37	не может	10	25
38	то что	27	25
39	русского языка	2	25
40	вовсе не	24	25
41	вопрос о	9	24
42	еще не	4	24
43	с другой	11	24
44	так и	15	23
45	то же	7	23
46	только в	11	23
47	тем не	4	21
48	во всяком	8	20
49	но и	28	20
50	по себе	3	20
51	и что	8	20
52	то обстоятельство	3	19
53	что он	23	19
54	но в	16	19
55	обстоятельство что	4	19
56	языка и	4	19
57	зависимости от	2	19
58	тем что	6	19
59	о том	30	19
60	всяком случае	8	19
61	что же	6	19
62	между тем	7	18
63	связи с	3	18
64	все это	13	18
65	в качестве	7	18
66	к тому	9	18
67	с тем	3	18
68	в сущности	2	18
69	как бы	8	18
70	и с	6	18
71	вместе с	5	18
72	это не	8	17
73	как раз	10	17
74	как это	6	17
75	что это	5	17
76	другой стороны	9	17
77	о языке	2	17
78	в той	9	17
79	в виду	6	16
80	ничего не	6	16
81	в зависимости	2	16
82	что не	3	16
83	что и	8	16
84	тот же	2	16
85	но не	5	16
86	по отношению	3	15
87	и тем	3	15
88	только потому	2	15
89	а в	18	15
90	при этом	4	15
91	того как	8	15
92	в данном	16	15
93	целый ряд	3	15
94	лишь в	3	15
95	именно в	8	15
96	не было	7	15
97	как на	10	15
98	в них	2	14
99	хотя и	4	14
100	я не	13	14
101	сказать что	9	14
102	мы имеем	2	14
103	отношению к	3	14
104	сих пор	12	14
105	также и	10	14
106	что такое	2	14
107	и на	7	14
108	в ней	9	14
109	до сих	13	14
110	не могут	2	13
111	это и	5	13
112	по существу	3	13
113	между прочим	10	13
114	крайней мере	2	13
115	что она	5	13
116	по крайней	2	13
117	в этой	13	13
118	в которых	5	13
119	для нас	7	13
120	там где	6	13
121	и его	11	13
122	той же	5	13
123	этот вопрос	6	12
124	для этого	2	12
125	вопроса о	3	12
126	с этой	5	12
127	как в	15	12
128	того же	4	12
129	могут быть	5	12
130	этого слова	2	12
131	не трудно	4	12
132	в результате	5	12
133	но также	13	12
134	говорить о	3	12
135	ясно что	10	12
136	еще и	5	11
137	должен быть	3	11
138	в их	3	11
139	в своем	8	11
140	из этих	7	11
141	должна быть	3	11
142	в нем	9	11
143	этом отношении	13	11
144	совершенно не	7	11
145	и здесь	2	11
146	и то	6	11
147	в какой	4	11
148	уже в	3	11
149	он не	11	11
150	в каком	4	10
151	тем самым	2	10
152	в письмах	2	10
153	так же	7	10
154	в то	10	10
155	к этому	4	10
