N	2gram	Potebnia_M	slovoVRo
1	и в	58	92
2	и т	10	82
3	т п	6	72
4	то есть	69	64
5	в нем	26	59
6	может быть	47	59
7	и его	7	59
8	и не	34	51
9	не только	32	44
10	не может	30	41
11	но и	26	39
12	в этом	18	36
13	а не	38	34
14	во всех	12	32
15	так и	17	30
16	точки зрения	8	30
17	могут быть	17	29
18	языка и	20	29
19	в его	7	27
20	слова в	7	26
21	все это	3	25
22	языка в	6	25
23	слово в	2	24
24	слова и	7	24
25	как бы	12	24
26	то же	13	23
27	и на	8	22
28	не в	23	21
29	в сущности	2	21
30	как в	18	21
31	вовсе не	13	21
32	в то	6	20
33	прежде всего	8	19
34	как мы	3	19
35	как и	16	18
36	язык и	6	18
37	же время	4	18
38	с ним	7	18
39	все же	11	17
40	оно не	4	17
41	все эти	3	17
42	в истории	8	17
43	и даже	4	17
44	таким образом	21	17
45	при этом	17	16
46	в них	7	16
47	но в	12	16
48	там где	8	15
49	и с	3	15
50	с точки	4	15
51	так сказать	5	14
52	только в	36	14
53	это не	10	13
54	и следовательно	4	13
55	рядом с	3	13
56	с его	3	13
57	и для	8	13
58	с другой	13	13
59	в слове	21	13
60	никогда не	7	12
61	и потому	7	12
62	а в	11	12
63	или в	4	12
64	во всяком	9	12
65	словом и	2	12
66	еще не	9	12
67	слово как	2	12
68	один из	2	11
69	языка как	6	11
70	с ними	2	11
71	одной стороны	6	11
72	в этих	10	11
73	язык в	8	11
74	с одной	7	11
75	для него	13	11
76	все они	3	10
77	в своем	3	10
78	и их	6	10
79	в том	38	10
80	своего языка	2	10
81	и все	6	10
82	она не	3	10
83	в себе	22	10
84	с другими	3	10
85	всех этих	2	10
86	языку и	2	10
87	т д	6	10
88	лишь в	2	10
89	в языке	36	10
90	далеко не	4	10
91	уже не	4	10
92	его в	3	9
93	и от	5	9
94	одним из	2	9
95	и других	6	9
96	или менее	6	9
97	к нему	2	9
98	более или	6	9
99	в их	3	9
100	в своей	3	9
101	сказать что	5	9
102	одна из	4	9
103	так как	29	9
104	языка а	3	9
105	с ее	2	9
106	но не	19	9
107	в смысле	4	9
108	он не	4	9
109	язык не	5	8
110	не могут	10	8
111	в одной	2	8
112	человека и	2	8
113	может стать	3	8
114	в ней	9	8
115	языка но	3	8
116	не на	3	8
117	с этим	11	8
118	человека в	3	8
119	в самом	5	8
120	для нас	29	8
121	всяком случае	7	8
122	том что	21	7
123	от него	8	7
124	друг друга	6	7
125	язык как	7	7
126	его не	3	7
127	того же	13	7
128	в целом	3	7
129	связи с	6	7
130	например в	4	7
131	у него	3	7
132	значительной степени	3	7
133	здесь не	2	7
134	за пределы	4	7
135	слова к	2	7
136	но все	4	7
137	связанные с	3	7
138	еще более	2	7
139	жизни и	3	7
140	не было	7	7
141	и непосредственно	2	7
142	в таком	7	7
143	во всем	5	7
144	ничего не	2	6
145	и слова	2	6
146	на этом	3	6
147	и язык	12	6
148	языка то	4	6
149	что в	34	6
150	ни в	2	6
151	дело с	2	6
152	вне себя	3	6
153	другой стороны	7	6
154	этого языка	2	6
155	стороны и	3	6
156	хотя бы	4	6
157	к языку	6	6
158	именно в	2	6
159	в свою	8	6
160	себя и	3	6
161	по себе	24	6
162	в одном	13	6
163	слов и	5	6
164	между тем	7	6
165	языка не	5	5
166	слова не	2	5
167	между этими	2	5
168	в каждом	6	5
169	не как	4	5
170	а как	3	5
171	только на	4	5
172	слова с	2	5
173	не менее	10	5
174	и проч	11	5
175	но оно	3	5
176	отношению к	13	5
177	мы не	17	5
178	и по	8	5
179	должен быть	2	5
180	эти формы	2	5
181	в других	6	5
182	хотя и	6	5
183	для этого	2	5
184	и при	6	5
185	по отношению	15	5
186	и может	5	5
187	для того	8	5
188	должна быть	4	5
189	и более	3	5
190	не с	2	5
191	они не	5	5
192	о том	6	5
193	оно может	2	5
194	той же	3	5
195	уже в	5	5
196	имеет дело	2	5
197	или даже	3	5
198	и языка	4	5
199	но он	3	5
200	со словом	4	5
201	вместе с	12	5
202	оно и	4	4
203	следовательно и	2	4
204	на предмет	2	4
205	для всех	6	4
206	так же	7	4
207	его на	3	4
208	но как	4	4
209	образом в	5	4
210	а на	2	4
211	в другом	3	4
212	что и	16	4
213	ни были	3	4
214	языка или	2	4
215	в виду	2	4
216	что он	5	4
217	он должен	2	4
218	том же	3	4
219	не всегда	2	4
220	однако в	4	4
221	свою очередь	8	4
222	говорящего и	2	4
223	влияние на	4	4
224	того что	15	4
225	мы видели	5	4
226	как предмет	3	4
227	языке и	2	4
228	до сих	5	4
229	речи и	11	4
230	все его	2	4
231	те же	4	4
232	даже и	4	4
233	так в	4	4
234	в чем	6	4
