N	3gram	Savitsky_E	VeschiIm
1	не может быть	2	24
2	то ни было	4	12
3	бы то ни	4	12
4	в том что	6	9
5	на то что	2	7
6	по сравнению с	2	7
7	с точки зрения	16	6
8	в то же	15	5
9	не только в	4	5
10	в свою очередь	2	5
11	с этой точки	5	4
12	этой точки зрения	5	4
13	само по себе	4	4
14	то же время	14	4
15	из того что	2	3
16	можно сказать что	3	3
17	можно было бы	3	3
18	ту или иную	3	3
19	заключается в том	2	3
20	с одной стороны	8	3
21	с другой стороны	2	3
22	и в то	8	3
23	как бы ни	3	2
24	во всяком случае	3	2
25	в применении к	3	2
26	есть не только	2	2
27	хотя бы в	2	2
28	для того чтобы	5	2
29	в этом отношении	3	2
30	хотя бы и	3	2
31	в отношении к	12	2
32	так же как	5	2
33	друг с другом	3	2
34	в данном случае	2	2
35	в этом смысле	3	2
36	в последние годы	3	2
37	и в этом	4	2
38	и в частности	2	2
39	в той или	3	2
40	в данной области	2	2
