N	3gram	Losev_Vesc	RusskieA
1	в том что	9	49
2	и т д	36	21
3	тем не менее	11	14
4	вместе с тем	3	11
5	о том что	4	10
6	в том чтобы	2	9
7	в данном случае	2	8
8	для того чтобы	2	8
9	подобно тому как	5	8
10	мы не можем	3	7
11	т е в	7	7
12	не может быть	22	6
13	так же как	2	6
14	к тому что	2	5
15	мы видели что	3	5
16	не что иное	12	4
17	во всяком случае	2	4
18	в то время	4	4
19	можно было бы	3	4
20	только тогда когда	2	4
21	что иное как	12	4
22	более или менее	4	3
23	т е на	2	3
24	с точки зрения	6	3
25	все же не	3	3
26	на то что	7	3
27	в свою очередь	5	3
28	в этом и	2	2
29	можно сказать что	3	2
30	в этом отношении	2	2
31	о том как	4	2
32	т д и	11	2
33	ту или иную	3	2
34	не только в	5	2
35	вопрос о том	2	2
36	друг с другом	2	2
37	и в этом	2	2
38	с одной стороны	3	2
39	может быть только	6	2
40	с другой стороны	3	2
41	но все же	2	2
42	равно как и	4	2
