N	2gram	Berdyaev_O	Problema
1	и в	19	182
2	и не	13	152
3	то что	5	144
4	не есть	2	113
5	не только	11	104
6	потому что	9	89
7	в этом	12	88
8	может быть	11	82
9	том что	2	81
10	в том	5	81
11	сказать что	2	72
12	но и	13	70
13	по себе	2	64
14	даже и	2	63
15	о том	3	57
16	так и	2	56
17	а не	11	56
18	но в	2	55
19	так что	2	52
20	в себе	3	48
21	было бы	3	46
22	в своей	2	45
23	прежде всего	9	45
24	что в	4	44
25	в его	7	44
26	все эти	4	43
27	не в	11	43
28	так как	2	40
29	и то	2	40
30	что он	3	40
31	не может	4	39
32	в этой	5	39
33	как бы	3	39
34	хотя бы	3	37
35	того что	3	37
36	в нем	10	37
37	еще не	3	36
38	и все	10	36
39	и с	2	34
40	как и	6	34
41	в своем	2	31
42	все это	6	31
43	и для	2	30
44	все же	2	29
45	и о	2	28
46	что же	2	28
47	а в	5	28
48	ничего не	2	27
49	хотя и	2	27
50	это не	3	26
51	и его	4	26
52	и на	2	25
53	не имеет	2	24
54	с тем	2	24
55	только и	4	23
56	никогда не	9	22
57	его в	2	22
58	и есть	3	22
59	нет ничего	7	22
60	что и	2	22
61	можно ли	2	22
62	и от	3	22
63	и к	2	22
64	и ее	3	21
65	в самом	5	21
66	и потому	2	20
67	для того	3	20
68	тем что	2	20
69	он не	7	19
70	с ним	3	19
71	уже в	2	19
72	того чтобы	4	18
73	в ее	2	18
74	в этих	3	18
75	и ни	2	18
76	не было	9	18
77	совсем не	2	17
78	что они	2	17
79	у него	22	15
80	что не	4	15
81	что все	2	14
82	в других	2	13
83	всегда есть	4	13
84	учение о	2	13
85	в которой	2	12
86	в другом	2	12
87	в самой	9	12
88	и очень	2	12
89	на земле	4	12
90	он сам	4	12
91	в истории	2	11
92	не могут	3	11
93	жизни в	2	11
94	к нему	3	11
95	все еще	2	10
96	ни с	7	10
97	что у	2	10
98	что для	2	10
99	он в	2	10
100	но он	7	10
101	вопрос о	10	9
102	в своих	3	9
103	не очень	2	9
104	это было	3	9
105	никто не	3	8
106	для него	5	8
107	не все	2	8
108	и нет	2	8
109	он был	8	8
110	и он	8	8
111	и все-таки	2	7
112	все в	4	7
113	же это	2	7
114	ее в	2	7
115	когда он	3	6
116	ли сказать	2	6
117	до конца	7	6
118	с которой	2	6
119	могут быть	3	6
120	с его	4	6
121	к ней	2	6
122	природы и	2	6
123	человека и	10	5
124	отношение к	5	5
125	для всякого	2	5
126	это за	3	5
127	лишь в	7	5
128	все что	3	5
129	ведь это	2	5
130	его не	2	5
131	у достоевского	19	5
132	о его	5	5
133	к этому	2	5
134	должно быть	2	5
135	в этот	2	5
136	человека в	11	5
137	человеческого духа	3	5
138	от него	7	4
139	с чем	2	4
140	одно из	2	4
141	от человека	2	4
142	не могли	2	4
143	человека а	2	4
144	свободы и	2	4
145	и никогда	2	4
146	момент в	2	4
147	сразу же	2	4
148	ничего и	2	4
149	он всегда	7	4
150	к этой	2	4
151	ничего кроме	2	4
152	человек и	4	4
153	ничто не	2	4
154	в русской	3	4
155	в человеческом	2	4
156	человеческих отношений	4	4
157	для человека	2	3
158	в душе	2	3
159	мысль о	2	3
160	за все	2	3
161	о которой	2	3
162	чем в	2	3
163	в идиоте	4	3
164	в россии	5	3
165	о любви	2	3
166	т е	4	3
167	рационализма и	2	3
168	должен был	2	3
169	от самого	2	3
170	мысли и	3	3
171	о природе	3	2
172	и любовь	2	2
173	никогда и	2	2
174	же можно	2	2
175	с богом	2	2
176	разных сторон	2	2
177	природы в	2	2
178	у кого	2	2
179	о великом	6	2
180	самое главное	2	2
181	в романах	4	2
182	более всего	3	2
183	россии в	2	2
184	и вот	3	2
185	отношений это	2	2
186	в глубине	7	2
187	и бесконечно	2	2
188	из подполья	11	2
189	ивана карамазова	7	2
190	и душа	2	2
191	что человек	3	2
192	и там	2	2
193	в бесах	3	2
194	что есть	2	2
195	человека к	2	2
196	него не	2	2
197	человек не	7	2
198	него и	4	2
199	только одно	3	2
200	достоевского все	4	2
201	до самого	5	2
