N	2gram	Medvedev_U	Narrotol
1	не только	10	62
2	и не	8	50
3	но и	4	45
4	а не	10	38
5	в частности	3	31
6	может быть	6	30
7	и в	14	30
8	в том	2	29
9	том что	2	28
10	в этом	7	28
11	только в	2	25
12	как и	3	24
13	не в	2	23
14	то что	7	23
15	не может	7	20
16	в себе	2	17
17	в его	2	16
18	но в	3	15
19	в своей	3	13
20	то же	5	13
21	все же	3	12
22	прежде всего	8	12
23	сводится к	2	12
24	в этой	4	11
25	если бы	2	11
26	в то	3	10
27	и т.д	3	10
28	ничего не	2	10
29	но не	2	10
30	между тем	2	10
31	с его	2	10
32	что он	2	9
33	для него	3	9
34	как раз	2	9
35	о чем	2	8
36	самом деле	2	8
37	этом отношении	2	8
38	у нас	3	8
39	и для	2	8
40	в самом	2	8
41	же время	3	8
42	это не	3	7
43	в конце	2	7
44	с другой	4	7
45	что и	2	6
46	в конечном	4	6
47	таким образом	2	6
48	и у	2	5
49	не столько	2	5
50	было бы	3	5
51	мы не	2	5
52	и то	3	5
53	бы и	2	5
54	не случайно	2	5
55	если не	2	5
56	не о	3	4
57	в области	3	4
58	это уже	2	4
59	не все	2	4
60	хотя бы	5	4
61	конечном счете	4	4
62	это было	2	4
63	и с	2	4
64	в итоге	2	4
65	по себе	2	4
66	а как	2	3
67	а его	2	3
68	же не	2	3
69	но это	2	3
70	только к	3	3
71	что она	2	3
72	а о	2	3
73	в противовес	2	3
74	сих пор	2	3
75	могли бы	2	3
76	что мы	2	3
77	и только	5	3
78	не следует	3	3
79	же самое	2	3
80	до сих	2	3
81	очевидно что	3	2
82	является в	2	2
83	в их	4	2
84	могут быть	2	2
85	меньшей степени	2	2
86	в россии	4	2
87	другой стороны	3	2
88	и через	2	2
89	нас в	2	2
90	на первый	2	2
91	превращается в	2	2
92	все это	5	2
93	тем что	2	2
94	не есть	2	2
95	или точнее	3	2
96	одним из	2	2
97	его и	2	2
98	должна быть	2	2
99	и является	2	2
100	а между	2	2
101	более чем	2	2
102	ни от	2	2
103	мы и	2	2
104	в системе	2	2
