N	3gram	Losev_Dial	Freidism
1	с точки зрения	25	15
2	не может быть	12	14
3	в самом деле	6	10
4	в том что	12	9
5	во всяком случае	3	8
6	и прежде всего	6	7
7	в то же	3	6
8	то же время	3	6
9	– все это	2	5
10	в таком случае	11	4
11	тем не менее	10	4
12	на первый план	4	4
13	ни в чем	2	4
14	в этом отношении	2	4
15	сам по себе	6	4
16	не могут быть	3	4
17	в данном случае	3	4
18	в зависимости от	3	4
19	ничего общего не	2	3
20	мы не можем	2	3
21	и той же	4	3
22	бы то ни	2	3
23	выйти за пределы	2	3
24	не в силах	2	3
25	о том что	6	3
26	одной и той	4	3
27	ни в каком	8	2
28	к тому что	2	2
29	и тем не	2	2
30	вовсе не в	3	2
31	то что мы	3	2
32	то или иное	4	2
33	что же такое	3	2
34	как раз и	3	2
35	с одной стороны	3	2
36	в каком случае	2	2
37	в чем же	2	2
38	и пр и	2	2
39	равно как и	2	2
40	это и есть	4	2
41	к отцу и	2	2
42	не отличается от	4	2
