N	3gram	Voloshinov	Problema
1	о том что	2	39
2	то же самое	4	30
3	в связи с	2	29
4	той или иной	4	26
5	с точки зрения	5	25
6	в конце концов	3	23
7	для того чтобы	7	17
8	в то же	9	17
9	же самое время	2	16
10	то что мы	4	15
11	не что иное	2	14
12	в этом случае	3	14
13	что иное как	2	14
14	на самом деле	3	13
15	того или иного	5	13
16	не может быть	2	12
17	можно сказать что	2	12
18	есть не что	2	11
19	тех или иных	3	11
20	вместе с тем	2	10
21	не только в	3	10
22	и тем самым	3	10
23	что же такое	2	8
24	с самого начала	4	7
25	но и в	3	7
26	тот или иной	2	7
27	то или иное	4	7
28	только потому что	2	7
29	и то же	5	6
30	и как бы	2	6
31	на первый взгляд	2	6
32	в самом деле	2	6
33	в этом отношении	2	6
34	одно и то	5	5
35	в зависимости от	7	5
36	как мы видели	3	4
37	и тем же	2	4
38	не было бы	2	4
39	ту или иную	4	4
40	но все же	3	4
41	у нас не	2	4
42	связи с этим	2	4
43	само собой разумеется	2	4
44	как мы уже	3	4
45	равно как и	2	4
46	в тех случаях	2	3
47	мы никогда не	5	3
48	но в то	2	3
49	к тому что	2	3
50	бы мы ни	3	3
51	и в то	2	3
52	мы не знаем	2	3
53	как мы увидим	2	3
54	тех случаях когда	2	3
55	должны были бы	2	3
56	мы уже видели	3	3
57	что перед нами	2	2
58	по отношению к	2	2
59	одной и той	4	2
60	или хотя бы	2	2
61	все больше и	2	2
62	такие слова как	2	2
63	больше и больше	2	2
64	и на его	2	2
65	и не только	2	2
66	в свою очередь	4	2
67	и той же	4	2
68	как бы мы	2	2
