N	3gram	Voloshinov	Morfolog
1	в этом случае	3	10
2	не может быть	23	9
3	в связи с	12	9
4	по отношению к	9	7
5	с точки зрения	31	6
6	тем не менее	3	6
7	с другой стороны	6	5
8	как мы увидим	2	5
9	связи с этим	3	5
10	на самом деле	5	4
11	но все же	4	4
12	в том что	9	4
13	к тому что	4	4
14	не могут быть	3	4
15	о том что	2	3
16	бы то ни	11	3
17	в настоящее время	6	3
18	собственном смысле слова	2	3
19	для того чтобы	7	3
20	и пр и	5	3
21	в большинстве случаев	7	3
22	в первом случае	3	3
23	на то что	2	3
24	в собственном смысле	2	3
25	вопрос о том	2	2
26	во всяком случае	4	2
27	то ни было	11	2
28	более или менее	3	2
29	мы не будем	3	2
30	в этом отношении	4	2
31	может быть и	8	2
32	можно было бы	2	2
33	с одной стороны	2	2
