N	2gram	Propp_Morf	Tragedij
1	и в	17	18
2	в этом	18	9
3	не только	8	8
4	и не	16	7
5	как бы	6	7
6	может быть	61	7
7	что он	5	6
8	но в	4	6
9	и его	3	6
10	в образе	6	6
11	у него	2	6
12	несмотря на	4	5
13	что это	3	5
14	все же	9	5
15	это не	6	5
16	то же	10	5
17	как и	4	5
18	так и	10	5
19	не может	19	5
20	в то	4	5
21	что в	10	4
22	еще не	4	4
23	в целом	5	4
24	но и	9	4
25	прежде всего	14	4
26	об этом	5	4
27	том что	7	4
28	в этой	3	4
29	и что	3	4
30	так же	4	4
31	все это	2	4
32	то что	10	4
33	но это	6	4
34	и даже	2	4
35	один из	7	3
36	и как	6	3
37	к нему	3	3
38	все эти	5	3
39	в поле	5	3
40	как будто	2	3
41	никто не	4	3
42	как в	5	3
43	как это	7	3
44	для него	2	3
45	но все	4	2
46	данном случае	2	2
47	с тем	2	2
48	одна из	5	2
49	точно так	2	2
50	друг друга	3	2
51	тем что	4	2
52	перед нами	14	2
53	вопрос о	10	2
54	в одном	2	2
55	его в	4	2
56	не имеет	2	2
57	в виде	3	2
58	ничего не	5	2
59	состоит из	3	2
60	в данном	2	2
61	раз он	3	2
62	не могут	7	2
63	как же	3	2
64	вряд ли	2	2
65	к тому	5	2
66	о том	6	2
67	в ходе	5	2
68	о его	4	2
69	что и	10	2
70	ни в	3	2
71	не в	3	2
72	и здесь	7	2
73	это уже	3	2
74	потому что	7	2
75	что этот	2	2
76	в частности	2	2
77	он не	5	2
78	и ее	5	2
79	ничем не	2	2
80	и за	2	2
81	в первом	5	2
82	уже не	4	2
83	что она	2	2
84	что эти	3	2
85	с иваном	3	2
86	но они	2	2
87	не так	2	2
88	в том	10	2
89	в глаза	2	2
90	который в	2	2
91	с его	3	2
92	во сне	2	2
