N	2gram	Voloshinov	slovoVRo
1	и в	12	92
2	в нем	6	59
3	может быть	14	59
4	и его	13	59
5	и не	10	51
6	не только	4	44
7	не может	16	41
8	но и	3	39
9	до конца	2	37
10	в этом	4	36
11	а не	5	34
12	так и	4	30
13	точки зрения	14	30
14	могут быть	2	29
15	и др	5	29
16	в пределах	3	29
17	в его	2	27
18	все это	3	25
19	слово в	3	24
20	слова и	6	24
21	как бы	13	24
22	то же	5	23
23	и на	4	22
24	не в	4	21
25	как в	5	21
26	в то	2	20
27	в процессе	6	20
28	прежде всего	8	19
29	как и	5	18
30	с ним	3	18
31	все же	4	17
32	оно не	2	17
33	все эти	3	17
34	таким образом	12	17
35	при этом	6	16
36	в них	3	16
37	но в	5	16
38	там где	2	15
39	и с	3	15
40	с точки	2	15
41	только в	6	14
42	это не	2	13
43	и следовательно	5	13
44	точка зрения	3	13
45	с его	2	13
46	в особенности	2	13
47	отношении к	3	13
48	и для	3	13
49	с другой	4	13
50	никогда не	5	12
51	в отношении	2	12
52	и потому	2	12
53	отношение к	4	12
54	словом и	2	12
55	и наконец	3	12
56	еще не	3	12
57	точек зрения	3	12
58	и к	4	12
59	одной стороны	2	11
60	в этих	2	11
61	с одной	2	11
62	для него	3	11
63	все они	2	10
64	в своем	2	10
65	в том	6	10
66	и все	2	10
67	она не	2	10
68	в себе	3	10
69	с другими	2	10
70	уже не	4	10
71	его в	4	9
72	в основном	2	9
73	более того	2	9
74	к нему	4	9
75	в своей	3	9
76	сказать что	7	9
77	так как	9	9
78	героя и	5	9
79	но не	2	9
80	конечно не	3	9
81	он не	2	9
82	быть и	3	9
83	может стать	2	8
84	в зависимости	2	8
85	в ней	6	8
86	все время	6	8
87	зависимости от	4	8
88	в самом	4	8
89	для нас	7	8
90	том что	5	7
91	сливается с	2	7
92	известной степени	2	7
93	здесь не	3	7
94	за пределы	4	7
95	но все	2	7
96	автора и	2	7
97	жизни и	4	7
98	кроме того	2	7
99	ничего не	2	6
100	как к	3	6
101	точку зрения	2	6
102	что в	2	6
103	ни в	3	6
104	дело с	2	6
105	можно сказать	5	6
106	другой стороны	2	6
107	и здесь	2	6
108	стороны и	2	6
109	хотя бы	5	6
110	себя и	2	6
111	по себе	3	6
112	между тем	3	6
113	только на	3	5
114	не менее	3	5
115	в поэзии	3	5
116	и проч	3	5
117	отношению к	11	5
118	мы не	3	5
119	и по	3	5
120	в данном	2	5
121	по отношению	11	5
122	должна быть	5	5
123	и более	3	5
124	речи в	2	5
125	о том	3	5
126	к его	2	5
127	слушателя и	2	5
128	уже в	2	5
129	со словом	2	5
130	с помощью	6	5
131	вместе с	2	5
132	литературы и	4	4
133	к предмету	5	4
134	так же	3	4
135	и ее	3	4
136	что и	2	4
137	в виду	5	4
138	он должен	3	4
139	оценок и	2	4
140	влияние на	2	4
141	истории литературы	2	4
142	в атмосфере	2	4
143	того что	3	4
144	до сих	3	4
145	но конечно	2	4
146	разрыв между	2	4
147	те же	2	4
148	в чем	2	4
149	тогда когда	2	4
150	одно и	2	4
151	но это	2	4
152	его как	2	4
153	и слово	2	4
154	если бы	9	4
155	с этой	2	4
156	в условиях	2	4
157	сих пор	3	4
158	быть только	2	4
159	формы и	3	4
160	в литературе	4	4
161	выражение в	2	4
162	из этого	3	4
163	и уже	3	4
164	из него	2	4
165	в некоторых	3	4
166	как только	2	4
167	в себя	2	4
168	данном случае	2	3
169	нуждается в	3	3
170	еще раз	2	3
171	до известной	2	3
172	и поэтическое	2	3
173	как это	2	3
174	в такой	3	3
175	со всех	2	3
176	к слову	2	3
177	и те	2	3
178	от этой	2	3
179	между собой	2	3
180	на все	2	3
181	идеологического творчества	2	3
182	ведь и	3	3
183	в корне	2	3
184	свое выражение	4	3
185	конечно в	2	3
186	и то	2	3
187	и вообще	3	3
188	на границе	3	3
189	к этому	2	3
190	высказывания и	2	3
191	дело в	4	3
192	на него	2	3
193	и самое	2	3
194	как если	4	3
195	и другие	2	3
196	такой же	2	3
197	смысл и	2	3
198	внутренней речи	3	3
199	материала и	4	3
200	не есть	2	3
201	произведения и	3	3
202	автором и	2	3
203	в форме	2	3
204	каждый момент	2	2
205	на самом	4	2
206	слова но	2	2
207	но мы	2	2
208	на один	2	2
209	не остается	2	2
210	высказывания как	4	2
211	это как	3	2
212	тем как	2	2
213	как уже	2	2
214	то что	5	2
215	самое слово	2	2
216	к ним	2	2
217	связь с	2	2
218	лежит на	2	2
219	этой точки	3	2
220	и оценки	2	2
221	между ними	2	2
222	и та	2	2
223	кругозора и	2	2
224	что не	4	2
225	место в	2	2
226	слова так	2	2
227	и герой	3	2
228	да и	3	2
229	довлеет себе	2	2
230	оценки и	2	2
231	независимо от	2	2
232	и что	2	2
233	героя или	2	2
234	нашего сознания	2	2
235	но этот	2	2
236	перестает быть	2	2
237	ни было	4	2
238	в жизни	5	2
239	вместе со	2	2
240	тем не	3	2
241	на материале	2	2
242	за его	2	2
243	героев и	2	2
244	мы можем	2	2
245	в какой	2	2
246	от всех	2	2
247	к автору	4	2
248	в котором	3	2
249	нас и	2	2
250	к материалу	4	2
251	мы все	4	2
252	не к	3	2
253	в нашем	11	2
254	контекста в	2	2
255	они ни	2	2
256	социальной группы	3	2
257	подчеркнуть что	2	2
