N	3gram	Losev_Dial	Analitik
1	в том что	12	25
2	не может быть	12	19
3	в то же	3	16
4	о том что	6	15
5	той или иной	2	14
6	в данном случае	3	14
7	то же время	3	14
8	к тому же	2	13
9	подобно тому как	5	9
10	с одной стороны	3	9
11	с другой стороны	3	9
12	по крайней мере	10	9
13	того или иного	3	9
14	в этом отношении	2	8
15	как и в	3	8
16	с точки зрения	25	8
17	во всяком случае	3	7
18	что иное как	6	7
19	в таком случае	11	7
20	тем не менее	10	6
21	не что иное	6	6
22	так или иначе	2	6
23	есть не что	3	5
24	не только не	7	5
25	в самом деле	6	4
26	из того что	2	4
27	не в том	5	4
28	и в этом	4	4
29	тех или иных	2	4
30	сама по себе	11	4
31	бы то ни	2	3
32	как раз и	3	3
33	и как бы	2	3
34	тот или иной	2	3
35	содержит в себе	2	3
36	сам по себе	6	3
37	не могут быть	3	3
38	в связи с	3	3
39	одной и той	4	3
40	сами по себе	3	3
41	и той же	4	3
42	крайней мере в	3	3
43	в зависимости от	3	3
44	в себе не	2	2
45	одно и то	2	2
46	коем случае не	4	2
47	а не только	2	2
48	в коем случае	4	2
49	и то же	2	2
50	ничего не говорит	5	2
51	при условии что	2	2
52	ни в коем	4	2
53	к тому что	2	2
54	не только его	2	2
55	не есть ни	14	2
56	одних и тех	2	2
57	говоря уже о	6	2
58	в данный момент	2	2
59	есть в сущности	2	2
60	этой точки зрения	4	2
61	и тех же	2	2
62	с этой точки	4	2
63	и прежде всего	6	2
64	не говоря уже	6	2
65	на то что	3	2
66	в сравнении с	5	2
67	что не есть	3	2
