N	2gram	Savitsky_E	Istorich
1	и в	37	181
2	т е	9	133
3	может быть	6	115
4	не только	18	114
5	что в	21	90
6	но и	14	85
7	в этом	12	81
8	так как	7	75
9	то что	6	73
10	таким образом	2	72
11	вместе с	2	71
12	и не	14	67
13	мы видим	2	65
14	в этих	2	64
15	не может	9	61
16	так же	9	57
17	то же	15	56
18	никогда не	3	56
19	в том	11	53
20	том что	6	53
21	с другой	7	52
22	а в	2	52
23	потому что	3	52
24	что и	3	51
25	и что	2	51
26	мы видели	3	49
27	о том	3	48
28	а не	2	48
29	не в	5	47
30	другой стороны	2	46
31	мы должны	2	44
32	но в	14	44
33	только в	9	42
34	как в	3	42
35	представление о	2	41
36	или в	2	39
37	в его	2	38
38	для нас	4	38
39	тем что	3	38
40	и на	6	38
41	так и	10	37
42	он не	2	37
43	как и	7	37
44	мы можем	3	36
45	с тем	3	35
46	мы не	4	35
47	что это	2	34
48	но не	5	34
49	а именно	2	34
50	там где	3	33
51	же как	5	33
52	в качестве	14	32
53	представляет собой	3	31
54	прежде всего	9	31
55	при помощи	2	30
56	с этим	2	30
57	с одной	8	30
58	к нему	2	30
59	как мы	5	29
60	одной стороны	8	29
61	и с	2	28
62	того что	7	27
63	могут быть	2	27
64	в ней	4	26
65	как это	4	26
66	вопрос о	4	25
67	было бы	8	24
68	если бы	2	24
69	в виде	5	24
70	когда он	3	23
71	в частности	5	23
72	в этой	2	23
73	как бы	6	23
74	и по	5	22
75	в некоторых	2	22
76	в одном	2	21
77	сказать что	4	21
78	ее в	3	21
79	к тому	8	21
80	связано с	3	21
81	она не	2	20
82	в других	2	20
83	из них	3	20
84	в силу	2	20
85	наряду с	2	20
86	и как	2	19
87	в другой	2	19
88	на то	6	19
89	в данном	3	18
90	вовсе не	6	18
91	в то	16	18
92	нас к	2	17
93	и только	3	17
94	в них	3	17
95	со стороны	5	16
96	и все	2	16
97	в котором	2	16
98	этот вопрос	2	16
99	во всех	6	16
100	данном случае	2	15
101	в своей	8	15
102	даже в	4	15
103	и то	2	15
104	в пределах	25	15
105	и даже	6	15
106	в которых	3	15
107	как будто	2	15
108	и тем	3	15
109	должна быть	2	14
110	а также	7	14
111	с этой	6	14
112	можно было	3	14
113	его на	2	14
114	одной из	5	14
115	и наконец	2	14
116	на себя	3	14
117	и для	3	13
118	и от	3	13
119	в своем	14	13
120	в северной	2	13
121	не имеет	4	13
122	и если	2	13
123	в себе	9	13
124	по себе	4	13
125	в их	11	12
126	между прочим	7	12
127	утверждать что	2	12
128	хотя бы	15	12
129	случаях когда	2	12
130	к ней	4	12
131	от этого	5	11
132	и более	2	11
133	главным образом	2	11
134	происходит в	2	11
135	точки зрения	23	11
136	хотя и	2	11
137	далеко не	2	11
138	же в	2	11
139	такой же	2	11
140	что же	2	10
141	в ее	8	10
142	но если	5	10
143	говорит о	3	10
144	но как	2	10
145	вслед за	6	10
146	что эти	2	10
147	к ним	3	10
148	на основе	2	10
149	и других	2	10
150	то не	2	10
151	от них	3	10
152	не можем	2	10
153	друг с	3	10
154	и к	3	10
155	в истории	2	9
156	в свою	3	9
157	это так	3	9
158	она в	3	9
159	не могут	2	9
160	тогда когда	2	9
161	на этот	2	9
162	жизни и	2	9
163	с другом	3	9
164	но по	2	9
165	что на	2	9
166	не будет	3	9
167	себе в	3	9
168	стороны и	6	9
169	в течение	5	9
170	целый ряд	2	9
171	тем самым	5	8
172	кажется что	2	8
173	вообще не	3	8
174	именно в	4	8
175	во всяком	3	8
176	не дает	3	8
177	есть ли	2	8
178	на своем	3	8
179	это значит	2	8
180	приводит нас	2	8
181	большинстве случаев	3	8
182	и потому	5	8
183	в некотором	4	8
184	но с	2	8
185	или по	2	8
186	северной америке	3	8
187	и эта	2	8
188	можно сказать	4	8
189	независимо от	4	8
190	с другими	2	8
191	того чтобы	6	7
192	если в	2	7
193	есть не	2	7
194	также в	2	7
195	в какой	2	7
196	этих народов	3	7
197	того же	3	7
198	всяком случае	3	7
199	как на	3	7
200	между тем	8	7
201	в эту	2	7
202	между собой	2	7
203	уже и	3	7
204	во многих	4	7
205	ли это	3	7
206	думать что	8	7
207	не есть	2	7
208	в области	11	7
209	в стране	2	7
210	на них	2	7
211	и некоторые	3	7
212	к которым	5	7
213	в большинстве	2	7
214	народов не	2	6
215	для того	6	6
216	нам кажется	7	6
217	можно ли	3	6
218	обстоит дело	3	6
219	себе не	3	6
220	этой точки	5	6
221	между ними	2	6
222	что все	2	6
223	вопрос не	2	6
224	заметить что	2	6
225	то в	4	6
226	не на	4	6
227	также и	7	6
228	мог бы	2	6
229	более поздние	2	6
230	в каком	4	5
231	при вступлении	2	5
232	в своих	2	5
233	ли здесь	2	5
234	по своей	2	5
235	по своему	7	5
236	мира и	3	5
237	для них	2	5
238	что если	2	5
239	бы в	2	5
240	не означает	2	5
241	несмотря на	4	5
242	но даже	4	5
243	еще более	2	5
244	в сторону	2	5
245	во все	3	5
246	и мы	3	5
247	в таком	3	5
248	можно утверждать	2	5
249	только те	2	4
250	и во	2	4
251	следовало бы	2	4
252	время в	3	4
253	тем более	4	4
254	столь же	5	4
255	чем в	4	4
256	во второй	3	4
257	одном из	2	4
258	другой и	2	4
259	во всей	2	4
260	в результате	3	4
261	он сам	2	4
262	к берегу	2	4
263	очевидно что	3	4
264	на месте	2	4
265	и этот	2	4
266	по сравнению	2	4
267	в свои	2	4
268	как не	2	4
269	и сейчас	2	4
270	отнюдь не	9	4
271	с точки	17	4
272	в стороне	3	4
273	прочим и	2	4
274	на одну	2	4
275	дело в	3	4
276	есть в	2	4
277	с большой	2	4
278	в самом	4	4
279	но на	3	4
280	по своим	3	4
281	как же	2	3
282	и поэтому	2	3
283	из числа	4	3
284	на основании	2	3
285	относятся к	2	3
286	из всех	3	3
287	точка зрения	2	3
288	народов и	3	3
289	и та	2	3
