N	2gram	Potebnia_M	Psycholo
1	то что	37	193
2	и в	48	190
3	в том	47	163
4	что в	30	123
5	потому что	82	114
6	том что	28	113
7	и что	13	108
8	может быть	46	107
9	таким образом	24	102
10	в этом	19	100
11	то есть	53	97
12	в самом	11	82
13	как бы	10	80
14	для того	8	78
15	того чтобы	5	78
16	что он	8	76
17	не только	32	75
18	на то	6	73
19	и не	28	73
20	что она	4	71
21	самом деле	5	70
22	и т	12	69
23	точки зрения	4	69
24	не может	18	68
25	если мы	2	66
26	так как	20	63
27	так же	6	63
28	было бы	16	56
29	если бы	20	55
30	и мы	3	54
31	то же	35	54
32	о том	7	54
33	при этом	6	52
34	как и	22	51
35	что и	16	50
36	а не	22	50
37	что это	6	49
38	заключается в	2	46
39	только в	29	46
40	в сущности	3	46
41	сказать что	8	46
42	по себе	26	46
43	в искусстве	6	45
44	к тому	9	45
45	не в	24	45
46	в этой	3	43
47	искусства и	3	43
48	никогда не	2	42
49	и все	5	42
50	вместе с	22	41
51	с и	3	40
52	но и	30	40
53	при помощи	2	39
54	того что	24	39
55	т п	7	38
56	же самое	3	38
57	и это	6	37
58	мы видим	3	37
59	и как	8	36
60	с тем	9	35
61	вовсе не	13	34
62	и если	4	34
63	и его	4	34
64	как на	6	34
65	что все	5	33
66	все же	3	33
67	тому что	6	33
68	все это	4	32
69	художественного произведения	6	32
70	в себе	26	32
71	в ней	11	31
72	мы не	17	31
73	в его	6	31
74	он не	4	31
75	для нас	40	31
76	никак не	3	30
77	как в	17	30
78	с одной	8	29
79	с точки	3	29
80	одной стороны	4	29
81	в нас	2	29
82	в нем	16	29
83	что мы	16	28
84	что они	2	28
85	увидим что	2	28
86	и то	13	28
87	мы можем	13	28
88	с другой	8	27
89	в своих	2	27
90	а в	14	27
91	все то	3	27
92	на деле	8	27
93	и на	5	27
94	так что	14	26
95	и здесь	3	25
96	только что	12	25
97	жизни и	3	25
98	с таким	3	24
99	в целом	5	24
100	указывает на	8	24
101	художественное произведение	6	24
102	до сих	4	24
103	тем что	13	24
