N	2gram	Medvedev_S	Hudozhes
1	и в	3	23
2	не только	3	20
3	в том	5	20
4	может быть	2	19
5	в частности	2	18
6	но и	2	14
7	то же	2	12
8	в этом	5	12
9	как бы	2	11
10	в его	3	11
11	по отношению	2	10
12	отношению к	2	10
13	не в	3	9
14	том что	2	9
15	только в	2	7
16	что в	2	7
17	то что	2	5
18	далеко не	2	4
19	еще не	2	4
20	к которому	2	4
21	и что	2	4
22	о литературе	3	3
23	или даже	2	3
24	таким образом	2	3
25	тем более	2	2
26	за пределы	2	2
27	дело не	2	2
28	это и	2	2
29	все это	7	2
30	истории литературы	10	2
