N	2gram	Tiupa_Disk	Mirosoze
1	и в	27	97
2	может быть	29	64
3	не только	36	63
4	в этом	29	55
5	но и	22	54
6	он не	4	53
7	а не	35	53
8	в нем	16	49
9	не может	17	49
10	и не	25	39
11	никогда не	3	38
12	потому что	7	37
13	в ней	2	37
14	не было	9	36
15	не в	8	34
16	и есть	2	33
17	для него	9	31
18	человека в	6	30
19	не есть	3	30
20	прежде всего	17	29
21	как и	27	29
22	но в	15	27
23	и он	2	27
24	в мире	9	27
25	и это	3	25
26	в своей	10	25
27	и все	5	24
28	в своем	11	23
29	ведет к	6	23
30	что в	8	23
31	что он	6	22
32	в самом	4	21
33	в себе	22	20
34	отношение к	6	20
35	до конца	2	19
36	как бы	9	19
37	человек не	2	19
38	в его	9	18
39	и потому	3	17
40	того что	4	17
41	в том	29	16
42	том что	27	16
43	то что	10	16
44	и его	4	16
45	в этой	5	15
46	не знает	4	15
47	в котором	7	15
48	в творчестве	4	14
49	друг друга	2	13
50	и на	8	13
51	это не	5	12
52	в них	6	12
53	все это	2	12
54	но не	17	12
55	он сам	2	12
56	но это	3	11
57	хотя бы	3	11
58	в которой	2	11
59	только в	9	11
60	как в	16	11
61	в русской	4	11
62	уже не	7	11
63	и к	4	11
64	жизни и	2	11
65	не могут	2	10
66	это и	2	10
67	один из	3	10
68	должна быть	2	10
69	чем у	2	10
70	образ человека	2	10
71	то же	12	10
72	а в	5	9
73	к тому	6	9
74	что и	5	9
75	и во	2	9
76	х годов	2	9
77	должно быть	2	9
78	то есть	29	9
79	в свою	3	9
80	лишь в	4	9
81	вместе с	3	9
82	вопрос о	2	8
83	в этих	4	8
84	они не	2	8
85	мира и	3	8
86	что не	4	8
87	с его	9	8
88	себя в	8	8
89	за пределы	2	8
90	тем что	4	8
91	о том	12	8
92	и с	2	8
93	еще в	6	8
94	уже в	2	8
95	более чем	3	7
96	точки зрения	6	7
97	себя и	2	7
98	на этом	3	7
99	жизни в	4	7
100	в жизни	2	7
101	также и	6	7
102	в нашем	2	7
103	отношения к	2	7
104	во всем	2	7
105	чтобы не	2	6
106	не как	5	6
107	всего в	2	6
108	в ее	4	6
109	быть и	2	6
110	и от	2	6
111	было в	4	6
112	с этой	2	6
113	по своей	15	6
114	к чему	2	6
115	в которых	5	6
116	не к	3	6
117	оно не	2	5
118	в то	8	5
119	к которому	2	5
120	в их	5	5
121	так и	14	5
122	они и	3	5
123	мысли о	2	5
124	должны быть	3	5
125	сказать что	4	5
126	интерес к	2	5
127	во всяком	3	5
128	в основе	11	5
129	да и	2	5
130	одно из	4	5
131	с этим	3	5
132	по преимуществу	2	5
133	момент в	3	5
134	мысли и	2	5
135	отличается от	3	5
136	и как	9	5
137	еще не	20	5
138	как будто	3	5
139	на протяжении	2	5
140	когда он	3	5
141	личности в	3	5
142	перед ним	2	5
143	той же	2	5
144	по отношению	13	4
145	в каждом	2	4
146	к себе	2	4
147	как к	2	4
148	не знают	2	4
149	не всегда	2	4
150	в момент	2	4
151	есть в	3	4
152	к другому	3	4
153	а с	8	4
154	по своему	3	4
155	они были	2	4
156	в чем	2	4
157	место в	2	4
158	человеческой жизни	2	4
159	могут быть	5	4
160	живет в	3	4
161	в начале	2	4
162	и до	2	4
163	все эти	2	4
164	в истории	5	4
165	не от	2	4
166	его с	2	4
167	с ней	3	4
168	и даже	4	4
169	и по	2	4
170	ни в	7	4
171	мы не	2	4
172	отношению к	13	4
173	нас в	2	4
174	не случайно	2	4
175	в эпоху	5	4
176	в той	2	4
177	в своих	6	4
178	и что	2	4
179	будто бы	3	4
180	человеческого сознания	3	3
181	к его	5	3
182	жизни не	2	3
183	о чем	4	3
184	для себя	6	3
185	на смену	3	3
186	одним из	2	3
187	и тем	2	3
188	но она	3	3
189	мире и	2	3
190	все же	8	3
191	на том	2	3
192	в записках	2	3
193	что же	4	3
194	между тем	5	3
195	в виду	2	3
196	на его	4	3
197	начало в	2	3
198	принадлежит к	3	3
199	хотя и	3	3
200	и то	4	3
201	в наше	4	3
202	значительной степени	3	3
203	а к	3	3
204	в противоположность	6	3
205	к этому	4	3
206	об этом	3	3
207	в значительной	3	3
208	то чтобы	2	3
209	мысль о	3	3
210	но также	2	3
211	как не	3	3
212	я и	3	3
213	принадлежат к	3	3
214	чем не	3	3
215	в пределах	4	3
216	во всех	6	3
217	не с	4	3
218	на почве	3	3
219	входит в	2	3
220	но для	2	3
221	приводит к	4	3
222	жизни а	2	3
223	в одном	5	3
224	всякий раз	2	3
225	со своей	2	3
226	тому как	5	3
227	ближе к	2	3
228	всяком случае	2	3
229	роль в	10	3
230	и должно	2	3
231	самому себе	3	2
232	не о	2	2
233	к одному	2	2
234	или иной	8	2
235	в действительности	3	2
236	если в	2	2
237	различие между	3	2
238	не имеют	2	2
239	никого не	2	2
240	такого рода	11	2
241	он мог	3	2
242	к своему	2	2
243	самом деле	2	2
244	смысл в	2	2
245	другого в	2	2
246	на большую	2	2
247	о нем	3	2
248	е годы	2	2
249	не менее	6	2
250	мира с	2	2
251	того же	5	2
252	тем самым	6	2
253	по природе	6	2
254	своей собственной	3	2
255	ему в	3	2
256	разного рода	2	2
257	и без	2	2
258	и сам	2	2
259	во мне	4	2
260	не столько	3	2
261	своей природе	3	2
262	связи с	4	2
263	в основании	3	2
264	в сущности	3	2
265	и ее	5	2
266	столь же	6	2
267	их в	2	2
268	бы быть	3	2
269	его как	3	2
270	с их	3	2
271	это было	2	2
272	он ни	2	2
273	наше время	4	2
274	этом отношении	4	2
275	бы это	2	2
276	переход от	2	2
277	целый ряд	2	2
278	жизнь как	2	2
279	природе своей	6	2
280	мира в	6	2
281	обнаруживается в	2	2
282	подобно тому	4	2
283	сознания в	2	2
284	за которым	2	2
285	за его	2	2
286	и о	4	2
287	ни к	11	2
288	но они	3	2
289	о мире	2	2
290	в какой	2	2
291	в пределе	2	2
292	с человеком	3	2
293	в е	3	2
294	с другой	14	2
295	истории в	2	2
296	во втором	5	2
297	жизни как	2	2
298	по себе	3	2
299	происходит от	2	2
300	которое было	2	2
301	и другой	2	2
