N	3gram	Losev_Prob	KFilosof
1	не может быть	5	11
2	с точки зрения	9	10
3	в чем не	2	4
4	ни в чем	2	4
5	и только в	3	3
6	в этом смысле	5	3
7	на самом деле	5	3
8	не было бы	3	3
9	и в этом	6	3
10	того или иного	5	3
11	то ни было	4	2
12	бы то ни	5	2
13	в том что	17	2
14	другое дело когда	2	2
15	в то же	10	2
16	той или иной	16	2
17	мы говорим о	2	2
18	дело здесь не	3	2
19	и может быть	2	2
20	ни в каком	8	2
21	то или иное	3	2
22	и ни в	4	2
23	тем не менее	23	2
24	вовсе не есть	12	2
25	имеем в виду	4	2
