N	2gram	Vygotskiy_	EvropaiE
1	и в	55	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	15	23
5	что в	43	21
6	не только	24	18
7	с точки	5	17
8	в то	6	16
9	хотя бы	5	15
10	то же	16	15
11	в своем	12	14
12	но в	7	14
13	но и	16	14
14	и не	19	14
15	же время	2	14
16	в качестве	2	14
17	в этом	30	12
18	в том	50	11
19	в их	3	11
20	в области	2	11
21	так и	6	10
22	с и	11	10
23	так же	19	9
24	не может	15	9
25	в себе	13	9
26	прежде всего	6	9
27	только в	12	9
28	одной стороны	15	8
29	между тем	4	8
30	в ее	3	8
31	думать что	3	8
32	было бы	15	8
33	в своей	8	8
34	с одной	15	8
35	к тому	12	8
36	нам кажется	6	7
37	с другой	12	7
38	как и	9	7
39	так как	20	7
40	того что	12	7
41	том что	46	6
42	вслед за	3	6
43	во всех	6	6
44	то есть	16	6
45	и даже	4	6
46	может быть	34	6
47	и на	12	6
48	стороны и	5	6
49	с этой	5	6
50	того чтобы	43	6
51	для того	45	6
52	на то	27	6
53	то что	69	6
54	как бы	33	6
55	вовсе не	8	6
56	к которым	3	5
57	но не	9	5
58	и потому	8	5
59	столь же	3	5
60	но если	3	5
61	этой точки	3	5
62	в той	3	5
63	как мы	6	5
64	которую мы	2	5
65	со стороны	3	5
66	не в	12	5
67	в виде	3	5
68	в частности	6	5
69	в течение	2	5
70	же как	4	5
71	одной из	2	5
72	как нам	2	5
73	даже в	2	4
74	сказать что	14	4
75	в каком	7	4
76	вопрос о	6	4
77	не имеет	2	4
78	или иной	2	4
79	само по	3	4
80	можно сказать	4	4
81	именно в	9	4
82	в самом	18	4
83	в полной	2	4
84	мы не	8	4
85	в ней	5	4
86	для нас	9	4
87	по себе	13	4
88	несмотря на	5	4
89	к ней	3	4
90	той или	2	4
91	как это	16	4
92	чем в	3	4
93	никогда не	15	3
94	с тем	10	3
95	и от	2	3
96	и для	13	3
97	ни на	3	3
98	и только	5	3
99	о том	24	3
100	очевидно что	3	3
101	ли это	3	3
102	в данном	4	3
103	того же	5	3
104	в которых	4	3
105	не из	2	3
106	когда он	10	3
107	можно было	6	3
108	этом смысле	4	3
109	в свою	3	3
110	и к	5	3
111	в результате	6	3
112	мы можем	8	3
113	это так	2	3
114	не будет	3	3
115	из них	7	3
116	в известном	2	3
117	во все	4	3
118	в них	7	3
119	мы видели	2	3
120	что и	11	3
121	друг с	6	3
122	там где	6	3
123	и мы	28	3
124	и тем	6	3
125	является ли	2	3
126	не дает	2	3
127	тем что	8	3
128	говорит о	5	3
129	этом отношении	3	3
130	не является	3	3
131	обстоит дело	4	3
132	потому что	48	3
133	себе не	2	3
134	в таком	4	3
135	в психологии	3	3
136	представляет собой	2	3
137	заключает в	7	3
138	с другом	6	3
139	как в	4	3
140	в стороне	2	3
141	как на	15	3
142	ее в	2	3
143	во всяком	2	3
144	дело в	4	3
145	именно потому	4	2
146	данном случае	4	2
147	для понимания	3	2
148	и если	13	2
149	на этот	7	2
150	кажется что	2	2
151	в его	8	2
152	наше внимание	2	2
153	не есть	4	2
154	и этот	2	2
155	чем больше	3	2
156	что это	15	2
157	в эту	2	2
158	одна и	2	2
159	при помощи	5	2
160	и то	12	2
161	совершенно очевидно	6	2
162	что если	9	2
163	не могут	4	2
164	а в	7	2
165	с этим	4	2
166	из того	4	2
167	мы должны	10	2
168	и сейчас	5	2
169	все другие	3	2
170	в котором	5	2
171	какой бы	3	2
172	его на	2	2
173	но как	3	2
174	в сторону	2	2
175	далеко не	4	2
176	в своих	9	2
177	от друга	2	2
178	одну и	2	2
179	в англию	2	2
180	с в	2	2
181	и поэтому	4	2
182	и с	3	2
183	бы в	7	2
184	этот вопрос	6	2
185	что на	6	2
186	могут быть	8	2
187	по преимуществу	2	2
188	совершенно прав	9	2
189	другой стороны	8	2
190	что все	12	2
191	но еще	3	2
192	между ними	2	2
193	и та	5	2
194	на язык	2	2
195	в одном	5	2
196	и можно	2	2
197	в сферу	2	2
198	на них	3	2
199	и как	10	2
200	не можем	8	2
201	мог бы	3	2
202	целый ряд	5	2
203	есть не	7	2
204	или вернее	4	2
205	если бы	21	2
206	которое в	2	2
207	которого мы	3	2
208	в этих	3	2
209	жизни и	8	2
210	в силу	3	2
211	еще более	2	2
212	и теперь	2	2
213	с мы	4	2
214	и того	2	2
215	а не	16	2
216	и других	2	2
217	мы видим	13	2
218	и что	45	2
219	и во	2	2
220	и наконец	5	2
221	же в	3	2
222	точка зрения	4	2
223	одном из	2	2
224	и все	15	2
225	или в	6	2
226	друг от	2	2
227	по сравнению	4	2
228	таким образом	35	2
229	это значит	2	2
230	он не	10	2
231	как будто	7	2
232	такой же	2	2
233	главным образом	3	2
234	сравнению с	4	2
235	и эта	2	2
236	что эти	4	2
237	которое существует	4	2
238	в этой	15	2
239	в некоторых	2	2
240	и таким	3	2
241	между собой	2	2
242	в какой	5	2
243	должна быть	2	2
244	вместе с	16	2
245	заключается в	13	2
246	имеет место	3	2
