N	3gram	Propp_Isto	VLabPisa
1	и т д	35	16
2	с другой стороны	7	8
3	не может быть	8	8
4	по отношению к	6	7
5	по этому поводу	2	7
6	более или менее	5	6
7	в том что	6	5
8	в зависимости от	3	5
9	вместе с тем	7	4
10	в связи с	5	4
11	мы видели что	3	3
12	подобно тому как	3	3
13	большей или меньшей	2	3
14	о том как	2	3
15	о том что	5	3
16	в конечном итоге	2	2
17	с одной стороны	7	2
18	то же говорит	2	2
19	не только в	5	2
20	мы знаем что	7	2
21	до сих пор	11	2
22	в другом месте	2	2
23	после того как	2	2
24	иметь в виду	2	2
25	можно было бы	5	2
