N	2gram	Ircho_Kome	Vvedenie
1	и т	5	45
2	т е	18	40
3	в том	24	38
4	в этом	18	35
5	и в	37	35
6	том что	22	30
7	может быть	14	30
8	не только	13	26
9	для того	9	23
10	того чтобы	9	22
11	таким образом	16	21
12	не может	9	19
13	то что	5	19
14	потому что	19	18
15	со стороны	16	16
16	о том	21	16
17	только в	3	16
18	так как	16	15
19	представляет собой	5	14
20	и не	28	13
21	что в	11	13
22	в самом	17	13
23	в нем	8	13
24	в их	5	12
25	точки зрения	8	12
26	в его	12	12
27	то же	14	11
28	в ее	3	11
29	как мы	6	11
30	ясно что	12	11
31	вопрос о	2	10
32	не в	7	10
33	прежде всего	7	10
34	но в	7	10
35	в той	2	10
36	между тем	6	10
37	из этих	2	9
38	тем не	3	9
39	и как	3	9
40	все же	9	9
41	представляют собой	3	9
42	но не	9	9
43	не менее	9	9
44	дело с	4	9
45	в истории	2	9
46	это не	3	8
47	можно было	3	8
48	с другой	5	8
49	в качестве	4	8
50	самом деле	13	7
51	сих пор	12	7
52	как и	10	7
53	как бы	7	7
54	этот вопрос	2	7
55	представить себе	2	7
56	но и	18	7
57	только как	2	7
58	было бы	7	7
59	до сих	12	7
60	сказать что	4	6
61	его в	9	6
62	не могут	2	6
63	как например	2	6
64	том чтобы	4	6
65	хотя бы	5	6
66	об этом	12	6
67	и даже	6	6
68	н э	2	6
69	но если	3	6
70	тем что	12	6
71	как он	5	6
72	в какой	4	6
73	на вопрос	5	6
74	на этот	6	6
75	с тем	6	6
76	каждой из	4	6
77	и это	4	6
78	а в	12	6
79	в которых	7	6
80	могут быть	3	6
81	в то	14	6
82	один из	6	6
83	в руки	2	6
84	и что	8	6
85	и его	10	6
86	все это	7	6
87	же время	12	6
88	этом случае	2	6
89	вовсе не	6	6
90	вместе с	16	6
91	независимо от	4	5
92	дело не	2	5
93	в виду	3	5
94	и тем	4	5
95	а как	2	5
96	одним из	2	5
97	с этой	5	5
98	что он	15	5
99	так что	7	5
100	т п	5	5
101	на основании	3	5
102	в течение	3	5
103	что не	5	5
104	по своему	3	5
105	одно из	3	5
106	как это	5	5
107	в г	3	5
108	другой стороны	2	5
109	в них	6	5
110	уже в	3	5
111	в целом	4	5
112	всяком случае	3	5
113	что и	12	5
114	говорить о	6	5
115	а не	5	5
116	в первом	2	5
117	хотя и	6	5
118	во всяком	3	5
119	да и	3	4
120	должен был	6	4
121	по сравнению	3	4
122	любовь к	4	4
123	в результате	2	4
124	мы имеем	4	4
125	о чем	11	4
126	одной стороны	4	4
127	и ее	3	4
128	в области	3	4
129	по отношению	6	4
130	в каждом	3	4
131	только что	11	4
132	должен быть	2	4
133	этом отношении	2	4
134	из двух	3	4
135	как о	3	4
136	еще не	10	4
137	времени и	2	4
138	е в	2	4
139	отношению к	4	4
140	в чем	7	4
141	отличие от	5	4
142	в отличие	3	4
143	с одной	5	4
144	к тому	11	4
145	одной из	4	4
146	но все	5	4
147	и для	7	4
148	не имеет	6	4
149	так или	3	4
150	в котором	6	4
151	в центре	2	4
152	в и	3	4
153	взять в	3	4
154	ответ на	7	4
155	в одном	3	4
156	из них	11	4
157	здесь нет	4	4
158	или иначе	3	4
159	в себе	4	4
160	как она	2	4
161	с точки	6	4
162	в своей	6	4
163	как раз	9	4
164	сравнению с	3	4
165	той же	2	4
166	никогда не	5	3
167	до конца	4	3
168	в отношении	4	3
169	до нас	7	3
170	в своем	9	3
171	а также	3	3
172	с этим	5	3
173	так же	8	3
174	нисколько не	3	3
175	в начале	5	3
176	для этого	3	3
177	что она	10	3
178	к этому	11	3
179	не как	2	3
180	в другом	2	3
181	в конце	14	3
182	от того	2	3
183	отношение к	7	3
184	во второй	2	3
185	и здесь	11	3
186	если бы	18	3
187	в свое	2	3
188	в сущности	3	3
189	ответа на	2	3
190	и вот	3	3
191	в этих	2	3
192	в силу	2	3
193	в частности	4	3
194	как в	4	3
195	такого рода	2	3
196	в с	2	3
197	не с	2	3
198	идет речь	2	3
199	стороны и	4	3
200	материал для	2	3
201	к нему	8	3
202	и на	6	3
203	того же	9	3
204	может служить	2	3
205	в известной	3	3
206	времени в	2	3
207	в ней	7	3
208	в конечном	2	3
209	и к	4	3
210	на этом	3	3
211	между ними	4	3
212	однако в	5	3
213	из которых	7	3
214	то это	5	3
215	по этому	3	3
216	что же	2	3
217	нуждается в	2	3
218	от себя	2	3
219	здесь не	2	3
220	говорит о	2	3
221	при этом	11	3
222	прошлом и	2	3
223	что с	4	3
224	наряду с	4	3
225	связи с	5	3
226	и есть	3	3
227	и сам	11	3
228	как будто	3	3
229	не следует	2	3
230	же самое	3	3
231	в этой	7	3
232	чем же	2	3
233	по содержанию	3	3
234	того как	5	3
235	чем в	5	3
236	ничего не	6	2
237	таким путем	2	2
238	и потому	2	2
239	в каждой	2	2
240	из того	3	2
241	во всех	4	2
242	и до	2	2
243	все время	3	2
244	тем более	9	2
245	это в	2	2
246	хотя в	3	2
247	который по	2	2
248	при всей	2	2
249	бы в	5	2
250	само собой	5	2
251	в обоих	2	2
252	что здесь	2	2
253	iv в	9	2
254	сам же	2	2
255	конце концов	3	2
256	говоря уже	2	2
257	в отношениях	2	2
258	в связи	4	2
259	это делает	2	2
260	том же	2	2
261	него в	3	2
262	а с	2	2
263	свою очередь	10	2
264	и был	2	2
265	после этого	2	2
266	и со	2	2
267	чем они	3	2
268	так и	4	2
269	чаще всего	2	2
270	к своему	4	2
271	после того	3	2
272	следует что	3	2
273	она была	2	2
274	надо было	3	2
275	можно считать	2	2
276	что к	4	2
277	в наиболее	2	2
278	тому что	5	2
279	на то	3	2
280	о которой	2	2
281	состоит в	2	2
282	в своих	4	2
283	и без	2	2
284	пока не	2	2
285	в свою	12	2
286	и с	5	2
287	не говоря	2	2
288	котором он	2	2
289	в достаточной	3	2
290	выражение в	3	2
291	он и	5	2
292	не столько	3	2
293	что мы	4	2
294	мы можем	7	2
295	речь идет	5	2
296	себя в	3	2
297	несмотря на	7	2
298	ближе к	3	2
299	к числу	2	2
300	а затем	4	2
301	не было	6	2
302	только после	3	2
303	мы не	6	2
304	в тех	4	2
305	на рубеже	2	2
306	не иначе	2	2
307	по его	2	2
308	что они	3	2
309	до того	4	2
310	как только	2	2
311	все равно	3	2
312	должна быть	2	2
313	не мог	2	2
314	из которой	2	2
315	например в	3	2
316	во всем	2	2
317	в дальнейшем	5	2
318	если же	2	2
319	из его	3	2
320	по существу	4	2
321	этих двух	2	2
322	во втором	2	2
323	этому времени	2	2
324	с помощью	4	2
