N	2gram	Trubetskoy	Otkroven
1	и в	26	19
2	но и	9	13
3	и не	8	13
4	в этом	15	12
5	не только	10	11
6	не в	2	11
7	а не	5	11
8	может быть	10	11
9	и все	2	10
10	в нем	4	10
11	никогда не	5	9
12	в самой	2	9
13	потому что	7	9
14	не было	2	9
15	прежде всего	2	9
16	лишь в	5	7
17	в его	5	7
18	он не	4	7
19	все это	6	6
20	для него	3	5
21	а в	4	5
22	в россии	2	5
23	в том	11	5
24	в самом	4	5
25	то что	7	5
26	в этой	4	5
27	отношение к	5	5
28	что в	9	4
29	того чтобы	5	4
30	все эти	6	4
31	не может	4	4
32	с его	2	4
33	в себе	6	3
34	и от	4	3
35	о том	6	3
36	к нему	7	3
37	не могут	2	3
38	что он	4	3
39	для того	5	3
40	еще не	2	3
41	все что	2	3
42	в этих	4	3
43	когда он	3	3
44	как бы	12	3
45	хотя бы	3	3
46	того что	3	3
47	одно из	2	2
48	сказать что	2	2
49	и на	2	2
50	с тем	18	2
51	уже в	2	2
52	мысль о	2	2
53	и для	5	2
54	что все	4	2
55	не имеет	5	2
56	русского народа	3	2
57	и с	10	2
58	что и	6	2
59	и потому	6	2
60	в других	3	2
61	в своем	3	2
62	но в	7	2
63	том что	7	2
64	от человека	2	2
65	все же	6	2
66	он в	2	2
67	так как	9	2
68	должен был	4	2
69	так что	3	2
70	и о	3	2
71	и нет	3	2
72	к этому	3	2
73	и к	5	2
74	так и	6	2
75	в которой	3	2
76	его не	2	2
77	и из	2	2
78	учение о	4	2
79	ни у	2	2
80	на западе	3	2
81	подойти к	3	2
