N	2gram	Bakhtin_KF	Analitik
1	не только	5	71
2	и в	28	66
3	в качестве	2	61
4	но и	9	57
5	в том	6	52
6	может быть	45	52
7	в этом	15	51
8	как и	5	50
9	и не	28	48
10	а не	17	42
11	том что	4	40
12	при этом	4	40
13	так и	2	35
14	в мире	8	31
15	не может	29	29
16	как бы	9	29
17	отнюдь не	7	29
18	а в	5	28
19	в его	42	27
20	и его	18	27
21	не в	13	26
22	но не	12	26
23	в себе	21	24
24	в этой	2	22
25	что в	4	22
26	лишь в	8	21
27	о том	3	20
28	по отношению	26	19
29	но в	5	19
30	в своей	11	19
31	то же	5	19
32	с его	2	19
33	в то	3	18
34	в данном	2	18
35	отношению к	22	18
36	тем самым	4	17
37	или иной	2	17
38	со стороны	8	17
39	в целом	10	17
40	только в	18	17
41	могут быть	3	16
42	то что	7	16
43	что и	7	16
44	не есть	22	15
45	в их	9	15
46	прежде всего	4	15
47	уже не	7	15
48	и на	3	15
49	между тем	4	15
50	в принципе	2	14
51	не менее	3	14
52	той или	3	14
53	мы имеем	5	14
54	себя в	8	14
55	я и	5	14
56	же время	2	14
57	в себя	8	14
58	по себе	2	13
59	ничего не	3	13
60	точки зрения	13	13
61	этого слова	2	13
62	для него	13	13
63	он не	6	13
64	никогда не	5	12
65	еще не	5	12
66	как в	2	12
67	сводится к	2	12
68	в свою	3	11
69	это не	10	11
70	и как	2	11
71	не следует	2	11
72	едва ли	2	10
73	все же	5	10
74	один из	2	10
75	было бы	8	10
76	того или	3	10
77	именно в	5	10
78	здесь не	3	10
79	в своем	17	9
80	того что	3	9
81	или иного	3	9
82	во всех	11	9
83	вступает в	3	9
84	и того	2	9
85	говорить о	2	9
86	что он	2	8
87	дело с	2	8
88	и все	9	8
89	в контексте	5	8
90	в основе	5	8
91	дело не	2	8
92	если бы	8	8
93	времени и	4	8
94	он и	2	8
95	с точки	10	8
96	с ним	5	8
97	в другом	3	7
98	в соответствии	2	7
99	и тем	3	7
100	от себя	10	7
101	место в	6	7
102	в ее	17	7
103	все это	10	7
104	себя и	5	7
105	и для	10	7
106	и т.д	4	7
107	в одном	5	7
108	жизни но	3	7
109	его в	5	6
110	что не	3	6
111	с другим	4	6
112	должен быть	7	6
113	не знает	5	6
114	в нем	32	6
115	не будет	2	6
116	и то	2	6
117	хотя бы	5	6
118	могла бы	4	6
119	в сознании	2	6
120	его как	5	6
121	во всем	7	6
122	одного и	2	6
123	тем не	2	6
124	вследствие этого	2	6
125	из которых	2	6
126	соответствии с	2	6
127	вовсе не	7	6
128	не о	2	5
129	и потому	2	5
130	не как	4	5
131	входит в	4	5
132	но как	5	5
133	жизни в	5	5
134	для себя	7	5
135	совершенно не	7	5
136	самом деле	3	5
137	а с	2	5
138	как предмет	2	5
139	все эти	11	5
140	мы не	3	5
