N	2gram	Propp_Isto	Poddanst
1	не только	28	17
2	и в	40	14
3	и не	19	12
4	в области	2	11
5	в этом	13	10
6	но в	13	9
7	то же	21	9
8	в том	12	9
9	в качестве	8	9
10	хотя бы	5	8
11	в пределах	4	8
12	в то	4	7
13	только в	16	7
14	но и	21	6
15	было бы	11	6
16	е с	2	6
17	в ней	10	6
18	xix века	2	6
19	с другой	8	5
20	не в	11	5
21	в которых	2	5
22	и пр	11	5
23	может быть	37	5
24	по себе	4	4
25	что в	19	4
26	если бы	8	4
27	на пути	2	4
28	и потому	3	4
29	в своем	5	4
30	том что	11	4
31	а также	2	4
32	мы должны	17	4
33	в котором	5	4
34	в русской	7	4
35	как бы	6	4
36	и если	4	4
37	то что	17	4
38	не может	19	4
39	а в	15	4
40	что мы	9	3
41	и как	3	3
42	с тем	13	3
43	но не	7	3
44	тем самым	2	3
45	это не	8	3
46	т е	30	3
47	столь же	2	3
48	мы не	12	3
49	в себе	6	3
50	потому что	12	3
51	одной стороны	7	3
52	в нем	8	3
53	между тем	2	3
54	вслед за	7	3
55	могут быть	5	3
56	прежде всего	15	3
57	и т	39	3
58	тот же	3	3
59	с одной	8	3
60	с ними	2	3
61	наряду с	6	3
62	ей в	2	3
63	для нас	17	2
64	должно быть	2	2
65	да и	3	2
66	в них	2	2
67	в жизни	2	2
68	одна из	4	2
69	есть не	2	2
70	отношения к	2	2
71	в эту	3	2
72	в русском	2	2
73	и мы	2	2
74	и это	2	2
75	и тем	2	2
76	в его	10	2
77	с этим	5	2
78	и вот	2	2
79	пути в	4	2
80	не менее	7	2
81	время в	2	2
82	со стороны	3	2
83	именно в	5	2
84	в начале	3	2
85	в виде	2	2
86	все это	6	2
87	в частности	3	2
88	и пусть	2	2
89	а не	18	2
90	во всей	2	2
91	не было	3	2
92	мысль о	2	2
93	и есть	5	2
94	например в	7	2
95	и с	5	2
96	не будем	7	2
97	во всех	3	2
98	в ее	2	2
99	в тот	3	2
100	в северной	2	2
101	между прочим	3	2
102	как раз	2	2
103	нужно было	2	2
104	к чему	4	2
105	того что	6	2
106	в силу	7	2
107	главным образом	2	2
108	из них	5	2
109	в которую	3	2
110	отнюдь не	2	2
