N	2gram	Bakhtin_Pr	Psycholo
1	то что	21	193
2	и в	59	190
3	в том	17	163
4	что в	14	123
5	потому что	20	114
6	том что	15	113
7	и что	2	108
8	может быть	38	107
9	таким образом	22	102
10	в этом	40	100
11	то есть	64	97
12	все время	4	86
13	в самом	19	82
14	как бы	40	80
15	для того	3	78
16	того чтобы	5	78
17	что он	16	76
18	не только	26	75
19	и не	66	73
20	что она	6	71
21	самом деле	9	70
22	точки зрения	36	69
23	не может	31	68
24	так как	11	63
25	так же	10	63
26	было бы	10	56
27	если бы	12	55
28	то же	15	54
29	о том	5	54
30	при этом	5	52
31	как и	21	51
32	что и	10	50
33	а не	30	50
34	заключается в	3	46
35	только в	15	46
36	в сущности	11	46
37	сказать что	9	46
38	по себе	13	46
39	в искусстве	2	45
40	не в	10	45
41	в этой	5	43
42	никогда не	19	42
43	и все	4	42
44	вместе с	2	41
45	как это	2	40
46	но и	22	40
47	как раз	9	39
48	того что	4	39
49	и это	5	37
50	мы видим	5	37
51	и как	10	36
52	вовсе не	13	34
53	и его	21	34
54	как на	4	34
55	что все	5	33
56	все же	9	33
57	тому что	3	33
58	все это	12	32
59	в себе	9	32
60	в ней	8	31
61	мы не	3	31
62	в его	44	31
63	он не	11	31
64	для нас	3	31
65	никак не	3	30
66	как будто	4	30
67	как в	10	30
68	и для	5	29
69	с точки	21	29
70	в нем	38	29
71	что мы	2	28
72	что они	3	28
73	мы можем	3	28
74	в основе	6	27
75	с другой	3	27
76	в своих	5	27
77	а в	9	27
78	все то	5	27
79	и на	15	27
80	так что	3	26
81	совершенно не	2	26
82	художественной формы	6	25
83	и здесь	5	25
84	только что	3	25
85	жизни и	21	25
86	до конца	11	24
87	в целом	8	24
88	до сих	3	24
89	тем что	5	24
90	в своем	12	23
91	сих пор	3	23
92	для этого	4	23
93	что если	4	23
94	могут быть	5	23
95	что оно	2	23
96	один из	4	23
97	и даже	4	22
98	как она	2	22
99	что у	5	22
100	с этим	2	22
101	между тем	5	22
102	из них	8	22
103	в своей	17	21
104	как мы	10	21
105	и вот	4	21
106	в конце	9	21
107	но только	3	21
108	ни в	5	21
109	в котором	6	21
110	в которых	2	21
111	той же	7	21
112	и только	2	21
113	она не	9	20
114	все эти	12	20
115	в то	15	20
116	тот же	4	20
117	это не	13	20
118	несмотря на	7	20
119	там где	12	20
120	мы имеем	2	20
121	другой стороны	3	20
122	мы должны	6	19
123	в ее	4	19
124	он говорит	3	19
125	в какой	2	19
126	у него	9	19
127	в одном	14	19
128	мы уже	4	19
129	в каком	2	18
130	на самом	5	18
131	перед нами	8	18
132	видим что	2	18
133	но в	7	18
134	был бы	6	18
135	но не	13	18
136	в которой	6	18
137	есть не	3	18
138	можно было	5	18
139	зависимости от	5	18
140	и есть	6	18
141	в виду	2	17
142	одна из	4	17
143	что для	4	17
144	во всяком	5	17
145	у нас	2	17
146	из этих	2	17
147	но это	7	17
148	и о	5	17
149	время как	2	17
150	так и	13	16
151	самого начала	4	16
152	не имеет	2	16
153	тому как	5	16
154	и к	5	16
155	от того	4	16
156	и тем	2	16
157	из которых	3	16
158	же как	5	16
159	к этому	6	16
160	с самого	3	16
161	в таком	2	16
162	и потому	9	15
163	могли бы	3	15
164	в зависимости	5	15
165	еще не	11	15
166	не могут	6	15
167	далеко не	3	15
168	что именно	2	15
169	в частности	2	15
170	в них	5	15
171	во всех	8	15
172	в результате	6	15
173	для него	23	15
174	должна быть	4	14
175	в художественном	5	14
176	хотя бы	5	14
177	по существу	5	14
178	с ним	13	14
179	есть только	5	14
180	это и	10	14
181	само по	4	14
182	прежде всего	17	14
183	в области	3	14
184	бы в	7	14
185	этом отношении	7	14
186	в жизни	7	14
187	те же	3	14
188	всяком случае	3	14
189	то время	3	14
190	или в	2	14
191	в совершенно	2	14
192	но он	3	14
193	как он	5	13
194	а с	4	13
195	точка зрения	14	13
196	не могли	3	13
197	именно в	8	13
198	этот вопрос	3	13
199	со стороны	6	13
200	и он	3	13
201	говорит он	9	13
202	в той	9	13
203	идет о	5	12
204	в этих	5	12
205	в рассказе	3	12
206	в самой	10	12
207	их в	8	12
208	конце концов	7	12
209	характера и	2	12
210	ничего не	8	12
211	не менее	3	12
212	и другие	4	12
213	этой точки	3	12
214	тогда когда	2	12
215	что не	6	12
216	и до	5	12
217	например в	5	12
218	я не	7	12
219	это в	3	12
220	и уже	3	12
221	об этом	4	12
222	и с	10	12
223	как только	2	12
224	как к	3	11
225	были бы	5	11
226	отличие от	3	11
227	подобно тому	5	11
228	этого слова	3	11
229	по сравнению	2	11
230	исходит из	3	11
231	сравнению с	2	11
232	и других	8	11
233	его в	6	11
234	по поводу	2	11
235	у шекспира	2	11
236	мы видели	3	11
237	была бы	5	11
238	с его	14	11
239	на это	2	11
240	совершенно справедливо	2	11
241	есть в	10	11
242	на этот	2	11
243	уже в	9	11
