N	2gram	Medvedev_S	Istorich
1	и в	3	181
2	может быть	2	115
3	не только	3	114
4	что в	2	90
5	но и	2	85
6	в этом	5	81
7	то что	2	73
8	таким образом	2	72
9	еще не	2	63
10	то же	2	56
11	в том	5	53
12	том что	2	53
13	и что	2	51
14	не в	3	47
15	только в	2	42
16	в его	3	38
17	для нас	3	38
18	было бы	2	24
19	все это	7	23
20	в частности	2	23
21	как бы	2	23
22	по существу	2	17
23	и только	3	17
24	дело не	2	17
25	как будто	2	15
26	должна быть	2	14
27	отношению к	2	14
28	по отношению	2	14
29	как только	2	12
30	главным образом	2	11
31	далеко не	2	11
32	к которому	2	11
33	это и	2	9
34	или даже	2	8
35	в конце	2	7
36	только как	2	5
37	она может	2	5
38	и мы	2	5
39	тем более	2	4
40	в результате	2	4
41	очевидно что	2	4
42	как же	3	3
43	им не	2	2
44	более чем	3	2
45	нужно было	2	2
