N	2gram	Vinokur_Vv	Hudozhes
1	в качестве	8	31
2	и в	35	23
3	не только	26	20
4	состоит в	2	20
5	в том	38	20
6	может быть	30	19
7	при этом	3	19
8	в частности	3	18
9	и не	13	16
10	тогда как	2	15
11	но и	7	14
12	а в	6	13
13	в себе	4	13
14	но не	9	13
15	в тексте	4	13
16	а не	5	13
17	то же	11	12
18	такого рода	3	12
19	в этом	35	12
20	и его	6	12
21	так и	2	12
22	как бы	7	11
23	точки зрения	12	11
24	представляет собой	14	11
25	в его	12	11
26	но в	10	10
27	по отношению	4	10
28	отношению к	4	10
29	не в	10	9
30	или иной	3	9
31	том что	30	9
32	не может	19	9
33	с другой	8	9
34	своего рода	3	9
35	особого рода	4	8
36	в то	6	8
37	себя в	2	8
38	в принципе	3	8
39	в области	4	8
40	в самом	13	7
41	отношение к	3	7
42	в своей	4	7
43	только в	16	7
44	же время	6	7
45	как это	5	7
46	что в	13	7
47	отличие от	4	7
48	в отличие	4	7
49	не столько	2	7
50	мы имеем	4	6
51	уже не	6	6
52	другой стороны	5	6
53	а также	3	6
54	в нем	13	6
55	можно сказать	4	6
56	в ее	11	6
57	той или	3	5
58	или иначе	4	5
59	могут быть	6	5
60	в конечном	3	5
61	между ними	3	5
62	для того	23	5
63	того чтобы	22	5
64	в виду	5	5
65	со стороны	16	5
66	в их	12	5
67	слова как	2	5
68	что он	5	5
69	то что	19	5
70	не менее	9	5
71	прежде всего	10	5
72	того что	12	5
73	или иным	2	4
74	в слове	3	4
75	и то	7	4
76	сказать что	6	4
77	в отношении	3	4
78	его в	6	4
79	это не	8	4
80	а только	8	4
81	к тому	4	4
82	значении этого	2	4
83	на почве	5	4
84	между тем	10	4
85	входит в	3	4
86	в данном	11	4
87	и т.д	5	4
88	во втором	2	4
89	жизни как	2	4
90	в форме	2	4
91	в другом	3	4
92	однако в	3	4
93	в силу	3	4
94	и как	9	4
95	еще не	4	4
96	и тем	5	4
97	и что	6	4
98	языка в	5	4
99	говорить о	5	4
100	в этих	3	4
101	не следует	3	4
102	например в	2	4
103	в своем	3	4
104	хотя и	5	4
105	так или	4	4
106	от себя	3	3
107	к нему	3	3
108	и для	4	3
109	по своему	5	3
110	искусства и	2	3
111	одно и	2	3
112	как уже	5	3
113	и ее	4	3
114	как совокупность	2	3
115	как и	7	3
116	того же	3	3
117	культуры в	5	3
118	потому что	18	3
119	о чем	4	3
120	одной стороны	4	3
121	что можно	2	3
122	в целом	5	3
123	в свою	2	3
124	к действительности	2	3
125	и к	3	3
126	во всех	2	3
127	одного и	2	3
128	о литературе	3	3
129	тем не	9	3
130	а именно	6	3
131	из этих	9	3
132	связи с	3	3
133	и на	3	3
134	мог бы	2	3
135	тому как	2	3
136	если бы	3	3
137	в той	10	3
138	текст и	3	3
139	как раз	4	3
140	двоякого рода	2	3
141	с точки	4	3
142	и того	3	3
143	подобно тому	2	3
144	с этой	5	3
145	в связи	2	3
146	таким образом	21	3
147	и сам	3	3
148	этом смысле	11	3
149	на языке	2	3
150	отношении к	2	3
151	в одном	4	3
152	с одной	4	3
153	никогда не	3	2
154	о том	16	2
155	одной из	4	2
156	в каком	3	2
157	одна из	3	2
158	как в	3	2
159	и др	2	2
160	художественной литературы	2	2
161	не могли	2	2
162	одно из	5	2
163	и наоборот	3	2
164	и это	6	2
165	тому что	2	2
166	и потому	2	2
167	об искусстве	4	2
168	еще и	4	2
169	в чем	4	2
170	что такое	12	2
171	именно в	8	2
172	но как	2	2
173	все эти	3	2
174	тем более	2	2
175	времени в	3	2
176	времени и	4	2
177	или иных	3	2
178	что она	3	2
179	с их	5	2
180	должен быть	4	2
181	быть и	2	2
182	дело не	5	2
183	однако с	2	2
184	этой точки	2	2
185	не как	3	2
186	так же	3	2
187	об этом	6	2
188	этого термина	3	2
189	может служить	3	2
190	свою очередь	2	2
191	из которых	3	2
192	это может	2	2
193	он и	2	2
194	в известном	3	2
195	тех или	3	2
196	один из	6	2
197	на котором	2	2
198	в них	5	2
199	по себе	11	2
200	не вполне	4	2
201	сама по	3	2
202	речь идет	2	2
203	вопрос что	2	2
204	несмотря на	2	2
205	с чем	2	2
206	на этом	3	2
207	тем или	2	2
208	в основании	3	2
209	языка на	2	2
210	все это	6	2
211	быть названо	4	2
212	своей природе	3	2
213	что и	5	2
214	большей части	2	2
215	в значительной	3	2
216	истории литературы	3	2
217	имеет дело	5	2
218	одним из	5	2
219	не просто	5	2
220	к своему	2	2
221	и другие	2	2
222	только о	2	2
223	может оказаться	3	2
224	в формах	2	2
225	а затем	2	2
226	самом деле	7	2
227	случае не	2	2
228	этого слова	2	2
229	в этой	3	2
230	ни к	2	2
231	а с	2	2
232	в текстах	3	2
233	что может	3	2
234	этих двух	2	2
235	ними и	2	2
236	в какой	6	2
237	духовной жизни	3	2
238	без остатка	2	2
239	вовсе не	6	2
240	заключается в	4	2
241	известном смысле	3	2
242	не с	3	2
243	при всей	2	2
244	здесь не	3	2
