N	2gram	Vygotskiy_	VeschiIm
1	не есть	4	79
2	и не	27	57
3	не только	36	48
4	то что	40	48
5	не может	23	46
6	и в	47	45
7	вещи и	2	40
8	и есть	4	40
9	может быть	20	39
10	а не	7	37
11	потому что	26	25
12	было бы	12	24
13	в себе	14	23
14	что она	8	23
15	по себе	5	23
16	только в	24	23
17	сказать что	18	22
18	и что	14	22
19	в смысле	9	22
20	и следовательно	8	20
21	что такое	2	20
22	как бы	13	20
23	и ее	3	19
24	что это	7	19
25	но и	19	19
26	что же	3	19
27	есть только	3	18
28	все же	7	18
29	в этом	47	18
30	есть не	3	17
31	и это	2	17
32	прежде всего	9	17
33	так как	25	17
34	что мы	14	17
35	оно есть	5	16
36	того что	27	16
37	таким образом	38	16
38	как раз	6	16
39	в том	38	15
40	как и	19	15
41	в ней	5	15
42	не в	7	14
43	и то	10	14
44	но это	4	14
45	том что	28	13
46	а и	2	13
47	это и	7	13
48	и больше	2	13
49	и для	5	13
50	в самом	15	13
51	в себя	4	13
52	ничего не	2	12
53	но если	5	12
54	совершенно не	2	12
55	что в	23	12
56	точки зрения	39	12
57	она есть	2	12
58	что и	4	12
59	что они	11	12
60	есть то	4	12
61	и как	7	12
62	то же	16	12
63	еще не	5	12
64	и даже	3	12
65	о том	5	12
66	если мы	6	12
67	и с	5	12
68	в то	10	11
69	не менее	6	11
70	что не	2	11
71	вовсе не	3	11
72	содержит в	4	11
73	тем не	4	11
74	и их	7	11
75	также и	2	11
76	ни в	3	11
77	и только	7	11
78	в чем	5	10
79	что оно	9	10
80	с ее	2	10
81	ясно что	4	10
82	это не	6	9
83	так что	8	9
84	в своем	3	9
85	то и	5	9
86	она не	7	9
87	должно быть	3	9
88	бы в	7	9
89	в результате	3	9
90	если оно	2	9
91	у нас	3	9
92	на то	5	9
93	но не	13	9
94	но что	2	9
95	и его	14	9
96	с ним	5	9
97	в отношении	9	8
98	его в	7	8
99	и потому	3	8
100	что он	13	8
101	но в	9	8
102	в ее	7	8
103	мы не	10	8
104	себя и	2	8
105	все это	5	8
106	это есть	6	8
107	можно сказать	9	8
108	только и	5	8
109	по сравнению	23	8
110	с другими	5	8
111	мы имеем	3	8
112	отличается от	6	8
113	в свете	9	8
114	если бы	8	8
115	с тем	8	8
116	что есть	2	8
117	для него	6	8
118	не с	3	8
119	с другой	7	8
120	отнюдь не	2	8
121	в действительности	3	7
122	от того	6	7
123	и тем	10	7
124	из них	2	7
125	самом деле	6	7
126	а в	3	7
127	можно ли	2	7
128	необходимо чтобы	2	7
129	все эти	7	7
130	в сущности	16	7
131	я не	3	7
132	относится к	5	7
133	никак не	5	7
134	слова и	10	7
135	тем что	14	7
136	вообще не	6	7
137	с этой	5	7
138	оно не	3	7
139	мог бы	6	7
140	и тогда	3	7
141	сравнению с	21	7
142	без всякого	2	7
143	никогда не	7	6
144	в каком	2	6
145	вопрос о	9	6
146	что является	2	6
147	для себя	24	6
