N	3gram	Ircho_Kome	Analitik
1	в том что	13	25
2	по отношению к	5	18
3	в то же	5	16
4	о том что	6	15
5	то же время	5	14
6	в отличие от	3	14
7	к тому же	12	13
8	с одной стороны	5	9
9	с другой стороны	6	9
10	в этом отношении	3	8
11	как и в	2	8
12	во всяком случае	4	7
13	тем не менее	2	6
14	не более чем	2	6
15	так или иначе	4	6
16	но и в	2	5
17	том что он	4	4
18	для того чтобы	3	4
19	в соответствии с	2	4
20	на себя внимание	4	4
21	в самом начале	3	4
22	едва ли не	6	4
23	в этом смысле	2	4
24	обращает на себя	4	4
25	то ни было	4	3
26	бы то ни	4	3
27	и т п	7	3
28	то же самое	2	3
29	речь идет о	5	3
30	в том числе	4	3
31	в связи с	3	3
32	что он не	2	2
33	при этом что	2	2
34	в поле зрения	2	2
35	можно было бы	3	2
36	не в состоянии	3	2
37	к тому что	3	2
38	в частности в	2	2
39	говоря уже о	4	2
40	тому же в	5	2
41	до сих пор	3	2
42	в обоих случаях	3	2
43	не говоря уже	4	2
44	на то что	2	2
45	по своему происхождению	2	2
