N	2gram	Tiupa_Teor	RusskieA
1	и в	24	79
2	в том	20	64
3	том что	11	59
4	что в	10	57
5	не только	24	41
6	а а	5	40
7	в этом	12	33
8	и другие	2	33
9	состоит в	22	32
10	как бы	8	31
11	но и	14	31
12	как и	6	28
13	может быть	22	28
14	и на	2	28
15	о том	2	23
16	при этом	20	22
17	это не	4	20
18	а в	15	20
19	все это	2	18
20	потому что	3	17
21	то что	6	17
22	об этом	2	17
23	таким образом	3	17
24	вместе с	2	17
25	один из	2	15
26	у нас	2	14
27	не менее	6	14
28	в них	2	14
29	как это	10	14
30	тем не	3	14
31	и не	17	14
32	и что	4	14
33	и по	3	13
34	не может	8	13
35	еще не	6	13
36	как в	5	13
37	уже не	6	13
38	между собой	3	12
39	мы имеем	7	12
40	а на	3	11
41	а затем	2	11
42	далеко не	4	11
43	его в	4	10
44	так и	14	10
45	между тем	5	10
46	что и	2	10
47	а также	7	10
48	представляет собой	13	10
49	или в	3	10
50	данном случае	5	9
51	о чем	3	9
52	но в	12	9
53	к жизни	2	9
54	что они	2	9
55	то же	12	9
56	но не	13	9
57	так же	2	8
58	того что	5	8
59	как уже	2	8
60	в данном	9	8
61	на себя	2	8
62	того чтобы	5	8
63	их в	3	8
64	связи с	3	8
65	не все	3	8
66	во всех	3	8
67	подобно тому	3	8
68	ее в	2	8
69	для того	5	8
70	в этих	4	8
71	тому как	3	8
72	в своем	7	7
73	а и	5	7
74	не в	9	7
75	а с	3	7
76	к нему	2	7
77	из этих	3	7
78	и как	3	7
79	только в	9	7
80	как будто	2	7
81	а не	14	7
82	в этой	3	6
83	на этом	2	6
84	в их	4	6
85	не всегда	2	6
86	только на	2	6
87	тому что	2	6
88	к тому	4	6
89	в нем	7	6
90	так в	4	6
91	в году	2	6
92	с ними	2	6
93	все эти	3	6
94	в качестве	33	6
95	но она	2	6
96	в одном	3	6
97	что она	2	6
98	и о	5	6
99	приводит к	6	6
100	в таком	3	6
101	и потому	3	5
102	что он	4	5
103	прежде всего	3	5
104	и др	3	5
105	в свою	4	5
106	в то	9	5
107	в целом	4	5
108	тогда как	18	5
109	в связи	3	5
110	например в	3	5
111	в его	12	5
112	как правило	5	5
113	не с	3	5
114	и для	3	5
115	с другой	9	5
116	входит в	4	5
117	и к	3	5
118	отнюдь не	3	5
119	или даже	4	5
120	если в	2	4
121	и ее	4	4
122	в глаза	2	4
123	и а	4	4
124	на две	3	4
125	здесь мы	2	4
126	своего рода	11	4
127	отличие от	7	4
128	не столько	7	4
129	могут быть	5	4
130	не на	4	4
131	во всей	3	4
132	этого слова	4	4
133	в основе	6	4
134	по своему	4	4
135	дело не	2	4
136	несмотря на	2	4
137	и здесь	2	4
138	не просто	2	4
139	в отличие	7	4
140	именно в	3	4
141	на основе	2	4
142	но он	4	4
143	никогда не	4	3
144	чтобы не	2	3
145	в форме	4	3
146	то есть	22	3
147	это и	2	3
148	в виду	5	3
149	в одно	2	3
150	или менее	6	3
151	и это	2	3
152	более или	6	3
153	точки зрения	11	3
154	в области	7	3
155	в какой	2	3
156	и некоторые	2	3
157	в ее	6	3
158	в своей	8	3
159	свою очередь	3	3
160	место в	7	3
161	хотя и	4	3
162	имеет место	3	3
163	и то	3	3
164	с другими	6	3
165	по отношению	10	3
166	и наоборот	2	3
167	в которой	3	3
168	если бы	3	3
169	жизни в	2	3
170	а именно	3	3
171	отношению к	10	3
172	с одной	3	3
173	есть в	3	3
174	восходит к	2	3
175	слова в	4	3
176	в русской	6	3
177	из которых	2	3
178	к числу	2	3
179	с точки	3	3
180	сводится к	12	3
181	здесь не	2	3
182	и его	11	3
183	в большинстве	2	3
184	быть и	2	3
185	при котором	2	3
186	и притом	3	2
187	в себе	14	2
188	перед нами	3	2
189	вокруг него	2	2
190	в силу	4	2
191	в конце	2	2
192	отношение к	7	2
193	должен быть	2	2
194	одним из	3	2
195	и тем	5	2
196	он должен	3	2
197	между ними	6	2
198	в частности	23	2
199	в момент	3	2
200	самом деле	2	2
201	ногами и	2	2
202	для такого	2	2
203	тот кто	2	2
204	что каждый	2	2
205	одной стороны	3	2
206	в состав	6	2
207	не принадлежат	2	2
208	между двумя	3	2
209	себя и	2	2
210	у и	2	2
211	случае не	2	2
212	можно сказать	5	2
213	обращается к	2	2
214	который в	2	2
215	для обозначения	2	2
216	для него	5	2
217	с его	6	2
218	и состоит	2	2
219	сказать что	4	2
220	не сами	2	2
221	он не	5	2
222	право на	2	2
223	другой стороны	6	2
224	ту или	2	2
225	тем более	2	2
226	в равной	3	2
227	дело в	2	2
228	и даже	2	2
229	не является	5	2
230	с этой	3	2
231	в пределах	5	2
232	не могло	2	2
233	в жизни	3	2
234	вытекает из	2	2
235	к нам	2	2
236	и является	2	2
237	не случайно	5	2
238	за пределами	5	2
239	в чем	2	2
240	что такое	2	2
241	или иную	2	2
242	оно не	2	2
243	следует признать	2	2
244	но на	2	2
245	по себе	2	2
246	к другому	2	2
247	значения и	2	2
248	в противном	2	2
249	говорить о	4	2
250	и особенно	2	2
251	но их	3	2
252	у него	2	2
253	в нашем	4	2
254	равной степени	3	2
