N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	11	46
2	не может быть	3	25
3	в самом деле	29	19
4	в том что	20	14
5	для того чтобы	17	11
6	до сих пор	6	11
7	с самого начала	10	10
8	как если бы	3	9
9	то же самое	12	8
10	смысле этого слова	5	7
11	с другой стороны	5	7
12	в свою очередь	3	7
13	во всяком случае	6	6
14	на самом деле	3	6
15	на то что	16	6
16	в точном смысле	2	6
17	с одной стороны	6	6
18	как мы видели	2	5
19	и как бы	2	5
20	к тому что	5	5
21	мы уже знаем	2	4
22	том что он	3	4
23	точном смысле этого	3	4
24	о том что	8	4
25	и то же	3	3
26	все более и	4	3
27	друг с другом	2	3
28	одной и той	3	3
29	можно было бы	6	3
30	более и более	4	3
31	одно и то	3	3
32	и той же	3	3
33	ни в какой	2	3
34	не было бы	2	3
35	и в этом	6	3
36	и что это	2	3
37	и та же	3	2
38	тех пор пока	2	2
39	самом деле если	2	2
40	одна и та	2	2
41	до тех пор	2	2
42	так же как	2	2
43	ничего общего с	2	2
44	в данном случае	5	2
45	что он не	4	2
46	сами по себе	3	2
47	и в самом	15	2
48	как мы увидим	2	2
49	мы видели что	2	2
50	к тому же	2	2
51	с тем что	3	2
52	не то что	4	2
53	должен был бы	2	2
54	дело идет о	2	2
55	того или иного	2	2
56	это и есть	2	2
