N	2gram	Losev_Vlad	Narrotol
1	не только	35	62
2	и не	33	50
3	при этом	5	47
4	но и	26	45
5	а не	5	38
6	в качестве	7	35
7	в частности	4	31
8	может быть	12	30
9	и в	56	30
10	в том	26	29
11	том что	22	28
12	в этом	30	28
13	а в	20	27
14	такого рода	4	26
15	только в	11	25
16	как и	7	24
17	не в	12	23
18	то что	30	23
19	то есть	5	22
20	не может	12	20
21	в себе	5	17
22	так и	11	17
23	а также	12	17
24	со стороны	5	16
25	в его	18	16
26	но в	19	15
27	можно сказать	10	15
28	к тому	5	15
29	в жизни	4	14
30	и его	12	14
31	в своем	10	13
32	в своей	7	13
33	то же	10	13
34	у него	28	13
35	о том	13	13
36	уже не	6	13
37	все же	11	12
38	прежде всего	5	12
39	как в	6	12
40	как бы	5	12
41	тем самым	2	11
42	к себе	2	11
43	и тем	2	11
44	об этом	13	11
45	в нем	7	11
46	в этой	4	11
47	если бы	2	11
48	жизни в	3	11
49	хотя и	9	11
50	никогда не	15	10
51	в то	15	10
52	ничего не	4	10
53	как это	11	10
54	один из	4	10
55	точки зрения	4	10
56	того что	6	10
57	и все	8	10
58	но не	5	10
59	жизни и	8	10
60	тому же	3	10
61	с его	15	10
62	еще не	2	9
63	что он	22	9
64	что в	24	9
65	отнюдь не	3	9
66	тем не	8	9
67	для него	16	9
68	я в	4	9
69	истории в	2	9
70	потому что	16	9
71	с ним	10	9
72	как раз	7	9
73	о чем	6	8
74	не менее	9	8
75	того чтобы	4	8
76	мы имеем	2	8
77	и он	7	8
78	этом отношении	2	8
79	у нас	11	8
80	и для	4	8
81	в самом	3	8
82	и к	10	8
83	в той	2	8
84	же время	7	8
85	в таком	2	8
86	он не	13	8
87	не мог	10	8
88	в свою	3	7
89	это не	3	7
90	в конце	22	7
91	едва ли	3	7
92	в чем	4	7
93	в ней	5	7
94	на себя	3	7
95	в целом	3	7
96	же в	3	7
97	также и	13	7
98	с другой	3	7
99	в котором	10	7
100	пока еще	2	7
101	и на	7	7
102	вплоть до	4	6
103	в детстве	2	6
104	о нем	9	6
105	ответ на	2	6
106	не могла	3	6
107	что и	6	6
108	сказать что	14	6
109	никак не	6	6
110	то в	6	6
111	то и	3	6
112	из этих	5	6
113	здесь не	6	6
114	в результате	6	6
115	на него	3	6
116	как у	3	6
117	не по	2	6
118	что у	4	6
119	в нашем	5	6
120	на то	7	6
121	к его	5	6
122	все что	2	6
123	таким образом	6	6
124	для нее	3	5
125	и у	4	5
126	а именно	4	5
127	дело с	2	5
128	и о	6	5
129	о котором	2	5
130	к нему	6	5
131	свидетельствует о	3	5
132	место в	2	5
133	не столько	4	5
134	было бы	7	5
135	мы не	2	5
136	свою очередь	2	5
137	я не	8	5
138	и здесь	3	5
139	да и	6	5
140	и то	13	5
141	по поводу	15	5
142	и от	6	5
143	что это	2	5
144	с ними	2	5
145	так сказать	2	5
146	в начале	7	5
147	тем более	4	5
148	себя в	6	5
149	этом и	2	5
150	и даже	23	5
151	только что	2	5
152	для того	4	5
153	его жизни	12	5
154	их в	3	5
155	именно в	4	5
156	в своих	7	5
157	если не	4	5
158	еще в	5	5
159	из них	3	5
160	в одном	2	5
161	не было	12	5
162	он сам	3	5
163	и сам	7	5
164	как будто	2	5
165	начала и	2	5
166	даже в	4	4
167	в москве	13	4
168	в ответ	2	4
169	начиная с	3	4
170	как он	4	4
171	в области	3	4
172	только на	3	4
173	друг друга	3	4
174	по своему	5	4
175	в них	5	4
176	она не	3	4
177	а то	2	4
178	ему в	4	4
179	что на	2	4
180	что касается	6	4
181	и по	10	4
182	что они	4	4
183	как мы	17	4
184	но зато	2	4
185	хотя бы	5	4
186	к этому	11	4
187	это было	9	4
188	к ней	7	4
189	за границей	3	4
190	и как	7	4
191	не имеет	2	4
192	не могло	2	4
193	для себя	6	4
194	во сне	2	4
195	не вполне	3	4
196	что я	5	4
197	и притом	5	4
198	и с	27	4
199	для нас	9	4
200	по себе	3	4
201	несмотря на	7	4
202	всяком случае	8	4
203	по своей	4	4
204	которой он	7	4
205	к жизни	2	4
206	во всяком	8	4
207	нас нет	2	4
208	не к	2	4
209	о которой	3	4
210	вместе с	9	4
211	еще и	10	3
212	до конца	8	3
213	и потому	8	3
214	так же	4	3
215	но как	6	3
216	и сама	2	3
217	которых он	2	3
218	как к	4	3
219	в следующем	3	3
220	с этой	4	3
221	как известно	2	3
222	в виде	4	3
223	этого не	2	3
224	и вот	5	3
225	его не	2	3
226	а с	5	3
227	здесь мы	4	3
228	одной из	2	3
229	как уже	2	3
230	и это	4	3
231	последних дней	2	3
232	своей жизни	5	3
233	ни одного	2	3
234	между ними	2	3
235	точно так	2	3
236	что не	3	3
237	а к	24	3
238	все эти	6	3
239	той же	6	3
240	и самого	2	3
241	связи с	7	3
242	в связи	9	3
243	во время	4	3
244	времени в	2	3
245	и т	3	3
246	особенно в	2	3
247	о его	7	3
248	произведения как	2	3
249	все было	2	3
250	но это	6	3
251	о своем	3	3
252	дело в	7	3
253	только к	3	3
254	что она	2	3
255	дело не	3	3
256	в которой	8	3
257	этот раз	7	3
258	во второй	3	3
259	лишь в	3	3
260	должен был	3	3
261	он уже	7	3
262	в этих	5	3
263	со своей	5	3
264	всей своей	2	3
265	это была	3	3
266	со своими	4	3
267	этом в	2	3
268	на этот	9	3
269	он и	8	3
270	что мы	2	3
