N	3gram	Potebnia_M	TeoriaLi
1	в том что	22	10
2	по отношению к	10	10
3	в то же	8	8
4	то же время	8	8
5	с другой стороны	4	6
6	более или менее	6	6
7	в данном случае	3	5
8	для того чтобы	5	5
9	не может быть	7	5
10	и того же	2	4
11	одного и того	2	4
12	с точки зрения	2	3
13	с одной стороны	4	3
14	в этом смысле	2	3
15	тем не менее	7	3
16	подобно тому как	3	3
17	можно сказать что	3	3
18	в свою очередь	6	3
19	одно и то	7	2
20	не только не	4	2
21	и то же	7	2
22	в таком случае	2	2
23	тогда как в	2	2
24	том что он	2	2
25	к тому что	3	2
26	и в самом	3	2
27	как и в	3	2
28	сама по себе	3	2
29	не могут быть	3	2
