N	2gram	Voloshinov	KFilosof
1	может быть	13	45
2	в его	6	42
3	в нем	6	32
4	не может	13	29
5	и не	14	28
6	и в	42	28
7	по отношению	2	26
8	в котором	3	24
9	отношению к	2	22
10	не есть	2	22
11	в себе	10	21
12	и его	7	18
13	только в	7	18
14	в ее	3	17
15	а не	7	17
16	в этом	10	15
17	не в	6	13
18	для него	3	13
19	точки зрения	11	13
20	но не	2	12
21	и это	8	12
22	к нему	2	12
23	в своей	2	11
24	во всех	6	11
25	все эти	3	11
26	это не	3	10
27	в целом	4	10
28	и для	3	10
29	все это	4	10
30	с точки	5	10
31	в их	2	9
32	но и	16	9
33	как бы	30	9
34	и все	4	9
35	себя в	4	8
36	если бы	4	8
37	не было	2	8
38	лишь в	4	8
39	в мире	2	8
40	жизни и	3	8
41	было бы	7	8
42	и здесь	3	7
43	должен быть	2	7
44	совершенно не	3	7
45	то что	9	7
46	уже не	4	7
47	отнюдь не	10	7
48	конечно не	3	7
49	что и	3	7
50	вовсе не	2	7
51	должно быть	2	6
52	отношение к	2	6
53	но эта	2	6
54	в том	3	6
55	но все	5	6
56	мой поступок	2	6
57	место в	2	6
58	и их	5	6
59	но это	2	6
60	он не	2	6
61	никогда не	7	5
62	его в	4	5
63	все же	9	5
64	не только	28	5
65	бытия в	2	5
66	мы имеем	2	5
67	но как	2	5
68	хотя бы	18	5
69	и содержание	2	5
70	то же	16	5
71	но ведь	6	5
72	еще не	3	5
73	не знает	3	5
74	а в	5	5
75	но в	5	5
76	как и	12	5
77	в одном	4	5
78	я и	2	5
79	с ним	2	5
80	в основе	3	5
81	в каком	2	4
82	что это	4	4
83	тем самым	8	4
84	том что	3	4
85	и т.д	21	4
86	времени и	2	4
87	прежде всего	22	4
88	здесь мы	3	4
89	в своих	2	4
90	для нас	3	4
91	в действительной	2	4
92	при этом	9	4
93	всех своих	4	4
94	между тем	3	4
95	до конца	2	3
96	или иного	5	3
97	ничего не	8	3
98	слово не	4	3
99	того или	5	3
100	в то	9	3
101	на самом	3	3
102	здесь не	2	3
103	человека и	2	3
104	в каждом	4	3
105	от того	3	3
106	тем что	2	3
107	и тем	7	3
108	та же	3	3
109	бы не	2	3
110	для того	9	3
111	самом деле	5	3
112	в виду	3	3
113	себе и	2	3
114	к чему	2	3
115	и пр	4	3
116	не должен	2	3
117	по своему	3	3
118	нет и	3	3
119	и этот	2	3
120	не должно	2	3
121	и ни	2	3
122	независимо от	5	3
123	о том	4	3
124	в ней	8	3
125	в свою	6	3
126	но для	3	3
127	действительной жизни	2	3
128	и на	7	3
129	того что	4	3
130	мы не	9	3
131	той или	4	3
132	был бы	2	3
133	войти в	2	3
134	не имеем	3	3
135	тот же	2	3
136	бы и	2	3
137	ясно что	2	3
138	и то	5	2
139	для этого	2	2
140	или иной	6	2
141	и потому	2	2
142	содержание и	3	2
143	и эта	3	2
144	к этому	2	2
145	события и	2	2
146	деятельности и	3	2
147	вопрос о	2	2
148	и конечно	2	2
149	и как	10	2
150	то или	4	2
151	были бы	4	2
152	в области	6	2
153	а с	5	2
154	что он	2	2
155	из которых	3	2
156	вследствие этого	3	2
157	которого и	2	2
158	или как	6	2
159	всех его	2	2
160	так и	7	2
161	ни к	2	2
162	его и	3	2
163	в жизни	2	2
164	с тем	8	2
165	как в	3	2
166	как предмет	3	2
167	при условии	2	2
168	в него	2	2
169	в сознании	5	2
170	сознания не	3	2
171	разве не	2	2
172	тому что	5	2
173	гораздо более	2	2
174	не из	2	2
175	еще более	2	2
176	и само	3	2
177	не нужно	2	2
178	если не	3	2
179	в процессе	6	2
180	один из	4	2
181	чему не	2	2
182	потому что	7	2
183	не будет	3	2
184	того чтобы	7	2
185	или иное	4	2
186	и когда	2	2
187	человек не	2	2
188	слова в	6	2
189	в качестве	4	2
190	же время	7	2
191	этого слова	3	2
192	в этой	6	2
193	с его	8	2
