N	2gram	Nazirov_Vr	VerxiiNi
1	и в	8	26
2	таким образом	2	22
3	в этом	8	15
4	вместе с	2	15
5	точки зрения	2	13
6	как бы	4	12
7	в том	3	11
8	не только	9	10
9	и с	6	10
10	может быть	4	10
11	после смерти	2	10
12	что в	7	9
13	связи с	3	9
14	но и	7	9
15	и у	3	8
16	и не	5	8
17	из них	2	7
18	то что	7	7
19	но в	6	7
20	том что	3	7
21	а с	2	7
22	все же	6	6
23	о том	4	6
24	в себе	2	6
25	в конце	3	6
26	несмотря на	4	6
27	с точки	2	6
28	все это	4	6
29	никогда не	2	5
30	в мире	2	5
31	так же	4	5
32	отношение к	2	5
33	в его	3	5
34	далеко не	3	4
35	а в	2	4
36	в котором	6	4
37	в нем	6	4
38	не может	2	4
39	целый ряд	4	4
40	то же	5	4
41	и что	8	4
42	что он	4	4
43	он не	3	4
44	во время	2	4
45	в этой	2	4
46	в то	5	4
47	в своем	3	3
48	к ним	2	3
49	уже не	2	3
50	к этому	3	3
51	и даже	6	3
52	и как	3	3
53	же как	2	3
54	при этом	4	3
55	не менее	2	3
56	в связи	3	3
57	и о	3	3
58	для него	2	3
59	начиная с	2	2
60	в эту	2	2
61	и это	2	2
62	а также	2	2
63	в россии	5	2
64	на то	3	2
65	в начале	6	2
66	между тем	5	2
67	одним из	3	2
68	в свою	2	2
69	время он	2	2
70	в них	2	2
71	уже в	4	2
72	еще не	2	2
73	не было	5	2
74	и все	7	2
75	же время	5	2
76	в виду	4	2
77	в русских	2	2
78	в среде	2	2
79	в глазах	2	2
80	с его	3	2
