N	2gram	Vygotskiy_	Sotsiolo
1	все это	2	7
2	в том	44	5
3	в этом	43	5
4	как же	2	3
5	не только	28	3
6	и только	4	3
7	в его	15	3
8	не в	10	3
9	и в	33	3
10	это и	3	2
11	дело не	2	2
12	должна быть	7	2
13	отношению к	19	2
14	по отношению	19	2
15	еще не	11	2
16	только в	21	2
17	что в	33	2
18	тем более	5	2
19	в частности	9	2
20	том что	41	2
21	было бы	18	2
22	таким образом	30	2
23	в смысле	3	2
24	то же	12	2
25	как будто	2	2
26	и что	18	2
27	конце концов	2	2
28	как только	4	2
29	к которому	7	2
30	то что	48	2
31	и заключается	2	2
32	как бы	11	2
33	но и	14	2
34	очевидно что	2	2
35	в конце	3	2
36	за пределы	4	2
37	или даже	2	2
38	может быть	15	2
39	по существу	5	2
40	в результате	9	2
