N	2gram	Voloshinov	PoTuStor
1	может быть	13	17
2	и в	42	16
3	и пр	4	12
4	мы можем	7	9
5	в этом	10	9
6	таким образом	8	9
7	прежде всего	22	9
8	и с	5	8
9	точки зрения	11	8
10	совершенно не	3	8
11	не может	13	8
12	и его	7	8
13	сказать что	3	7
14	не только	28	7
15	с его	8	7
16	и это	8	6
17	с точки	5	6
18	конечно не	3	6
19	самом деле	5	6
20	я и	2	6
21	и к	4	6
22	для него	3	6
23	при этом	9	6
24	все эти	3	5
25	что такое	4	5
26	как бы	30	5
27	нуждается в	3	5
28	еще не	3	5
29	в него	2	5
30	отношение к	2	5
31	как мы	10	4
32	и на	7	4
33	все это	4	4
34	на самом	3	4
35	его в	4	4
36	в его	6	4
37	но и	16	4
38	и не	14	4
39	и все	4	4
40	но в	5	4
41	с самого	4	4
42	в этой	6	4
43	но мы	2	4
44	и наконец	5	4
45	так как	8	4
46	и их	5	4
47	только в	7	4
48	в нем	6	4
49	хотя бы	18	4
50	можно сказать	4	4
51	так и	7	4
52	для всех	2	4
53	самого начала	4	4
54	отнюдь не	10	4
55	и даже	3	4
56	художественного творчества	5	4
57	жизни и	3	3
58	и как	10	3
59	и потому	2	3
60	а в	5	3
61	в том	3	3
62	их в	3	3
63	и вот	3	3
64	с другими	2	3
65	между ними	3	3
66	в области	6	3
67	те же	5	3
68	только на	3	3
69	в этих	2	3
70	отношения к	3	3
71	как это	5	3
72	то что	9	3
73	во всех	6	3
74	если б	6	3
75	сих пор	2	3
76	вместе с	5	3
77	в одном	4	3
78	том что	3	3
79	в основе	3	3
80	один из	4	2
81	никогда не	7	2
82	для нас	3	2
83	что мы	11	2
84	по своему	3	2
85	мы видим	4	2
86	в жизни	2	2
87	в каком	2	2
88	для этого	2	2
89	и вообще	2	2
90	и для	3	2
91	и содержание	2	2
92	и этот	2	2
93	все то	2	2
94	что это	4	2
95	другими словами	7	2
96	а на	2	2
97	что и	3	2
98	на первый	2	2
99	не существует	4	2
100	было бы	7	2
101	конечно мы	2	2
102	как не	2	2
103	о том	4	2
104	то же	16	2
105	с этим	2	2
106	как и	12	2
107	что он	2	2
108	так же	4	2
109	да еще	2	2
110	но ведь	6	2
111	на два	2	2
112	в своей	2	2
113	мы не	9	2
114	из этих	2	2
115	но как	2	2
116	в самом	5	2
117	в начале	3	2
118	в частности	3	2
119	войти в	2	2
120	связанные с	2	2
121	он не	2	2
122	в голову	3	2
123	своей жизни	5	2
124	ту же	2	2
125	если мы	4	2
126	как с	2	2
127	не есть	2	2
128	всех его	2	2
129	в душе	2	2
130	к этому	2	2
131	нет и	3	2
132	с помощью	6	2
133	связанных с	5	2
134	не знает	3	2
135	в пределах	2	2
136	что оно	3	2
137	и т.п	25	2
138	и так	6	2
139	быть может	3	2
140	мы уже	11	2
141	не будет	3	2
142	с ним	2	2
143	между собой	2	2
144	но это	2	2
