N	3gram	Propp_Isto	VeschiIm
1	и т д	25	38
2	это значит что	2	25
3	не может быть	5	24
4	тем не менее	4	11
5	в том что	7	9
6	т е в	2	7
7	то и другое	2	6
8	так или иначе	2	6
9	не только в	9	5
10	с этой точки	3	4
11	более или менее	3	4
12	то время как	4	4
13	этой точки зрения	3	4
14	о том как	3	4
15	о том что	9	4
16	в то время	4	4
17	мы не можем	2	3
18	можно было бы	3	3
19	вместе с тем	6	3
20	с одной стороны	11	3
21	с другой стороны	17	3
22	мы видели что	4	3
23	то это значит	2	3
24	во всяком случае	3	2
25	в этом и	2	2
26	но все же	3	2
27	мы видим что	4	2
28	так же как	4	2
29	в данном случае	7	2
30	в том чтобы	2	2
