N	2gram	Medvedev_V	Istorich
1	и в	26	181
2	и т	25	160
3	т д	16	142
4	т е	18	133
5	может быть	23	115
6	не только	26	114
7	что он	4	111
8	мы имеем	3	102
9	что в	11	90
10	но и	10	85
11	в этом	29	81
12	то что	7	73
13	таким образом	32	72
14	вместе с	8	71
15	и не	20	67
16	все же	6	65
17	еще не	2	63
18	не может	17	61
19	так же	3	57
20	то же	10	56
21	никогда не	5	56
22	в том	15	53
23	том что	8	53
24	с другой	11	52
25	а в	3	52
26	что и	3	51
27	мы видели	3	49
28	о том	10	48
29	а не	7	48
30	его в	3	47
31	не в	6	47
32	другой стороны	8	46
33	но в	2	44
34	это не	7	43
35	и его	6	43
36	мы знаем	3	42
37	в нем	7	42
38	показывает что	2	42
39	только в	8	42
40	или в	3	39
41	в его	15	38
42	так и	6	37
43	он не	2	37
44	как и	7	37
45	знаем что	2	36
46	с тем	4	35
47	что они	3	35
48	все эти	8	35
49	не всегда	2	34
50	во время	4	34
51	но не	2	34
52	связи с	5	34
53	у него	6	34
54	же как	2	33
55	об этом	9	33
56	сих пор	2	32
57	в качестве	12	32
58	прежде всего	13	31
59	один из	6	31
60	то это	2	31
61	при помощи	3	30
62	с этим	3	30
63	до сих	2	30
64	с одной	2	30
65	одной стороны	2	29
66	например в	3	28
67	что она	2	28
68	как он	3	27
69	в образе	2	27
70	того что	3	27
71	могут быть	8	27
72	в ней	2	26
73	как это	12	26
74	и др	10	26
75	на него	2	26
76	и он	3	25
77	было бы	8	24
78	если бы	3	24
79	что мы	2	24
80	к этому	9	24
81	не менее	2	24
82	того как	2	24
83	все это	13	23
84	когда он	4	23
85	в частности	12	23
86	показывают что	5	23
87	в этой	4	23
88	их в	7	23
89	как бы	5	23
90	и по	3	22
91	в одном	5	21
92	сказать что	5	21
93	ее в	4	21
94	в другом	2	21
95	к тому	5	21
96	они не	2	21
97	в связи	4	21
98	она не	3	20
99	одна из	4	20
100	из них	11	20
101	в силу	14	20
102	видели что	3	20
103	из этих	7	20
104	так например	2	19
105	а затем	2	19
106	и как	3	19
107	после того	2	19
108	что у	3	19
109	на то	2	19
110	после этого	2	18
111	вовсе не	3	18
112	в то	6	18
113	по существу	4	17
114	том как	3	17
115	в них	5	17
116	не вполне	2	16
117	всех этих	3	16
118	связана с	2	16
119	перед нами	5	16
120	в котором	3	16
121	этот вопрос	3	16
122	во всех	7	16
123	в целом	5	15
124	в своей	4	15
125	даже в	5	15
126	в особенности	2	15
127	в пределах	5	15
128	и даже	2	15
129	в которых	3	15
130	он в	2	15
131	что при	2	15
132	у нас	3	14
133	должна быть	2	14
134	на вопрос	2	14
135	можно было	2	14
136	отношению к	7	14
137	из которых	2	14
138	и есть	5	14
139	и ее	4	14
140	одной из	2	14
141	по отношению	7	14
142	и наконец	2	14
143	и для	2	13
144	и от	3	13
145	его не	3	13
146	на этом	2	13
147	в книге	2	13
148	в своем	8	13
149	и у	2	13
150	в себе	6	13
151	с ними	4	13
152	в форме	3	13
153	по себе	2	13
154	в их	5	12
155	и их	3	12
156	одним из	5	12
157	между прочим	2	12
158	утверждать что	5	12
159	хотя бы	20	12
160	ни один	8	12
161	в основном	7	12
162	что не	3	12
163	е в	2	11
164	относится к	2	11
165	главным образом	7	11
166	только с	2	11
167	точки зрения	3	11
168	хотя и	2	11
169	человека в	2	11
170	далеко не	3	11
171	же в	7	11
172	должны быть	2	11
173	в ее	4	10
174	он может	2	10
175	говорит о	7	10
176	но как	3	10
177	вслед за	3	10
178	три года	2	10
179	к ним	2	10
180	начинается с	2	10
181	он и	2	10
182	на основе	5	10
183	в которой	2	10
184	о чем	2	10
185	от них	2	10
186	не было	7	10
187	и к	3	10
188	в различных	2	10
189	а как	2	9
190	не могут	10	9
191	это и	6	9
192	тогда когда	2	9
193	по этому	10	9
194	зависимости от	5	9
195	следующим образом	4	9
196	более или	6	9
197	зависит от	2	9
198	но для	2	9
199	жизни и	3	9
200	том чтобы	2	9
201	или менее	6	9
202	в чем	2	9
203	стороны и	2	9
204	вот почему	5	9
205	с его	4	9
206	в течение	2	9
207	приводит к	6	9
208	он же	6	8
209	должен быть	4	8
210	роль в	4	8
211	у них	2	8
212	только что	4	8
213	именно в	3	8
214	что такое	2	8
215	тому как	3	8
216	во всяком	2	8
217	можно указать	2	8
218	он говорит	5	8
219	из его	4	8
220	на это	2	8
221	в жизни	2	8
222	подобно тому	3	8
223	же самое	2	8
224	и потому	2	8
225	они должны	2	8
226	также что	2	8
227	что его	2	8
228	ту же	2	8
229	в зависимости	6	8
230	в целях	2	8
231	но с	2	8
232	которые в	2	8
233	от того	2	8
234	и сам	2	8
235	можно сказать	4	8
236	с другими	2	8
237	значит что	2	8
238	не с	2	8
239	во сне	21	8
240	в конце	3	7
241	это видно	2	7
242	того чтобы	3	7
243	если в	2	7
244	как у	2	7
245	себе и	2	7
246	в работе	3	7
247	только у	2	7
248	вплоть до	2	7
249	тому что	7	7
250	что ни	2	7
251	будто бы	2	7
252	со своим	3	7
253	всяком случае	2	7
254	по его	2	7
255	как на	3	7
256	это мы	3	7
257	между тем	6	7
258	и при	5	7
259	ли это	2	7
260	в области	2	7
261	образом в	3	7
262	что оно	3	7
263	не столько	2	7
