N	2gram	Vinokur_St	Istorich
1	и в	61	181
2	и т	36	160
3	т д	25	142
4	т е	21	133
5	может быть	16	115
6	не только	36	114
7	что он	23	111
8	мы имеем	2	102
9	что в	41	90
10	но и	28	85
11	в этом	37	81
12	так как	7	75
13	то что	27	73
14	таким образом	16	72
15	вместе с	5	71
16	и не	23	67
17	все же	12	65
18	в этих	5	64
19	еще не	4	63
20	не может	10	61
21	так же	7	57
22	то же	7	56
23	никогда не	7	56
24	в том	56	53
25	том что	49	53
26	с другой	11	52
27	а в	18	52
28	потому что	13	52
29	что и	8	51
30	и что	8	51
31	и здесь	2	51
32	о том	30	48
33	а не	19	48
34	его в	4	47
35	не в	15	47
36	другой стороны	9	46
37	превращается в	2	45
38	но в	16	44
39	и пр	4	44
40	это не	8	43
41	и его	11	43
42	в нем	9	42
43	только в	11	42
44	как в	15	42
45	представление о	5	41
46	в его	19	38
47	для нас	7	38
48	тем что	6	38
49	и на	7	38
50	что здесь	2	37
51	так и	15	37
52	он не	11	37
53	как и	11	37
54	с тем	3	35
55	что они	9	35
56	все эти	7	35
57	мы не	3	35
58	не всегда	2	34
59	во время	5	34
60	что это	5	34
61	но не	5	34
62	а именно	3	34
63	связи с	3	34
64	у него	3	34
65	там где	6	33
66	же как	5	33
67	об этом	9	33
68	сих пор	12	32
69	в качестве	7	32
70	ничего не	6	31
71	прежде всего	11	31
72	то это	3	31
73	при помощи	4	30
74	с этим	6	30
75	в русской	4	30
76	до сих	13	30
77	с одной	3	30
78	к нему	2	30
79	но все	9	29
80	одной стороны	2	29
81	этом случае	3	29
82	но это	9	29
83	например в	8	28
84	что она	5	28
85	и другие	3	28
86	и с	6	28
87	как он	3	27
88	так что	8	27
89	в образе	3	27
90	того что	14	27
91	могут быть	5	27
92	в ней	9	26
93	как это	6	26
94	на него	3	26
95	вопрос о	9	25
96	и он	2	25
97	раньше чем	4	24
98	было бы	21	24
99	если бы	11	24
100	в виде	3	24
101	что мы	5	24
102	к этому	4	24
103	не менее	8	24
104	видно что	3	24
105	того как	8	24
106	все это	13	23
107	тем не	4	23
108	в частности	6	23
109	точно так	2	23
110	в этой	13	23
111	их в	2	23
112	и это	4	23
113	как бы	8	23
114	при этом	4	22
115	и по	6	22
116	в некоторых	3	22
117	в одном	7	21
118	сказать что	9	21
119	ее в	2	21
120	в другом	5	21
121	к тому	9	21
122	они не	2	21
123	связан с	3	21
124	она не	3	20
125	в других	2	20
126	из них	11	20
127	очень часто	3	20
128	из этих	7	20
129	так например	12	19
130	и как	2	19
131	после того	5	19
132	что у	8	19
133	в тех	5	19
134	на то	5	19
135	но он	5	19
136	что этот	3	18
137	не все	3	18
138	в данном	16	18
139	вовсе не	24	18
140	в то	10	18
141	нас к	2	17
142	по существу	3	17
143	и только	3	17
144	том как	4	17
145	в них	2	17
146	дело не	4	17
147	можно найти	3	17
148	возможно что	4	16
149	всех этих	2	16
150	со стороны	7	16
151	и все	3	16
152	в котором	11	16
153	этот вопрос	6	16
154	во всех	8	16
155	данном случае	7	15
156	в целом	5	15
157	на его	2	15
158	в своей	12	15
159	даже в	5	15
160	и то	6	15
161	уже выше	2	15
162	и эти	2	15
163	и даже	8	15
164	в которых	5	15
165	как будто	5	15
166	в одной	3	15
167	и тем	3	15
168	что при	3	15
169	отношение к	3	14
170	у нас	12	14
171	с того	2	14
172	такое же	2	14
173	должна быть	3	14
174	а также	4	14
175	с этой	5	14
176	на вопрос	7	14
177	должен был	5	14
178	можно было	14	14
179	отношению к	3	14
180	одной из	4	14
181	по отношению	3	14
182	но они	3	14
183	на себя	3	14
184	к своему	3	13
185	своего рода	7	13
186	и для	4	13
187	и от	2	13
188	его не	3	13
189	в своем	8	13
190	время как	2	13
191	и у	2	13
192	не имеет	5	13
193	в себе	3	13
194	не просто	2	13
195	в форме	2	13
196	по себе	3	13
197	то время	2	13
198	не знаю	2	12
199	кроме того	3	12
200	в их	3	12
201	ответ на	4	12
202	и их	3	12
203	одним из	2	12
204	между прочим	10	12
205	хотя бы	8	12
206	ни один	2	12
207	не знает	2	12
208	что не	3	12
209	должно было	5	11
210	от этого	2	11
211	е в	3	11
212	никто не	4	11
213	и более	4	11
214	связанные с	3	11
215	только с	4	11
216	точки зрения	16	11
217	хотя и	4	11
218	уже в	3	11
219	на нее	3	11
220	у меня	3	11
221	ясно что	10	11
222	в очень	4	11
223	на которой	2	11
224	к которому	4	11
225	я не	13	11
226	такой же	6	11
227	должны быть	4	11
228	что же	6	10
229	в ее	6	10
230	известно что	2	10
231	но если	5	10
232	говорит о	5	10
233	что эта	5	10
234	есть только	2	10
235	если не	4	10
236	как правило	2	10
237	не мог	3	10
238	не как	2	10
239	а с	6	10
240	а если	2	10
241	то не	3	10
242	в которой	13	10
243	не должен	2	10
244	ни в	5	10
245	о чем	4	10
246	в это	3	10
247	а на	4	10
248	не было	7	10
249	и к	5	10
250	бы мы	2	9
251	а как	5	9
252	он должен	2	9
253	в истории	5	9
254	тот же	2	9
255	в основе	4	9
256	если это	3	9
257	за него	2	9
258	не могут	2	9
259	это и	5	9
260	по этому	5	9
261	но эти	2	9
262	зависимости от	2	9
263	на этот	5	9
264	более или	2	9
265	но для	3	9
266	жизни и	6	9
267	в первую	2	9
268	что на	3	9
269	из другой	2	9
270	или же	3	9
271	или менее	2	9
272	в чем	4	9
273	себе в	2	9
274	с его	3	9
275	в течение	7	9
276	и так	3	9
277	целый ряд	3	9
278	пребывания в	3	9
279	тем самым	2	8
280	не имеют	2	8
281	должен быть	3	8
282	одно из	3	8
283	кажется что	5	8
284	для этого	2	8
285	вообще не	5	8
286	именно в	8	8
287	что такое	2	8
288	во всяком	8	8
289	не дает	2	8
290	смысле этого	2	8
291	из его	3	8
292	говорят что	2	8
293	на это	2	8
294	это положение	2	8
295	надо сказать	2	8
296	и потому	3	8
297	это явление	2	8
298	ни одной	2	8
299	не так	2	8
300	могло быть	3	8
301	в зависимости	2	8
302	но с	7	8
303	меня в	2	8
304	которые в	2	8
305	он был	5	8
306	и сам	4	8
307	можно сказать	2	8
308	значит что	3	8
309	конечно не	2	8
310	на самом	8	7
311	в конце	5	7
312	иногда и	2	7
313	и о	4	7
314	с самого	4	7
315	того чтобы	15	7
316	если в	2	7
317	еще в	3	7
318	о которых	3	7
319	только у	2	7
320	вплоть до	6	7
321	тому что	8	7
322	а то	3	7
323	что ни	2	7
324	в начале	5	7
325	также в	2	7
326	где он	2	7
327	в какой	4	7
328	что я	3	7
329	того же	4	7
330	будто бы	4	7
331	всяком случае	8	7
332	по его	5	7
333	как на	10	7
334	между тем	7	7
335	совершенно не	7	7
336	в эту	3	7
337	этого слова	2	7
338	и и	2	7
339	во многих	3	7
340	думать что	2	7
341	им в	2	7
342	в области	16	7
343	самом деле	14	7
344	что оно	4	7
345	не столько	6	7
346	на них	2	7
347	не по	5	7
348	для него	10	7
349	здесь совершенно	3	7
350	с той	3	6
351	для того	15	6
352	а иногда	2	6
353	можно ли	5	6
354	говорит что	4	6
355	как можно	2	6
356	борьбы с	3	6
357	как говорит	3	6
358	где нет	2	6
