N	3gram	Voloshinov	Tvorches
1	в то же	7	25
2	то же время	7	24
3	в том что	9	11
4	о том что	2	8
5	но в то	6	6
6	не может быть	23	6
7	по отношению к	9	5
8	в самом деле	13	5
9	с точки зрения	31	4
10	с самого начала	9	4
11	до сих пор	10	4
12	чуть ли не	2	3
13	в таком случае	5	3
14	с другой стороны	6	3
15	и не может	11	3
16	является одним из	2	3
17	во всяком случае	4	3
18	в отличие от	7	3
19	но при этом	2	2
20	на самом деле	5	2
21	тем не менее	3	2
22	на этот вопрос	3	2
23	не только в	2	2
24	для того чтобы	7	2
25	можно сказать что	4	2
26	так и в	2	2
27	в связи с	12	2
28	том числе и	3	2
29	не могут быть	3	2
30	в конце концов	3	2
31	так же как	2	2
32	в том числе	3	2
33	в высшей степени	5	2
34	нет и не	2	2
35	к тому же	2	2
36	в свою очередь	5	2
