N	3gram	Vygotskiy_	DiskursI
1	в том что	41	28
2	в отличие от	8	26
3	по отношению к	3	17
4	с одной стороны	8	14
5	не может быть	5	12
6	той или иной	2	10
7	о том что	3	9
8	в этом отношении	9	8
9	состоит в том	4	8
10	как и в	3	7
11	так и в	2	6
12	с точки зрения	11	6
13	то же самое	9	5
14	и как бы	2	5
15	с другой стороны	5	5
16	в первую очередь	2	5
17	в свою очередь	3	5
18	в свое время	2	4
19	тем не менее	6	4
20	а с другой	4	4
21	одного и того	5	4
22	в этом случае	4	4
23	и того же	5	4
24	одно и то	6	3
25	и то же	6	3
26	содержит в себе	2	3
27	в том случае	2	3
28	более или менее	3	3
29	том что в	3	3
30	в том числе	3	3
31	том числе и	3	3
32	во всяком случае	10	3
33	того или иного	2	3
34	в обоих случаях	2	3
35	не приводит к	2	2
36	точки зрения на	2	2
37	сами по себе	4	2
38	речь идет о	2	2
39	и той же	5	2
40	как мы видели	4	2
41	и тем же	4	2
42	решающую роль в	2	2
43	том случае если	2	2
44	заключает в себе	3	2
45	с самого начала	6	2
46	в целом и	2	2
47	одной и той	5	2
48	только в том	4	2
49	одним и тем	4	2
50	то что они	3	2
51	включает в себя	2	2
52	все же не	2	2
53	и то что	3	2
54	в том чтобы	2	2
