N	2gram	Kanaev_Sov	Freidism
1	и не	6	34
2	таким образом	11	34
3	точки зрения	12	31
4	не может	17	30
5	и пр	2	29
6	может быть	12	28
7	и в	7	28
8	в этом	7	28
9	прежде всего	5	26
10	в его	2	25
11	мы можем	6	20
12	с помощью	4	20
13	как бы	4	19
14	как мы	2	18
15	так как	4	15
16	с точки	5	15
17	все эти	5	15
18	самом деле	2	14
19	и все	3	13
20	но в	3	13
21	как и	6	13
22	точку зрения	4	12
23	и потому	3	12
24	то же	3	12
25	мы видели	4	12
26	в самом	2	12
27	и наконец	5	12
28	все это	3	12
29	мы знаем	2	11
30	все те	2	10
31	не только	4	10
32	не в	3	10
33	в том	4	10
34	что же	5	10
35	тот же	2	10
36	мы должны	4	9
37	могут быть	2	9
38	совершенно не	2	9
39	уже не	2	9
40	мы не	9	9
41	а не	3	9
42	во всяком	2	9
43	все же	3	8
44	с этим	2	8
45	было бы	3	8
46	по мнению	2	8
47	еще не	3	8
48	а в	4	8
49	знаем что	2	8
50	на этом	2	8
51	всяком случае	2	8
52	при этом	3	8
53	так сказать	2	7
54	не могут	2	7
55	в себе	3	7
56	что в	2	7
57	быть и	2	7
58	роль в	2	7
59	что все	2	7
60	с самого	3	7
61	в нем	3	7
62	если мы	4	7
63	и к	3	7
64	из них	4	7
65	жизни и	4	7
66	в этой	3	7
67	но мы	3	6
68	из этих	2	6
69	не менее	2	6
70	в таком	2	6
71	не можем	7	6
72	что такое	2	6
73	в свою	2	6
74	и что	2	6
75	что это	2	5
76	ничего не	6	5
77	что она	3	5
78	в которой	2	5
79	и по	2	5
80	со всеми	2	5
81	самого начала	3	5
82	первый период	2	5
83	это не	4	5
84	той же	2	5
85	отнюдь не	3	5
86	говорить о	2	5
87	вместе с	4	5
88	одна из	3	4
89	дает нам	2	4
90	в развитии	4	4
91	в области	3	4
92	тем не	2	4
93	свою очередь	2	4
94	у него	2	4
95	между собой	3	4
96	живого организма	3	4
97	период развития	2	4
98	помощью которых	2	4
99	в целом	4	4
100	нет и	4	4
101	зависимости от	4	4
102	в зависимости	4	4
103	то ни	2	4
104	не дает	2	4
105	конечно в	2	3
106	такие же	2	3
107	не будем	2	3
108	в результате	6	3
109	и даже	2	3
110	тем же	2	3
111	видели что	3	3
112	этих двух	2	3
113	у нас	3	3
114	такой же	2	3
115	на две	3	3
116	же мы	2	3
117	на этот	2	3
118	значение в	2	3
119	на этой	3	3
120	их в	4	3
121	мы называем	3	3
122	приводит к	2	3
123	в одном	3	3
124	уже в	3	3
125	которой он	2	3
126	мы видим	2	3
127	в условиях	5	3
128	и есть	2	3
129	в нашем	2	3
130	принципиально не	2	2
131	целесообразности и	3	2
132	вопрос о	4	2
133	или иной	2	2
134	когда мы	3	2
135	рот и	2	2
136	такого рода	2	2
137	в науке	2	2
138	отличается от	3	2
139	в отличие	2	2
140	в конце	3	2
141	или же	2	2
142	а на	2	2
143	он должен	2	2
144	в некоторых	2	2
145	для нас	3	2
146	отличие от	2	2
147	с одной	2	2
148	говорить об	2	2
149	только одну	2	2
150	носит название	2	2
151	он в	3	2
152	еще более	2	2
153	только одна	6	2
154	но все	2	2
155	из которых	2	2
156	для развития	2	2
157	и во	2	2
158	в первом	3	2
159	же самое	2	2
160	в дальнейшем	4	2
161	если же	2	2
162	и они	2	2
163	что при	2	2
164	ясно что	3	2
165	ли мы	3	2
